run_id,stage_id,record_view,split,tier_scope,route_role,report_path,report_sha256,net_profit,profit_factor,trade_count,max_drawdown_amount,status
run03M_et_session_age_regime_probe_v1,12_model_family_challenge__extratrees_training_effect,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b000060_tier_a_only_validation_is.htm,8f5d77bdbf2c378209336657fb21354932c6a7000ec13c331b94960c175ce7d3,67.1,1.17,35,225.38,recorded
run03M_et_session_age_regime_probe_v1,12_model_family_challenge__extratrees_training_effect,mt5_b000060_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b000060_tier_b_fallback_only_validation_is.htm,18940146170dcee7736dee869e44eb21c35ffcfc45e8088b645474665a4f2f67,14.03,1.12,8,129.23,recorded
run03M_et_session_age_regime_probe_v1,12_model_family_challenge__extratrees_training_effect,mt5_b000060_routed_tier_a_used_validation_is,validation,Tier A,primary_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b000060_routed_validation_is.htm,1b1be1a3fddc712fd5b29e42761ace357d00b02f9ff02c5bbf622957ef5ebaef,NA,NA,NA,NA,recorded
run03M_et_session_age_regime_probe_v1,12_model_family_challenge__extratrees_training_effect,mt5_b000060_routed_tier_b_fallback_used_validation_is,validation,Tier B,fallback_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b000060_routed_validation_is.htm,1b1be1a3fddc712fd5b29e42761ace357d00b02f9ff02c5bbf622957ef5ebaef,NA,NA,NA,NA,recorded
run03M_et_session_age_regime_probe_v1,12_model_family_challenge__extratrees_training_effect,mt5_b000060_routed_total_validation_is,validation,Tier A+B,routed_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b000060_routed_validation_is.htm,1b1be1a3fddc712fd5b29e42761ace357d00b02f9ff02c5bbf622957ef5ebaef,78.9,1.18,43,225.38,recorded
run03M_et_session_age_regime_probe_v1,12_model_family_challenge__extratrees_training_effect,mt5_b060120_tier_a_only_validation_is,validation,Tier A,tier_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b060120_tier_a_only_validation_is.htm,bbc33d5cd16be93df1f90ee75991a1a9ab4218aea8f8275acb0dcadaec8c8a23,255.04,2.66,13,162.52,recorded
run03M_et_session_age_regime_probe_v1,12_model_family_challenge__extratrees_training_effect,mt5_b060120_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b060120_tier_b_fallback_only_validation_is.htm,9b52e14305e86b616df427724c810633331dfeb04376cf75938aee2352bfa19c,157.54,2.68,4,95.21,recorded
run03M_et_session_age_regime_probe_v1,12_model_family_challenge__extratrees_training_effect,mt5_b060120_routed_tier_a_used_validation_is,validation,Tier A,primary_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b060120_routed_validation_is.htm,75bb5e051fc0dbe5cfb306f299973b36a66750cf4c674701ace28ee1ea9bb4cc,NA,NA,NA,NA,recorded
run03M_et_session_age_regime_probe_v1,12_model_family_challenge__extratrees_training_effect,mt5_b060120_routed_tier_b_fallback_used_validation_is,validation,Tier B,fallback_used,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b060120_routed_validation_is.htm,75bb5e051fc0dbe5cfb306f299973b36a66750cf4c674701ace28ee1ea9bb4cc,NA,NA,NA,NA,recorded
run03M_et_session_age_regime_probe_v1,12_model_family_challenge__extratrees_training_effect,mt5_b060120_routed_total_validation_is,validation,Tier A+B,routed_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b060120_routed_validation_is.htm,75bb5e051fc0dbe5cfb306f299973b36a66750cf4c674701ace28ee1ea9bb4cc,289.26,2.67,16,162.52,recorded
run03M_et_session_age_regime_probe_v1,12_model_family_challenge__extratrees_training_effect,mt5_b120180_tier_a_only_validation_is,validation,Tier A,tier_only_total,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b120180_tier_a_only_validation_is.htm,3caa9854490fdf34104d96d9b7d315d6012512dd76430c7a00aee65149779805,-223.57,0.33,15,330.61,recorded
