run_id,record_view,split,tier_scope,route_role,trade_index,direction,open_time,close_time,hold_bars,volume,open_price,close_price,gross_profit,net_profit,swap,commission,mfe,mae,realized_over_mfe,session_slice,volatility_regime,trend_regime,adx_bucket,spread_regime
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,1,buy,2025-04-02 16:35:00,2025-04-02 17:20:00,9,0.1,19239.4,19383.7,14.43,14.43,0,0,20.042,0.695,0.719988,early,vol_high,downtrend,adx_gt25,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,2,buy,2025-04-03 16:35:00,2025-04-03 17:20:00,9,0.1,18872.8,18710.1,-16.27,-16.27,0,0,2.068,18.22,-7.8675,early,vol_high,downtrend,adx_gt25,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,3,buy,2025-04-04 16:35:00,2025-04-04 17:20:00,9,0.1,17987.4,17842.6,-14.48,-14.48,0,0,6.88,22.057,-2.10465,early,vol_high,range_or_weak_trend,adx_lt20,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,4,buy,2025-04-07 16:40:00,2025-04-07 17:25:00,9,0.1,16675.9,17291.2,61.53,61.53,0,0,151.328,17.075,0.4066,early,vol_high,downtrend,adx_20_25,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,5,buy,2025-04-08 16:35:00,2025-04-08 17:20:00,9,0.1,18004.6,18150.4,14.58,14.58,0,0,17.592,10.808,0.828786,early,vol_high,downtrend,adx_gt25,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,6,buy,2025-04-08 17:25:00,2025-04-09 17:15:00,286,0.1,18124.2,17200.5,-92.37,-92.68,-0.31,0,6.518,155.058,-14.2191,early,vol_high,downtrend,adx_gt25,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,7,buy,2025-04-09 17:20:00,2025-04-10 17:10:00,286,0.1,17271.5,18514.4,124.3,123.99,-0.31,0,195.086,22.385,0.635566,early,vol_high,downtrend,adx_gt25,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,8,buy,2025-04-10 17:15:00,2025-04-11 17:05:00,286,0.1,18460.2,18339.8,-12.04,-12.35,-0.31,0,17.893,69.982,-0.690214,early,vol_high,range_or_weak_trend,adx_lt20,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,9,buy,2025-04-11 17:10:00,2025-04-14 16:40:00,858,0.1,18429,18949.5,52.05,51.12,-0.93,0,67.63,31.42,0.755878,early,vol_high,range_or_weak_trend,adx_lt20,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,10,sell,2025-04-14 16:40:00,2025-04-14 17:25:00,9,0.1,18949.5,18956,-0.65,-0.65,0,0,11.1,7.6,-0.0585586,early,vol_high,downtrend,adx_gt25,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,11,sell,2025-04-16 16:55:00,2025-04-17 16:45:00,286,0.1,18408.8,18275.7,13.31,13.39,0.08,0,43.712,18.088,0.306323,early,vol_mid,downtrend,adx_gt25,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,12,buy,2025-04-17 17:00:00,2025-04-21 16:50:00,1150,0.1,18326.2,17972.7,-35.36,-36.6,-1.24,0,5.743,40.767,-6.37298,early,vol_high,range_or_weak_trend,adx_lt20,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,13,sell,2025-04-21 17:00:00,2025-04-22 16:45:00,285,0.1,17863.6,18083.3,-21.98,-21.9,0.08,0,29.363,21.978,-0.745837,early,vol_high,downtrend,adx_20_25,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,14,buy,2025-04-22 16:45:00,2025-04-23 16:35:00,286,0.1,18083.3,18861.5,77.81,77.5,-0.31,0,79.763,1.232,0.971628,early,vol_mid,downtrend,adx_gt25,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,15,buy,2025-04-23 16:40:00,2025-04-23 17:25:00,9,0.1,18868.2,18936.3,6.82,6.82,0,0,14.255,1.97,0.478429,early,vol_mid,downtrend,adx_gt25,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,16,buy,2025-04-24 16:45:00,2025-04-25 16:35:00,286,0.1,18832.4,19205.7,37.33,37.02,-0.31,0,54.343,0.295,0.681228,early,vol_mid,downtrend,adx_gt25,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,17,sell,2025-04-28 16:35:00,2025-04-28 16:45:00,2,0.1,19383.7,19485.3,-10.16,-10.16,0,0,1.288,10.2,-7.8882,early,vol_mid,downtrend,adx_20_25,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,18,buy,2025-04-28 16:45:00,2025-04-28 17:00:00,3,0.1,19485.3,19351.8,-13.35,-13.35,0,0,2.418,14.37,-5.52109,early,vol_high,downtrend,adx_20_25,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,19,sell,2025-04-28 17:00:00,2025-04-29 16:50:00,286,0.1,19351.8,19406.1,-5.43,-5.35,0.08,0,20.65,16.858,-0.25908,early,vol_high,downtrend,adx_20_25,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,20,buy,2025-04-29 16:55:00,2025-04-30 16:45:00,286,0.1,19401.5,19070.4,-33.1,-33.41,-0.31,0,17.58,37.492,-1.90046,early,vol_high,downtrend,adx_gt25,spread_low
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,21,sell,2025-04-30 17:10:00,2025-05-01 17:00:00,286,0.1,19107.9,19768.1,-66.02,-65.94,0.08,0,1.963,82.036,-33.5914,early,vol_high,downtrend,adx_gt25,spread_low
