run_id,record_view,split,tier_scope,route_role,trade_index,direction,open_time,close_time,hold_bars,volume,open_price,close_price,gross_profit,net_profit,swap,commission,mfe,mae,realized_over_mfe,session_slice,volatility_regime,trend_regime,adx_bucket,spread_regime
run03N_et_volatility_regime_probe_v1,mt5_low_vol_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,1,buy,2025-05-22 18:15:00,2025-05-22 19:25:00,14,0.1,21165.6,21209.2,4.37,4.37,0,0,9.442,3.07,0.462826,early,feature_missing,feature_missing,feature_missing,spread_low
run03N_et_volatility_regime_probe_v1,mt5_low_vol_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,2,sell,2025-05-22 20:00:00,2025-05-22 21:05:00,13,0.1,21153.5,21232.6,-7.91,-7.91,0,0,2.15,9.225,-3.67907,mid,feature_missing,feature_missing,feature_missing,spread_low
run03N_et_volatility_regime_probe_v1,mt5_low_vol_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,3,buy,2025-05-23 18:20:00,2025-05-23 18:30:00,2,0.1,20866.8,20898.1,3.13,3.13,0,0,3.568,0.532,0.877242,early,feature_missing,feature_missing,feature_missing,spread_low
run03N_et_volatility_regime_probe_v1,mt5_low_vol_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,4,sell,2025-05-23 18:30:00,2025-05-23 19:15:00,9,0.1,20898.1,20883.2,1.49,1.49,0,0,4.112,4.813,0.362354,mid,feature_missing,feature_missing,feature_missing,spread_low
run03N_et_volatility_regime_probe_v1,mt5_low_vol_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,5,sell,2025-05-23 19:20:00,2025-05-23 20:25:00,13,0.1,20879.2,20994.9,-11.57,-11.57,0,0,0.513,12.362,-22.5536,mid,feature_missing,feature_missing,feature_missing,spread_low
run03N_et_volatility_regime_probe_v1,mt5_low_vol_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,6,buy,2025-05-30 17:25:00,2025-06-03 18:55:00,1170,0.1,21326.5,21639.2,31.27,30.03,-1.24,0,32.524,30.033,0.923318,early,feature_missing,feature_missing,feature_missing,spread_low
run03N_et_volatility_regime_probe_v1,mt5_low_vol_routed_total_validation_is,validation,Tier A+B,routed_total,1,buy,2025-05-22 18:15:00,2025-05-22 19:25:00,14,0.1,21165.6,21209.2,4.37,4.37,0,0,9.442,3.07,0.462826,early,feature_missing,feature_missing,feature_missing,spread_low
run03N_et_volatility_regime_probe_v1,mt5_low_vol_routed_total_validation_is,validation,Tier A+B,routed_total,2,sell,2025-05-22 20:00:00,2025-05-22 21:05:00,13,0.1,21153.5,21232.6,-7.91,-7.91,0,0,2.15,9.225,-3.67907,mid,feature_missing,feature_missing,feature_missing,spread_low
run03N_et_volatility_regime_probe_v1,mt5_low_vol_routed_total_validation_is,validation,Tier A+B,routed_total,3,buy,2025-05-23 18:20:00,2025-05-23 18:30:00,2,0.1,20866.8,20898.1,3.13,3.13,0,0,3.568,0.532,0.877242,early,feature_missing,feature_missing,feature_missing,spread_low
run03N_et_volatility_regime_probe_v1,mt5_low_vol_routed_total_validation_is,validation,Tier A+B,routed_total,4,sell,2025-05-23 18:30:00,2025-05-23 19:15:00,9,0.1,20898.1,20883.2,1.49,1.49,0,0,4.112,4.813,0.362354,mid,feature_missing,feature_missing,feature_missing,spread_low
run03N_et_volatility_regime_probe_v1,mt5_low_vol_routed_total_validation_is,validation,Tier A+B,routed_total,5,sell,2025-05-23 19:20:00,2025-05-23 20:25:00,13,0.1,20879.2,20994.9,-11.57,-11.57,0,0,0.513,12.362,-22.5536,mid,feature_missing,feature_missing,feature_missing,spread_low
run03N_et_volatility_regime_probe_v1,mt5_low_vol_routed_total_validation_is,validation,Tier A+B,routed_total,6,buy,2025-05-30 17:25:00,2025-05-30 18:10:00,9,0.1,21326.5,21316.2,-1.03,-1.03,0,0,2.692,2.583,-0.382615,early,feature_missing,feature_missing,feature_missing,spread_low
run03N_et_volatility_regime_probe_v1,mt5_mid_vol_tier_a_only_validation_is,validation,Tier A,tier_only_total,1,sell,2025-04-01 21:10:00,2025-04-02 18:10:00,252,0.1,19244.1,19455.5,-21.15,-21.07,0.08,0,10.572,26.728,-1.993,late,vol_high,range_or_weak_trend,adx_lt20,spread_low
run03N_et_volatility_regime_probe_v1,mt5_mid_vol_tier_a_only_validation_is,validation,Tier A,tier_only_total,2,sell,2025-04-02 21:10:00,2025-04-03 17:55:00,249,0.1,19506.4,18606,90.04,90.12,0.08,0,92.372,35.727,0.97562,late,vol_mid,downtrend,adx_gt25,spread_low
run03N_et_volatility_regime_probe_v1,mt5_mid_vol_tier_a_only_validation_is,validation,Tier A,tier_only_total,3,buy,2025-04-04 16:55:00,2025-04-04 19:05:00,26,0.1,17925.4,17728.8,-19.66,-19.66,0,0,13.08,44.595,-1.50306,early,vol_high,range_or_weak_trend,adx_lt20,spread_low
