run_id,record_view,split,tier_scope,route_role,trade_count,avg_hold_bars,mfe_mean,mae_mean,long_net_profit,short_net_profit,positive_month_ratio,status
run03P_et_mega_cap_divergence_probe_v1,mt5_aligned_tier_a_only_validation_is,validation,Tier A,tier_only_total,2,1016.5,28.7245,22.474,0,-21.53,0.5,trade_attribution_recorded
run03P_et_mega_cap_divergence_probe_v1,mt5_aligned_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,2,23,5.3085,7.729,3.19,-10.51,0,trade_attribution_recorded
run03P_et_mega_cap_divergence_probe_v1,mt5_aligned_routed_total_validation_is,validation,Tier A+B,routed_total,4,90.5,9.25325,8.83675,3.19,-13.6,0.5,trade_attribution_recorded
run03P_et_mega_cap_divergence_probe_v1,mt5_moderate_tier_a_only_validation_is,validation,Tier A,tier_only_total,13,371.692,32.4616,32.0591,143.39,-188.29,0.333333,trade_attribution_recorded
run03P_et_mega_cap_divergence_probe_v1,mt5_moderate_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,5,252.6,12.6442,11.4546,44.78,-13.32,0.5,trade_attribution_recorded
run03P_et_mega_cap_divergence_probe_v1,mt5_moderate_routed_total_validation_is,validation,Tier A+B,routed_total,18,193.333,23.2354,24.6678,146.97,-183.94,0.333333,trade_attribution_recorded
run03P_et_mega_cap_divergence_probe_v1,mt5_wide_tier_a_only_validation_is,validation,Tier A,tier_only_total,82,56.122,16.4046,13.5747,71.85,-157.89,0.333333,trade_attribution_recorded
run03P_et_mega_cap_divergence_probe_v1,mt5_wide_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,12,1235.67,51.0523,16.444,189.05,-59.52,0.666667,trade_attribution_recorded
run03P_et_mega_cap_divergence_probe_v1,mt5_wide_routed_total_validation_is,validation,Tier A+B,routed_total,91,38.1758,15.1783,12.7258,92.91,-141.07,0.666667,trade_attribution_recorded
run03P_et_mega_cap_divergence_probe_v1,mt5_moderate_tier_a_only_oos,oos,Tier A,tier_only_total,4,212.75,19.5825,23.5167,0,-34.67,0.5,trade_attribution_recorded
run03P_et_mega_cap_divergence_probe_v1,mt5_moderate_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,1,565,0.125,48.608,0,-46.13,0,trade_attribution_recorded
run03P_et_mega_cap_divergence_probe_v1,mt5_moderate_routed_total_oos,oos,Tier A+B,routed_total,5,123.6,15.691,20.801,0,-38.84,0.5,trade_attribution_recorded
run03P_et_mega_cap_divergence_probe_v1,mt5_wide_tier_a_only_oos,oos,Tier A,tier_only_total,22,11.6818,8.29841,6.29827,18.43,-36.4,0.333333,trade_attribution_recorded
run03P_et_mega_cap_divergence_probe_v1,mt5_wide_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,7,461.857,9.58671,14.4327,-11.77,-66.95,0,trade_attribution_recorded
run03P_et_mega_cap_divergence_probe_v1,mt5_wide_routed_total_oos,oos,Tier A+B,routed_total,26,61.6923,8.82161,6.54215,14.13,-24.85,0.666667,trade_attribution_recorded
