run_id,session_bucket_id,session_bucket_label,record_view,split,wfo_split_role,tier_scope,route_role,net_profit,profit_factor,trade_count,status
run03Q_et_macro_proxy_regime_probe_v1,risk_on,macro_risk_on_relief,mt5_risk_on_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,-108.65,0.74,41,completed
run03Q_et_macro_proxy_regime_probe_v1,risk_on,macro_risk_on_relief,mt5_risk_on_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,-69.05,0.08,6,completed
run03Q_et_macro_proxy_regime_probe_v1,risk_on,macro_risk_on_relief,mt5_risk_on_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,-87.72,0.79,45,completed
run03Q_et_macro_proxy_regime_probe_v1,mixed,macro_mixed_neutral,mt5_mixed_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,-9.7,0.97,32,completed
run03Q_et_macro_proxy_regime_probe_v1,mixed,macro_mixed_neutral,mt5_mixed_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,-18.04,0.72,7,completed
run03Q_et_macro_proxy_regime_probe_v1,mixed,macro_mixed_neutral,mt5_mixed_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,14.12,1.04,36,completed
run03Q_et_macro_proxy_regime_probe_v1,risk_off,macro_risk_off_pressure,mt5_risk_off_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,-45.3,0.92,52,completed
run03Q_et_macro_proxy_regime_probe_v1,risk_off,macro_risk_off_pressure,mt5_risk_off_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,217.48,4.97,7,completed
run03Q_et_macro_proxy_regime_probe_v1,risk_off,macro_risk_off_pressure,mt5_risk_off_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,-21.38,0.96,57,completed
run03Q_et_macro_proxy_regime_probe_v1,risk_on,macro_risk_on_relief,mt5_risk_on_tier_a_only_oos,oos,test,Tier A,tier_only_total,65.6,15.98,6,completed
run03Q_et_macro_proxy_regime_probe_v1,risk_on,macro_risk_on_relief,mt5_risk_on_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-7.12,0,1,completed
run03Q_et_macro_proxy_regime_probe_v1,risk_on,macro_risk_on_relief,mt5_risk_on_routed_total_oos,oos,test,Tier A+B,routed_total,63.43,7.93,7,completed
run03Q_et_macro_proxy_regime_probe_v1,mixed,macro_mixed_neutral,mt5_mixed_tier_a_only_oos,oos,test,Tier A,tier_only_total,-36.98,0.62,10,completed
run03Q_et_macro_proxy_regime_probe_v1,mixed,macro_mixed_neutral,mt5_mixed_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-18.62,0,2,completed
run03Q_et_macro_proxy_regime_probe_v1,mixed,macro_mixed_neutral,mt5_mixed_routed_total_oos,oos,test,Tier A+B,routed_total,-22.58,0.72,11,completed
run03Q_et_macro_proxy_regime_probe_v1,risk_off,macro_risk_off_pressure,mt5_risk_off_tier_a_only_oos,oos,test,Tier A,tier_only_total,12.85,1.15,17,completed
run03Q_et_macro_proxy_regime_probe_v1,risk_off,macro_risk_off_pressure,mt5_risk_off_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-107.75,0,4,completed
run03Q_et_macro_proxy_regime_probe_v1,risk_off,macro_risk_off_pressure,mt5_risk_off_routed_total_oos,oos,test,Tier A+B,routed_total,-23.04,0.79,21,completed
