run_id,session_bucket_id,session_bucket_label,fold_id,attempt_name,split,wfo_split_role,tier_scope,route_role,tester_status,runtime_status,report_status,net_profit,profit_factor,trade_count,report_path
run03S_et_probability_shape_attribution_probe_v1,thin_edge,thin_probability_edge,fold05,thin_edge_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,-19.98,0.94,48,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03S_et_probability_shape_attribution_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03S_et_probability_shape_attribution_probe_v1_thin_edge_tier_a_only_validation_is.htm
run03S_et_probability_shape_attribution_probe_v1,thin_edge,thin_probability_edge,fold05,thin_edge_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,-95.43,0.19,11,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03S_et_probability_shape_attribution_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03S_et_probability_shape_attribution_probe_v1_thin_edge_tier_b_fallback_only_validation_is.htm
run03S_et_probability_shape_attribution_probe_v1,thin_edge,thin_probability_edge,fold05,thin_edge_routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,-14.47,0.96,59,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03S_et_probability_shape_attribution_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03S_et_probability_shape_attribution_probe_v1_thin_edge_routed_validation_is.htm
run03S_et_probability_shape_attribution_probe_v1,middle_edge,middle_probability_edge,fold05,middle_edge_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,20.01,1.03,29,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03S_et_probability_shape_attribution_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03S_et_probability_shape_attribution_probe_v1_middle_edge_tier_a_only_validation_is.htm
run03S_et_probability_shape_attribution_probe_v1,middle_edge,middle_probability_edge,fold05,middle_edge_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,-99.02,0.33,4,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03S_et_probability_shape_attribution_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03S_et_probability_shape_attribution_probe_v1_middle_edge_tier_b_fallback_only_validation_is.htm
run03S_et_probability_shape_attribution_probe_v1,middle_edge,middle_probability_edge,fold05,middle_edge_routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,-93.64,0.87,32,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03S_et_probability_shape_attribution_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03S_et_probability_shape_attribution_probe_v1_middle_edge_routed_validation_is.htm
run03S_et_probability_shape_attribution_probe_v1,wide_edge,wide_probability_edge,fold05,wide_edge_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,4.08,1.01,19,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03S_et_probability_shape_attribution_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03S_et_probability_shape_attribution_probe_v1_wide_edge_tier_a_only_validation_is.htm
run03S_et_probability_shape_attribution_probe_v1,wide_edge,wide_probability_edge,fold05,wide_edge_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,189.75,5.82,2,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03S_et_probability_shape_attribution_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03S_et_probability_shape_attribution_probe_v1_wide_edge_tier_b_fallback_only_validation_is.htm
run03S_et_probability_shape_attribution_probe_v1,wide_edge,wide_probability_edge,fold05,wide_edge_routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,180.47,1.41,21,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03S_et_probability_shape_attribution_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03S_et_probability_shape_attribution_probe_v1_wide_edge_routed_validation_is.htm
run03S_et_probability_shape_attribution_probe_v1,thin_edge,thin_probability_edge,fold05,thin_edge_tier_a_only_oos,oos,test,Tier A,tier_only_total,completed,completed,completed,0.02,1,5,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03S_et_probability_shape_attribution_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03S_et_probability_shape_attribution_probe_v1_thin_edge_tier_a_only_oos.htm
