run_id,stage_id,record_view,split,tier_scope,route_role,report_path,report_sha256,net_profit,profit_factor,trade_count,max_drawdown_amount,status
run11F_xgb_dart_booster_probe_v1,17_model_family_challenge__xgboost_regularized_boosting_scout,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,stages/17_model_family_challenge__xgboost_regularized_boosting_scout/02_runs/run11F_xgb_dart_booster_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run11F_xgb_dart_booster_probe_v1_tier_a_only_validation_is.htm,7e4f3e031c16d316393b9c9c1fd5c05899921f411545251ab1b80799889007c8,103.83,1.07,279,390.94,recorded
run11F_xgb_dart_booster_probe_v1,17_model_family_challenge__xgboost_regularized_boosting_scout,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,stages/17_model_family_challenge__xgboost_regularized_boosting_scout/02_runs/run11F_xgb_dart_booster_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run11F_xgb_dart_booster_probe_v1_tier_b_fallback_only_validation_is.htm,b7c622d798d02cb1c39365af082e292cc32e712a86c785204d72d71c91d2122b,167.49,2.62,15,87.62,recorded
run11F_xgb_dart_booster_probe_v1,17_model_family_challenge__xgboost_regularized_boosting_scout,mt5_routed_tier_a_used_validation_is,validation,Tier A,primary_used,stages/17_model_family_challenge__xgboost_regularized_boosting_scout/02_runs/run11F_xgb_dart_booster_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run11F_xgb_dart_booster_probe_v1_routed_validation_is.htm,af1785bc8a229c4dfdadff880e44d99dc8137e24b474030fd7a520b5e9a2e2c3,NA,NA,NA,NA,recorded
run11F_xgb_dart_booster_probe_v1,17_model_family_challenge__xgboost_regularized_boosting_scout,mt5_routed_tier_b_fallback_used_validation_is,validation,Tier B,fallback_used,stages/17_model_family_challenge__xgboost_regularized_boosting_scout/02_runs/run11F_xgb_dart_booster_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run11F_xgb_dart_booster_probe_v1_routed_validation_is.htm,af1785bc8a229c4dfdadff880e44d99dc8137e24b474030fd7a520b5e9a2e2c3,NA,NA,NA,NA,recorded
run11F_xgb_dart_booster_probe_v1,17_model_family_challenge__xgboost_regularized_boosting_scout,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,stages/17_model_family_challenge__xgboost_regularized_boosting_scout/02_runs/run11F_xgb_dart_booster_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run11F_xgb_dart_booster_probe_v1_routed_validation_is.htm,af1785bc8a229c4dfdadff880e44d99dc8137e24b474030fd7a520b5e9a2e2c3,125.17,1.08,291,388.24,recorded
run11F_xgb_dart_booster_probe_v1,17_model_family_challenge__xgboost_regularized_boosting_scout,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,stages/17_model_family_challenge__xgboost_regularized_boosting_scout/02_runs/run11F_xgb_dart_booster_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run11F_xgb_dart_booster_probe_v1_tier_a_only_oos.htm,33d5a95ec869a0ea7cb25ff33e2a17dd3f4c3a90a5efdb81a75b4fa65fcfcc9a,206.41,1.19,246,169.99,recorded
run11F_xgb_dart_booster_probe_v1,17_model_family_challenge__xgboost_regularized_boosting_scout,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,stages/17_model_family_challenge__xgboost_regularized_boosting_scout/02_runs/run11F_xgb_dart_booster_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run11F_xgb_dart_booster_probe_v1_tier_b_fallback_only_oos.htm,a07fa7c0a94629e55ba8a15e62567e14674d1ed3c1f6eec5a6267c8f184184fa,134.21,1.64,19,106.19,recorded
run11F_xgb_dart_booster_probe_v1,17_model_family_challenge__xgboost_regularized_boosting_scout,mt5_routed_tier_a_used_oos,oos,Tier A,primary_used,stages/17_model_family_challenge__xgboost_regularized_boosting_scout/02_runs/run11F_xgb_dart_booster_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run11F_xgb_dart_booster_probe_v1_routed_oos.htm,ad851134e88931681b94c846484fffa3f988d29b0bc949f44f4dc25971503130,NA,NA,NA,NA,recorded
run11F_xgb_dart_booster_probe_v1,17_model_family_challenge__xgboost_regularized_boosting_scout,mt5_routed_tier_b_fallback_used_oos,oos,Tier B,fallback_used,stages/17_model_family_challenge__xgboost_regularized_boosting_scout/02_runs/run11F_xgb_dart_booster_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run11F_xgb_dart_booster_probe_v1_routed_oos.htm,ad851134e88931681b94c846484fffa3f988d29b0bc949f44f4dc25971503130,NA,NA,NA,NA,recorded
run11F_xgb_dart_booster_probe_v1,17_model_family_challenge__xgboost_regularized_boosting_scout,mt5_routed_total_oos,oos,Tier A+B,routed_total,stages/17_model_family_challenge__xgboost_regularized_boosting_scout/02_runs/run11F_xgb_dart_booster_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run11F_xgb_dart_booster_probe_v1_routed_oos.htm,ad851134e88931681b94c846484fffa3f988d29b0bc949f44f4dc25971503130,193.23,1.18,259,176.88,recorded
