run_id,stage_id,record_view,split,tier_scope,route_role,report_path,report_sha256,net_profit,profit_factor,trade_count,max_drawdown_amount,status
run12I_catboost_long_bias_source_probe_v1,18_model_family_challenge__catboost_ordered_boosting_scout,mt5_routed_long_high_vol_tier_a_used_validation_is,validation,Tier A,primary_used,stages/18_model_family_challenge__catboost_ordered_boosting_scout/02_runs/run12I_catboost_long_bias_source_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run12I_catboost_long_bias_source_probe_v1_routed_long_high_vol_validation_is.htm,a3ca23413badfb392eecee223dadbd017e6880d9a882ada3744134129000ca29,NA,NA,NA,NA,recorded
run12I_catboost_long_bias_source_probe_v1,18_model_family_challenge__catboost_ordered_boosting_scout,mt5_routed_long_high_vol_tier_b_fallback_used_validation_is,validation,Tier B,fallback_used,stages/18_model_family_challenge__catboost_ordered_boosting_scout/02_runs/run12I_catboost_long_bias_source_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run12I_catboost_long_bias_source_probe_v1_routed_long_high_vol_validation_is.htm,a3ca23413badfb392eecee223dadbd017e6880d9a882ada3744134129000ca29,NA,NA,NA,NA,recorded
run12I_catboost_long_bias_source_probe_v1,18_model_family_challenge__catboost_ordered_boosting_scout,mt5_routed_long_high_vol_validation_is,validation,Tier A+B,routed_total,stages/18_model_family_challenge__catboost_ordered_boosting_scout/02_runs/run12I_catboost_long_bias_source_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run12I_catboost_long_bias_source_probe_v1_routed_long_high_vol_validation_is.htm,a3ca23413badfb392eecee223dadbd017e6880d9a882ada3744134129000ca29,-506.27,0.52,81,597.73,recorded
run12I_catboost_long_bias_source_probe_v1,18_model_family_challenge__catboost_ordered_boosting_scout,mt5_routed_long_open_session_tier_a_used_validation_is,validation,Tier A,primary_used,stages/18_model_family_challenge__catboost_ordered_boosting_scout/02_runs/run12I_catboost_long_bias_source_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run12I_catboost_long_bias_source_probe_v1_routed_long_open_session_validation_is.htm,53d39e747785d39170ab987a2fbc297c3fb5acaafb4aabeb6f6189f2d15ca43c,NA,NA,NA,NA,recorded
run12I_catboost_long_bias_source_probe_v1,18_model_family_challenge__catboost_ordered_boosting_scout,mt5_routed_long_open_session_tier_b_fallback_used_validation_is,validation,Tier B,fallback_used,stages/18_model_family_challenge__catboost_ordered_boosting_scout/02_runs/run12I_catboost_long_bias_source_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run12I_catboost_long_bias_source_probe_v1_routed_long_open_session_validation_is.htm,53d39e747785d39170ab987a2fbc297c3fb5acaafb4aabeb6f6189f2d15ca43c,NA,NA,NA,NA,recorded
run12I_catboost_long_bias_source_probe_v1,18_model_family_challenge__catboost_ordered_boosting_scout,mt5_routed_long_open_session_validation_is,validation,Tier A+B,routed_total,stages/18_model_family_challenge__catboost_ordered_boosting_scout/02_runs/run12I_catboost_long_bias_source_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run12I_catboost_long_bias_source_probe_v1_routed_long_open_session_validation_is.htm,53d39e747785d39170ab987a2fbc297c3fb5acaafb4aabeb6f6189f2d15ca43c,-506.04,0.1,6,556.2,recorded
run12I_catboost_long_bias_source_probe_v1,18_model_family_challenge__catboost_ordered_boosting_scout,mt5_routed_long_other_tier_a_used_validation_is,validation,Tier A,primary_used,stages/18_model_family_challenge__catboost_ordered_boosting_scout/02_runs/run12I_catboost_long_bias_source_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run12I_catboost_long_bias_source_probe_v1_routed_long_other_validation_is.htm,a7936fd855aadd6d7cf4d45bdd50d5db9bfbbf22c5473b9c7e0e53c96eb19af7,NA,NA,NA,NA,recorded
run12I_catboost_long_bias_source_probe_v1,18_model_family_challenge__catboost_ordered_boosting_scout,mt5_routed_long_other_tier_b_fallback_used_validation_is,validation,Tier B,fallback_used,stages/18_model_family_challenge__catboost_ordered_boosting_scout/02_runs/run12I_catboost_long_bias_source_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run12I_catboost_long_bias_source_probe_v1_routed_long_other_validation_is.htm,a7936fd855aadd6d7cf4d45bdd50d5db9bfbbf22c5473b9c7e0e53c96eb19af7,NA,NA,NA,NA,recorded
run12I_catboost_long_bias_source_probe_v1,18_model_family_challenge__catboost_ordered_boosting_scout,mt5_routed_long_other_validation_is,validation,Tier A+B,routed_total,stages/18_model_family_challenge__catboost_ordered_boosting_scout/02_runs/run12I_catboost_long_bias_source_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run12I_catboost_long_bias_source_probe_v1_routed_long_other_validation_is.htm,a7936fd855aadd6d7cf4d45bdd50d5db9bfbbf22c5473b9c7e0e53c96eb19af7,710.48,30.91,8,130.98,recorded
run12I_catboost_long_bias_source_probe_v1,18_model_family_challenge__catboost_ordered_boosting_scout,mt5_routed_long_high_vol_tier_a_used_oos,oos,Tier A,primary_used,stages/18_model_family_challenge__catboost_ordered_boosting_scout/02_runs/run12I_catboost_long_bias_source_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run12I_catboost_long_bias_source_probe_v1_routed_long_high_vol_oos.htm,c335a7d18ab5784f2ec0e57cef01ca85d55d11b81bd7cd9d9db4790a408d0bb0,NA,NA,NA,NA,recorded
