run_number,feature_masked,split,baseline_net_profit,candidate_net_profit,delta_net_profit,baseline_trade_count,candidate_trade_count,candidate_profit_factor,candidate_max_drawdown_amount
run13N,top5_combined,validation,-107.72,174.76,282.48,372,243,1.25,144.81
run13N,top5_combined,oos,134.3,-90.4,-224.7,292,141,0.79,147.19
run13U,atr_14,validation,-107.72,-117.63,-9.91,372,249,0.87,221.03
run13U,atr_14,oos,134.3,-63.95,-198.25,292,141,0.88,166.53
run13V,ema9_ema20_diff,validation,-107.72,178.41,286.13,372,388,1.15,208.42
run13V,ema9_ema20_diff,oos,134.3,32.63,-101.67,292,304,1.04,105.58
run13W,ema50_ema200_diff,validation,-107.72,62.08,169.8,372,353,1.05,155.05
run13W,ema50_ema200_diff,oos,134.3,-269.11,-403.41,292,276,0.72,320.48
run13X,ema20_ema50_diff,validation,-107.72,-137.39,-29.67,372,372,0.89,257.09
run13X,ema20_ema50_diff,oos,134.3,4.3,-130,292,288,1.01,99.66
run13Y,hl_zscore_50,validation,-107.72,-42.09,65.63,372,399,0.97,335.81
run13Y,hl_zscore_50,oos,134.3,42.57,-91.73,292,315,1.05,94.13
run13AH,keep_ema50_ema200_diff_mask_other_top5,validation,-107.72,-5.08,102.64,372,312,0.99,135.43
run13AH,keep_ema50_ema200_diff_mask_other_top5,oos,134.3,46.56,-87.74,292,171,1.11,91.86
