source_run_number,source_run_id,topic_read,threshold_quantile,max_hold_bars,split,record_view,tier_scope,route_role,net_profit,profit_factor,expectancy,trade_count,win_rate_percent,max_drawdown_amount,feature_ready_count,model_ok_count,model_fail_count,order_attempt_count,order_fill_count,signal_count,long_signal_count,short_signal_count,route_share,profit_attribution_note
run13B,run13B_ebm_q90_runtime_handoff_probe_v1,q90_runtime_handoff_feasibility,0.9,12,validation,mt5_tier_a_only_validation_is,Tier A,tier_only_total,-72.73,0.94,-0.32,229,48.91,378.32,9844,,42964,417,417,,688,297,,
run13B,run13B_ebm_q90_runtime_handoff_probe_v1,q90_runtime_handoff_feasibility,0.9,12,validation,mt5_tier_b_fallback_only_validation_is,Tier B,tier_b_fallback_only_total,118.96,5.72,14.87,8,50,352.95,2366,,50442,16,16,,0,0,,
run13B,run13B_ebm_q90_runtime_handoff_probe_v1,q90_runtime_handoff_feasibility,0.9,12,validation,mt5_routed_tier_a_used_validation_is,Tier A,primary_used,,,,,,,9844,,,410,410,985,688,297,0.80622441,not_separable_from_single_routed_account_path
run13B,run13B_ebm_q90_runtime_handoff_probe_v1,q90_runtime_handoff_feasibility,0.9,12,validation,mt5_routed_tier_b_fallback_used_validation_is,Tier B,fallback_used,,,,,,,2366,,,17,17,26,12,14,0.19377559,not_separable_from_single_routed_account_path
run13B,run13B_ebm_q90_runtime_handoff_probe_v1,q90_runtime_handoff_feasibility,0.9,12,validation,mt5_routed_total_validation_is,Tier A+B,routed_total,-84.61,0.93,-0.36,234,49.15,380.54,12210,,40598,427,427,,688,297,1,
run13B,run13B_ebm_q90_runtime_handoff_probe_v1,q90_runtime_handoff_feasibility,0.9,12,oos,mt5_tier_a_only_oos,Tier A,tier_only_total,-55.81,0.94,-0.31,179,49.16,293.64,7584,,29753,330,330,,480,264,,
run13B,run13B_ebm_q90_runtime_handoff_probe_v1,q90_runtime_handoff_feasibility,0.9,12,oos,mt5_tier_b_fallback_only_oos,Tier B,tier_b_fallback_only_total,-18.85,0.92,-1.18,16,50,209.56,1062,,36275,27,27,,0,0,,
run13B,run13B_ebm_q90_runtime_handoff_probe_v1,q90_runtime_handoff_feasibility,0.9,12,oos,mt5_routed_tier_a_used_oos,Tier A,primary_used,,,,,,,7584,,,333,333,744,480,264,0.87716863,not_separable_from_single_routed_account_path
run13B,run13B_ebm_q90_runtime_handoff_probe_v1,q90_runtime_handoff_feasibility,0.9,12,oos,mt5_routed_tier_b_fallback_used_oos,Tier B,fallback_used,,,,,,,1062,,,19,19,33,25,8,0.12283137,not_separable_from_single_routed_account_path
run13B,run13B_ebm_q90_runtime_handoff_probe_v1,q90_runtime_handoff_feasibility,0.9,12,oos,mt5_routed_total_oos,Tier A+B,routed_total,-52.24,0.95,-0.27,191,50.79,283.28,8646,,28691,352,352,,480,264,1,
run13F,run13F_ebm_q90_hold6_probe_v1,q90_hold6_trade_shape_stress,0.9,6,validation,mt5_tier_a_only_validation_is,Tier A,tier_only_total,-184.1,0.85,-0.61,300,47.67,460.21,9844,,42964,582,582,,688,297,,
run13F,run13F_ebm_q90_hold6_probe_v1,q90_hold6_trade_shape_stress,0.9,6,validation,mt5_tier_b_fallback_only_validation_is,Tier B,tier_b_fallback_only_total,78.95,6.26,8.77,9,55.56,352.95,2366,,50442,18,18,,0,0,,
run13F,run13F_ebm_q90_hold6_probe_v1,q90_hold6_trade_shape_stress,0.9,6,validation,mt5_routed_tier_a_used_validation_is,Tier A,primary_used,,,,,,,9844,,,575,575,985,688,297,0.80622441,not_separable_from_single_routed_account_path
run13F,run13F_ebm_q90_hold6_probe_v1,q90_hold6_trade_shape_stress,0.9,6,validation,mt5_routed_tier_b_fallback_used_validation_is,Tier B,fallback_used,,,,,,,2366,,,19,19,26,12,14,0.19377559,not_separable_from_single_routed_account_path
run13F,run13F_ebm_q90_hold6_probe_v1,q90_hold6_trade_shape_stress,0.9,6,validation,mt5_routed_total_validation_is,Tier A+B,routed_total,-188.66,0.85,-0.62,306,47.06,460.42,12210,,40598,594,594,,688,297,1,
