attempt_name,adapter_id,split,tier,view,atr_enabled,model_risk_enabled,atr_stop_multiplier,atr_take_profit_multiplier,telemetry_path,status,cycle_rows,risk_floor_applied_count,avg_model_risk_pct,max_model_risk_pct,avg_clipped_risk_pct,max_clipped_risk_pct,avg_computed_lot,max_computed_lot,avg_executed_lot,max_executed_lot,max_actual_risk_pct_after_floor,avg_actual_risk_pct_after_floor,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket,telemetry_sha256
s106_v41_h3_cd8_lng_early_adx185_ta_val,s106_v41_h3_cd8_lng_early_adx185,validation_is,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s106a/run106A/s106_v41_h3_cd8_lng_early_adx185/telemetry/s106_v41_h3_cd8_lng_early_adx185_ta_val_telemetry.csv,completed,9844,0,0.0009795306786,0.0475,0.0009795306786,0.0475,0.01304716786,2.305778284,0.01295205201,2.3,0.0474966011,0.0009697373114,3634.39774,7541.375311,14537.59096,high_capped,f441b89e8143bac07c0b967af19842a8e6b48bbcf0c2bc800377ce6a60bf9db6
s106_v41_h3_cd8_lng_early_adx185_rt_val,s106_v41_h3_cd8_lng_early_adx185,validation_is,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s106a/run106A/s106_v41_h3_cd8_lng_early_adx185/telemetry/s106_v41_h3_cd8_lng_early_adx185_rt_val_telemetry.csv,completed,9844,0,0.0009795306786,0.0475,0.0009795306786,0.0475,0.01304716786,2.305778284,0.01295205201,2.3,0.0474966011,0.0009697373114,3634.39774,7541.375311,14537.59096,high_capped,f441b89e8143bac07c0b967af19842a8e6b48bbcf0c2bc800377ce6a60bf9db6
s106_v41_h3_cd8_lng_early_adx185_ta_oos,s106_v41_h3_cd8_lng_early_adx185,oos,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s106a/run106A/s106_v41_h3_cd8_lng_early_adx185/telemetry/s106_v41_h3_cd8_lng_early_adx185_ta_oos_telemetry.csv,completed,7584,0,0.0009582674051,0.0475,0.0009582674051,0.0475,0.008102318272,0.9623406353,0.008003691983,0.96,0.0474926382,0.0009435694859,3903.364499,8099.481335,15613.45799,high_capped,7d921b56e80402c3b0ca893d4fc263bfd2a90999fb9cbc667b9274ad1988a383
s106_v41_h3_cd8_lng_early_adx185_rt_oos,s106_v41_h3_cd8_lng_early_adx185,oos,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s106a/run106A/s106_v41_h3_cd8_lng_early_adx185/telemetry/s106_v41_h3_cd8_lng_early_adx185_rt_oos_telemetry.csv,completed,7584,0,0.0009582674051,0.0475,0.0009582674051,0.0475,0.008102318272,0.9623406353,0.008003691983,0.96,0.0474926382,0.0009435694859,3903.364499,8099.481335,15613.45799,high_capped,7d921b56e80402c3b0ca893d4fc263bfd2a90999fb9cbc667b9274ad1988a383
s106_v41_h4_cd8_lng_early_adx19_ta_val,s106_v41_h4_cd8_lng_early_adx19,validation_is,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s106a/run106A/s106_v41_h4_cd8_lng_early_adx19/telemetry/s106_v41_h4_cd8_lng_early_adx19_ta_val_telemetry.csv,completed,9844,0,0.00096988013,0.0475,0.00096988013,0.0475,0.01267907232,2.31215945,0.01257212515,2.31,0.0474900535,0.0009576845161,3634.39774,7541.375311,14537.59096,high_capped,84018bc1645ebaa0a984f75aace8f644dfda47ba78f6ab67f621912ef1180076
s106_v41_h4_cd8_lng_early_adx19_rt_val,s106_v41_h4_cd8_lng_early_adx19,validation_is,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s106a/run106A/s106_v41_h4_cd8_lng_early_adx19/telemetry/s106_v41_h4_cd8_lng_early_adx19_rt_val_telemetry.csv,completed,9844,0,0.00096988013,0.0475,0.00096988013,0.0475,0.01267907232,2.31215945,0.01257212515,2.31,0.0474900535,0.0009576845161,3634.39774,7541.375311,14537.59096,high_capped,84018bc1645ebaa0a984f75aace8f644dfda47ba78f6ab67f621912ef1180076
s106_v41_h4_cd8_lng_early_adx19_ta_oos,s106_v41_h4_cd8_lng_early_adx19,oos,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s106a/run106A/s106_v41_h4_cd8_lng_early_adx19/telemetry/s106_v41_h4_cd8_lng_early_adx19_ta_oos_telemetry.csv,completed,7584,0,0.0009582674051,0.0475,0.0009582674051,0.0475,0.008311326232,0.9620700986,0.008215981013,0.96,0.0474827933,0.0009438071293,3903.364499,8099.481335,15613.45799,high_capped,ddce4b693b389ac36bfb6f06b95860bf08df2f38373d2ada5933c6cb8cdb6405
s106_v41_h4_cd8_lng_early_adx19_rt_oos,s106_v41_h4_cd8_lng_early_adx19,oos,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s106a/run106A/s106_v41_h4_cd8_lng_early_adx19/telemetry/s106_v41_h4_cd8_lng_early_adx19_rt_oos_telemetry.csv,completed,7584,0,0.0009582674051,0.0475,0.0009582674051,0.0475,0.008311326232,0.9620700986,0.008215981013,0.96,0.0474827933,0.0009438071293,3903.364499,8099.481335,15613.45799,high_capped,ddce4b693b389ac36bfb6f06b95860bf08df2f38373d2ada5933c6cb8cdb6405
s106_v41_h3_cd9_lng_early_adx19_ta_val,s106_v41_h3_cd9_lng_early_adx19,validation_is,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s106a/run106A/s106_v41_h3_cd9_lng_early_adx19/telemetry/s106_v41_h3_cd9_lng_early_adx19_ta_val_telemetry.csv,completed,9844,0,0.00096988013,0.0475,0.00096988013,0.0475,0.01244560673,2.235719444,0.01234559122,2.23,0.0474936092,0.0009588233664,3634.39774,7541.375311,14537.59096,high_capped,4ba1e01e108113364a9a1978388fc4f6abd588e187b803aadfed752c99a4e7b5
s106_v41_h3_cd9_lng_early_adx19_rt_val,s106_v41_h3_cd9_lng_early_adx19,validation_is,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s106a/run106A/s106_v41_h3_cd9_lng_early_adx19/telemetry/s106_v41_h3_cd9_lng_early_adx19_rt_val_telemetry.csv,completed,9844,0,0.00096988013,0.0475,0.00096988013,0.0475,0.01244560673,2.235719444,0.01234559122,2.23,0.0474936092,0.0009588233664,3634.39774,7541.375311,14537.59096,high_capped,4ba1e01e108113364a9a1978388fc4f6abd588e187b803aadfed752c99a4e7b5
