attempt_name,adapter_id,split,tier,view,atr_enabled,model_risk_enabled,atr_stop_multiplier,atr_take_profit_multiplier,telemetry_path,status,cycle_rows,risk_floor_applied_count,avg_model_risk_pct,max_model_risk_pct,avg_clipped_risk_pct,max_clipped_risk_pct,avg_computed_lot,max_computed_lot,avg_executed_lot,max_executed_lot,max_actual_risk_pct_after_floor,avg_actual_risk_pct_after_floor,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket,telemetry_sha256
s108_v41_h4_cd9_lng_early_adx19_ta_val,s108_v41_h4_cd9_lng_early_adx19,validation_is,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s108a/run108A/s108_v41_h4_cd9_lng_early_adx19/telemetry/s108_v41_h4_cd9_lng_early_adx19_ta_val_telemetry.csv,completed,9844,0,0.00096988013,0.0475,0.00096988013,0.0475,0.01239554754,2.227278217,0.01228971963,2.22,0.0474951678,0.0009575361643,3634.39774,7541.375311,14537.59096,high_capped,5e67a9ffffe71563d7ec5b12a2235297427d13e5ba00815e396a177b241f5d36
s108_v41_h4_cd9_lng_early_adx19_rt_val,s108_v41_h4_cd9_lng_early_adx19,validation_is,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s108a/run108A/s108_v41_h4_cd9_lng_early_adx19/telemetry/s108_v41_h4_cd9_lng_early_adx19_rt_val_telemetry.csv,completed,9844,0,0.00096988013,0.0475,0.00096988013,0.0475,0.01239554754,2.227278217,0.01228971963,2.22,0.0474951678,0.0009575361643,3634.39774,7541.375311,14537.59096,high_capped,5e67a9ffffe71563d7ec5b12a2235297427d13e5ba00815e396a177b241f5d36
s108_v41_h4_cd9_lng_early_adx19_ta_oos,s108_v41_h4_cd9_lng_early_adx19,oos,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s108a/run108A/s108_v41_h4_cd9_lng_early_adx19/telemetry/s108_v41_h4_cd9_lng_early_adx19_ta_oos_telemetry.csv,completed,7584,0,0.0009582674051,0.0475,0.0009582674051,0.0475,0.008311326232,0.9620700986,0.008215981013,0.96,0.0474827933,0.0009438071293,3903.364499,8099.481335,15613.45799,high_capped,dc1210d7fc45539ab22088c0d6c9fd8f45d002337904ea2442736b890577f66e
s108_v41_h4_cd9_lng_early_adx19_rt_oos,s108_v41_h4_cd9_lng_early_adx19,oos,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s108a/run108A/s108_v41_h4_cd9_lng_early_adx19/telemetry/s108_v41_h4_cd9_lng_early_adx19_rt_oos_telemetry.csv,completed,7584,0,0.0009582674051,0.0475,0.0009582674051,0.0475,0.008311326232,0.9620700986,0.008215981013,0.96,0.0474827933,0.0009438071293,3903.364499,8099.481335,15613.45799,high_capped,dc1210d7fc45539ab22088c0d6c9fd8f45d002337904ea2442736b890577f66e
s108_v41_h4_cd10_lng_early_adx19_ta_val,s108_v41_h4_cd10_lng_early_adx19,validation_is,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s108a/run108A/s108_v41_h4_cd10_lng_early_adx19/telemetry/s108_v41_h4_cd10_lng_early_adx19_ta_val_telemetry.csv,completed,9844,0,0.00096988013,0.0475,0.00096988013,0.0475,0.01232351016,2.183832692,0.01222267371,2.18,0.0474853808,0.0009582570824,3634.39774,7541.375311,14537.59096,high_capped,5abd70b4c8c0a43b398171b56a5bc8cd8c9c2f9e8d833c6ce501f47430911cc3
s108_v41_h4_cd10_lng_early_adx19_rt_val,s108_v41_h4_cd10_lng_early_adx19,validation_is,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s108a/run108A/s108_v41_h4_cd10_lng_early_adx19/telemetry/s108_v41_h4_cd10_lng_early_adx19_rt_val_telemetry.csv,completed,9844,0,0.00096988013,0.0475,0.00096988013,0.0475,0.01232351016,2.183832692,0.01222267371,2.18,0.0474853808,0.0009582570824,3634.39774,7541.375311,14537.59096,high_capped,5abd70b4c8c0a43b398171b56a5bc8cd8c9c2f9e8d833c6ce501f47430911cc3
s108_v41_h4_cd10_lng_early_adx19_ta_oos,s108_v41_h4_cd10_lng_early_adx19,oos,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s108a/run108A/s108_v41_h4_cd10_lng_early_adx19/telemetry/s108_v41_h4_cd10_lng_early_adx19_ta_oos_telemetry.csv,completed,7584,0,0.0009582674051,0.0475,0.0009582674051,0.0475,0.007911640582,0.8985668127,0.007805907173,0.89,0.0474785612,0.0009423456307,3903.364499,8099.481335,15613.45799,high_capped,8fe4b82a938da3a20876d3fd7b90bead025ddfabf75b4ac10f9bf145e6939bf5
s108_v41_h4_cd10_lng_early_adx19_rt_oos,s108_v41_h4_cd10_lng_early_adx19,oos,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s108a/run108A/s108_v41_h4_cd10_lng_early_adx19/telemetry/s108_v41_h4_cd10_lng_early_adx19_rt_oos_telemetry.csv,completed,7584,0,0.0009582674051,0.0475,0.0009582674051,0.0475,0.007911640582,0.8985668127,0.007805907173,0.89,0.0474785612,0.0009423456307,3903.364499,8099.481335,15613.45799,high_capped,8fe4b82a938da3a20876d3fd7b90bead025ddfabf75b4ac10f9bf145e6939bf5
s108_v41_h3_cd10_lng_early_adx19_ta_val,s108_v41_h3_cd10_lng_early_adx19,validation_is,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s108a/run108A/s108_v41_h3_cd10_lng_early_adx19/telemetry/s108_v41_h3_cd10_lng_early_adx19_ta_val_telemetry.csv,completed,9844,0,0.00096988013,0.0475,0.00096988013,0.0475,0.01251448356,2.234329322,0.01241263714,2.23,0.0474925007,0.0009585606438,3634.39774,7541.375311,14537.59096,high_capped,366e2e68e9b0b4c63f6309c1a9f65a985b19b35ab0c3ff1f0feba1bd4ff2c6fd
s108_v41_h3_cd10_lng_early_adx19_rt_val,s108_v41_h3_cd10_lng_early_adx19,validation_is,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s108a/run108A/s108_v41_h3_cd10_lng_early_adx19/telemetry/s108_v41_h3_cd10_lng_early_adx19_rt_val_telemetry.csv,completed,9844,0,0.00096988013,0.0475,0.00096988013,0.0475,0.01251448356,2.234329322,0.01241263714,2.23,0.0474925007,0.0009585606438,3634.39774,7541.375311,14537.59096,high_capped,366e2e68e9b0b4c63f6309c1a9f65a985b19b35ab0c3ff1f0feba1bd4ff2c6fd
