run_id,source_stage,source_run_id,adapter_id,split,profit_factor,net_profit,max_drawdown_percent,trade_count,expectancy,cost_stressed_expectancy,same_move_reentry_ratio,mfe_capture_ratio,early_net_profit,early_profit_factor,mid_net_profit,mid_profit_factor,late_net_profit,late_profit_factor,pf_gap_to_34d,net_gap_to_34d,dd_gap_to_34d,trade_count_gap_to_34d,dd_gap_to_stage110,stage116_anchor_adapter,trade_count_delta_vs_stage114_anchor,pf_delta_vs_stage114_anchor,net_delta_vs_stage114_anchor,dd_delta_vs_stage114_anchor,stage117_read
run117A_stage117_v41_density_quality_followup_review_v1,legacy_34d_lesson_target,legacy_34d_lesson_only,legacy_34d_kpi_target_not_v2_result,oos,1.583157,987.60,12.909136,404,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.000000,0.00,0.000000,0,-5.780864,,,,,,lesson_only_target_not_v2_result
run117A_stage117_v41_density_quality_followup_review_v1,stage110_balanced_reference,run110A_stage110_v41_trade_density_net_scale_after_dd_tradeoff_repair_v1,s110_v41_h3_cd9_lng53_early_adx19,oos,1.637077,644.76,18.690000,147,4.386122,4.086122,0.054422,0.234643,38.84,1.157012,179.59,1.726266,426.33,1.988134,0.053920,-342.84,5.780864,-257,0.000000,,,,,,prior_reference_has_lower_net_and_density_but_lower_dd_than_stage116
run117A_stage117_v41_density_quality_followup_review_v1,stage114_supply_quality_filter,run114A_stage114_v41_supply_quality_filter_repair_v1,s114_v41_h3_cd9_rule_block_lng53,oos,1.370076,1668.39,19.430000,253,6.594427,6.294427,0.035573,0.151035,496.09,1.480661,439.48,1.316850,732.82,1.350781,-0.213081,680.79,6.520864,-151,0.740000,,,,,,density_preserved_but_pf_below_34d_and_dd_high
run117A_stage117_v41_density_quality_followup_review_v1,stage114_supply_quality_filter,run114A_stage114_v41_supply_quality_filter_repair_v1,s114_v41_h3_cd9_margin_mid_block_lng53,oos,1.428448,941.69,28.190000,221,4.261041,3.961041,0.058824,0.166221,153.23,1.259514,248.37,1.368835,540.09,1.578211,-0.154709,-45.91,15.280864,-183,9.500000,,,,,,moderate_density_but_net_pf_and_dd_not_enough
run117A_stage117_v41_density_quality_followup_review_v1,stage114_supply_quality_filter,run114A_stage114_v41_supply_quality_filter_repair_v1,s114_v41_h3_cd9_rule_margin_block_lng53,oos,1.793202,1859.29,19.080000,164,11.337134,11.037134,0.030488,0.258658,311.83,1.613887,590.83,1.877149,956.63,1.822915,0.210045,871.69,6.170864,-240,0.390000,,,,,,quality_anchor_strong_but_density_and_dd_gap_remain
run117A_stage117_v41_density_quality_followup_review_v1,stage114_supply_quality_filter,run114A_stage114_v41_supply_quality_filter_repair_v1,s114_v41_h3_cd9_session_margin_block_lng53,oos,1.810757,2041.72,19.100000,174,11.734023,11.434023,0.028736,0.261395,330.79,1.636306,717.97,2.080109,992.96,1.744510,0.227600,1054.12,6.190864,-230,0.410000,,,,,,quality_anchor_strong_but_density_and_dd_gap_remain
run117A_stage117_v41_density_quality_followup_review_v1,stage116_density_quality_balance_repair,run116A_stage116_v41_density_quality_balance_repair_v1,s116_v41_h3_cd9_rule_margin_lng52,oos,1.793202,1859.29,19.080000,164,11.337134,11.037134,0.030488,0.258658,311.83,1.613887,590.83,1.877149,956.63,1.822915,0.210045,871.69,6.170864,-240,0.390000,s114_v41_h3_cd9_rule_margin_block_lng53,0,0.000000,0.00,0.000000,unchanged_from_stage114_quality_anchor
run117A_stage117_v41_density_quality_followup_review_v1,stage116_density_quality_balance_repair,run116A_stage116_v41_density_quality_balance_repair_v1,s116_v41_h3_cd8_rule_margin_lng53,oos,1.690228,1621.47,19.540000,166,9.767892,9.467892,0.042169,0.236603,291.31,1.551222,618.96,1.947784,711.20,1.609092,0.107071,633.87,6.630864,-238,0.850000,s114_v41_h3_cd9_rule_margin_block_lng53,2,-0.102974,-237.82,0.460000,tiny_density_gain_with_quality_or_dd_damage
run117A_stage117_v41_density_quality_followup_review_v1,stage116_density_quality_balance_repair,run116A_stage116_v41_density_quality_balance_repair_v1,s116_v41_h3_cd9_session_margin_lng52,oos,1.810757,2041.72,19.100000,174,11.734023,11.434023,0.028736,0.261395,330.79,1.636306,717.97,2.080109,992.96,1.744510,0.227600,1054.12,6.190864,-230,0.410000,s114_v41_h3_cd9_session_margin_block_lng53,0,0.000000,0.00,0.000000,unchanged_from_stage114_quality_anchor
run117A_stage117_v41_density_quality_followup_review_v1,stage116_density_quality_balance_repair,run116A_stage116_v41_density_quality_balance_repair_v1,s116_v41_h3_cd8_session_margin_lng53,oos,1.707482,1783.59,19.590000,176,10.134034,9.834034,0.039773,0.239614,312.74,1.581398,680.72,1.944683,790.13,1.625821,0.124325,795.99,6.680864,-228,0.900000,s114_v41_h3_cd9_session_margin_block_lng53,2,-0.103275,-258.13,0.490000,tiny_density_gain_with_quality_or_dd_damage
