ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run118A_stage118_v41_dd_compression_density_repair_v1__mt5_tier_a_only_s118_v41_h3_cd9_session_margin_risk040_lng52_validation_is,118_adapter_research__v41_dd_compression_density_repair,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_tier_a_only_s118_v41_h3_cd9_session_margin_risk040_lng52_validation_is,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_tier_a_only_s118_v41_h3_cd9_session_margin_risk040_lng52_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/118_adapter_research__v41_dd_compression_density_repair/02_runs/run118A/mt5/reports/Project_Obsidian_Prime_v2_run118A_stage118_v41_dd_compression_density_repair_v1_s118_v41_h3_cd9_session_margin_risk040_lng52_ta_val.htm,net_profit=1717.4;pf=1.59;expectancy=6.68;trades=257;win_rate=53.7,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=329.51;recovery=5.21;fill=446;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run118A_stage118_v41_dd_compression_density_repair_v1__mt5_routed_s118_v41_h3_cd9_session_margin_risk040_lng52_validation_is,118_adapter_research__v41_dd_compression_density_repair,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_routed_s118_v41_h3_cd9_session_margin_risk040_lng52_validation_is,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_routed_s118_v41_h3_cd9_session_margin_risk040_lng52_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/118_adapter_research__v41_dd_compression_density_repair/02_runs/run118A/mt5/reports/Project_Obsidian_Prime_v2_run118A_stage118_v41_dd_compression_density_repair_v1_s118_v41_h3_cd9_session_margin_risk040_lng52_rt_val.htm,net_profit=1717.4;pf=1.59;expectancy=6.68;trades=257;win_rate=53.7,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=329.51;recovery=5.21;fill=446;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run118A_stage118_v41_dd_compression_density_repair_v1__mt5_tier_a_only_s118_v41_h3_cd9_session_margin_risk040_lng52_oos,118_adapter_research__v41_dd_compression_density_repair,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_tier_a_only_s118_v41_h3_cd9_session_margin_risk040_lng52_oos,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_tier_a_only_s118_v41_h3_cd9_session_margin_risk040_lng52_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/118_adapter_research__v41_dd_compression_density_repair/02_runs/run118A/mt5/reports/Project_Obsidian_Prime_v2_run118A_stage118_v41_dd_compression_density_repair_v1_s118_v41_h3_cd9_session_margin_risk040_lng52_ta_oos.htm,net_profit=1495.8;pf=1.82;expectancy=8.6;trades=174;win_rate=57.47,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=215.01;recovery=6.96;fill=298;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run118A_stage118_v41_dd_compression_density_repair_v1__mt5_routed_s118_v41_h3_cd9_session_margin_risk040_lng52_oos,118_adapter_research__v41_dd_compression_density_repair,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_routed_s118_v41_h3_cd9_session_margin_risk040_lng52_oos,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_routed_s118_v41_h3_cd9_session_margin_risk040_lng52_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/118_adapter_research__v41_dd_compression_density_repair/02_runs/run118A/mt5/reports/Project_Obsidian_Prime_v2_run118A_stage118_v41_dd_compression_density_repair_v1_s118_v41_h3_cd9_session_margin_risk040_lng52_rt_oos.htm,net_profit=1495.8;pf=1.82;expectancy=8.6;trades=174;win_rate=57.47,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=215.01;recovery=6.96;fill=298;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run118A_stage118_v41_dd_compression_density_repair_v1__mt5_tier_a_only_s118_v41_h3_cd9_session_margin_risk035_lng52_validation_is,118_adapter_research__v41_dd_compression_density_repair,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_tier_a_only_s118_v41_h3_cd9_session_margin_risk035_lng52_validation_is,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_tier_a_only_s118_v41_h3_cd9_session_margin_risk035_lng52_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/118_adapter_research__v41_dd_compression_density_repair/02_runs/run118A/mt5/reports/Project_Obsidian_Prime_v2_run118A_stage118_v41_dd_compression_density_repair_v1_s118_v41_h3_cd9_session_margin_risk035_lng52_ta_val.htm,net_profit=1394.52;pf=1.6;expectancy=5.43;trades=257;win_rate=53.7,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=244.97;recovery=5.69;fill=446;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run118A_stage118_v41_dd_compression_density_repair_v1__mt5_routed_s118_v41_h3_cd9_session_margin_risk035_lng52_validation_is,118_adapter_research__v41_dd_compression_density_repair,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_routed_s118_v41_h3_cd9_session_margin_risk035_lng52_validation_is,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_routed_s118_v41_h3_cd9_session_margin_risk035_lng52_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/118_adapter_research__v41_dd_compression_density_repair/02_runs/run118A/mt5/reports/Project_Obsidian_Prime_v2_run118A_stage118_v41_dd_compression_density_repair_v1_s118_v41_h3_cd9_session_margin_risk035_lng52_rt_val.htm,net_profit=1394.52;pf=1.6;expectancy=5.43;trades=257;win_rate=53.7,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=244.97;recovery=5.69;fill=446;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run118A_stage118_v41_dd_compression_density_repair_v1__mt5_tier_a_only_s118_v41_h3_cd9_session_margin_risk035_lng52_oos,118_adapter_research__v41_dd_compression_density_repair,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_tier_a_only_s118_v41_h3_cd9_session_margin_risk035_lng52_oos,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_tier_a_only_s118_v41_h3_cd9_session_margin_risk035_lng52_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/118_adapter_research__v41_dd_compression_density_repair/02_runs/run118A/mt5/reports/Project_Obsidian_Prime_v2_run118A_stage118_v41_dd_compression_density_repair_v1_s118_v41_h3_cd9_session_margin_risk035_lng52_ta_oos.htm,net_profit=1195.83;pf=1.83;expectancy=6.87;trades=174;win_rate=57.47,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=170.09;recovery=7.03;fill=298;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run118A_stage118_v41_dd_compression_density_repair_v1__mt5_routed_s118_v41_h3_cd9_session_margin_risk035_lng52_oos,118_adapter_research__v41_dd_compression_density_repair,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_routed_s118_v41_h3_cd9_session_margin_risk035_lng52_oos,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_routed_s118_v41_h3_cd9_session_margin_risk035_lng52_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/118_adapter_research__v41_dd_compression_density_repair/02_runs/run118A/mt5/reports/Project_Obsidian_Prime_v2_run118A_stage118_v41_dd_compression_density_repair_v1_s118_v41_h3_cd9_session_margin_risk035_lng52_rt_oos.htm,net_profit=1195.83;pf=1.83;expectancy=6.87;trades=174;win_rate=57.47,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=170.09;recovery=7.03;fill=298;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run118A_stage118_v41_dd_compression_density_repair_v1__mt5_tier_a_only_s118_v41_h3_cd9_session_margin_risk030_lng52_validation_is,118_adapter_research__v41_dd_compression_density_repair,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_tier_a_only_s118_v41_h3_cd9_session_margin_risk030_lng52_validation_is,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_tier_a_only_s118_v41_h3_cd9_session_margin_risk030_lng52_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/118_adapter_research__v41_dd_compression_density_repair/02_runs/run118A/mt5/reports/Project_Obsidian_Prime_v2_run118A_stage118_v41_dd_compression_density_repair_v1_s118_v41_h3_cd9_session_margin_risk030_lng52_ta_val.htm,net_profit=1089.24;pf=1.6;expectancy=4.24;trades=257;win_rate=53.7,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=175.05;recovery=6.22;fill=446;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run118A_stage118_v41_dd_compression_density_repair_v1__mt5_routed_s118_v41_h3_cd9_session_margin_risk030_lng52_validation_is,118_adapter_research__v41_dd_compression_density_repair,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_routed_s118_v41_h3_cd9_session_margin_risk030_lng52_validation_is,run118A_stage118_v41_dd_compression_density_repair_v1,mt5_routed_s118_v41_h3_cd9_session_margin_risk030_lng52_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/118_adapter_research__v41_dd_compression_density_repair/02_runs/run118A/mt5/reports/Project_Obsidian_Prime_v2_run118A_stage118_v41_dd_compression_density_repair_v1_s118_v41_h3_cd9_session_margin_risk030_lng52_rt_val.htm,net_profit=1089.24;pf=1.6;expectancy=4.24;trades=257;win_rate=53.7,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=175.05;recovery=6.22;fill=446;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
