attempt_name,adapter_id,split,tier,view,atr_enabled,model_risk_enabled,atr_stop_multiplier,atr_take_profit_multiplier,telemetry_path,status,cycle_rows,risk_floor_applied_count,avg_model_risk_pct,max_model_risk_pct,avg_clipped_risk_pct,max_clipped_risk_pct,avg_computed_lot,max_computed_lot,avg_executed_lot,max_executed_lot,max_actual_risk_pct_after_floor,avg_actual_risk_pct_after_floor,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket,telemetry_sha256
s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52_ta_val,s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52,validation_is,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s128a/run128A/s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52/telemetry/s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52_ta_val_telemetry.csv,completed,9844,0,0.0009457537586,0.035,0.0009457537586,0.035,0.01024284817,1.85765203,0.01011275904,1.85,0.0349968805,0.0009281305884,3634.39774,7541.375311,14537.59096,high_capped,b7ec73bee51188d840b6cece8a44636ea73bf8aa214279aa5288080c8ff61883
s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52_rt_val,s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52,validation_is,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s128a/run128A/s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52/telemetry/s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52_rt_val_telemetry.csv,completed,9844,0,0.0009457537586,0.035,0.0009457537586,0.035,0.01024284817,1.85765203,0.01011275904,1.85,0.0349968805,0.0009281305884,3634.39774,7541.375311,14537.59096,high_capped,b7ec73bee51188d840b6cece8a44636ea73bf8aa214279aa5288080c8ff61883
s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52_ta_oos,s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52,oos,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s128a/run128A/s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52/telemetry/s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52_ta_oos_telemetry.csv,completed,7584,0,0.0008306962025,0.035,0.0008306962025,0.035,0.007035619071,0.7347804836,0.006922468354,0.73,0.0349962219,0.0008147692648,3903.364499,8099.481335,15613.45799,high_capped,7a8d8e06417aed01b3b783ebd9e6a7df3e503ccd28f6d4d0bda2492d2052b2db
s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52_rt_oos,s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52,oos,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s128a/run128A/s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52/telemetry/s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52_rt_oos_telemetry.csv,completed,7584,0,0.0008306962025,0.035,0.0008306962025,0.035,0.007035619071,0.7347804836,0.006922468354,0.73,0.0349962219,0.0008147692648,3903.364499,8099.481335,15613.45799,high_capped,7a8d8e06417aed01b3b783ebd9e6a7df3e503ccd28f6d4d0bda2492d2052b2db
s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52_ta_val,s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52,validation_is,Tier A,tier_a_only,True,True,1.8,3.2,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s128a/run128A/s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52/telemetry/s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52_ta_val_telemetry.csv,completed,9844,0,0.0009457537586,0.035,0.0009457537586,0.035,0.01070313483,1.857282342,0.0105658269,1.85,0.0349935885,0.0009297124675,3634.39774,6541.915933,11630.07277,high_capped,7c56ddbec68ec91f9fe46b4b31602aa4b9adb156142982990da9483a0533e0b9
s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52_rt_val,s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52,validation_is,Tier A+B,actual_routed_total,True,True,1.8,3.2,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s128a/run128A/s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52/telemetry/s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52_rt_val_telemetry.csv,completed,9844,0,0.0009457537586,0.035,0.0009457537586,0.035,0.01070313483,1.857282342,0.0105658269,1.85,0.0349935885,0.0009297124675,3634.39774,6541.915933,11630.07277,high_capped,7c56ddbec68ec91f9fe46b4b31602aa4b9adb156142982990da9483a0533e0b9
s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52_ta_oos,s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52,oos,Tier A,tier_a_only,True,True,1.8,3.2,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s128a/run128A/s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52/telemetry/s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52_ta_oos_telemetry.csv,completed,7584,0,0.0008306962025,0.035,0.0008306962025,0.035,0.008095312967,0.8397462569,0.00797600211,0.83,0.0349921445,0.0008155536051,3903.364499,7026.056097,12490.7664,high_capped,f20f20eaaa376d42bffb4cec0c63c1cc522e7027e10466186ff746304e042cd3
s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52_rt_oos,s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52,oos,Tier A+B,actual_routed_total,True,True,1.8,3.2,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s128a/run128A/s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52/telemetry/s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52_rt_oos_telemetry.csv,completed,7584,0,0.0008306962025,0.035,0.0008306962025,0.035,0.008095312967,0.8397462569,0.00797600211,0.83,0.0349921445,0.0008155536051,3903.364499,7026.056097,12490.7664,high_capped,f20f20eaaa376d42bffb4cec0c63c1cc522e7027e10466186ff746304e042cd3
s128_v41_h2_shortgate_sl2075_tp40_risk035_sht54_lng52_ta_val,s128_v41_h2_shortgate_sl2075_tp40_risk035_sht54_lng52,validation_is,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s128a/run128A/s128_v41_h2_shortgate_sl2075_tp40_risk035_sht54_lng52/telemetry/s128_v41_h2_shortgate_sl2075_tp40_risk035_sht54_lng52_ta_val_telemetry.csv,completed,9844,0,0.001144859813,0.035,0.001144859813,0.035,0.01162518986,1.797627286,0.01146485169,1.79,0.0349982655,0.001122210018,3634.39774,7541.375311,14537.59096,high_capped,f8d173fdd55036b9ab0a35583a1ace1305a87479e3132f4c22e0adb9f8cda1ab
s128_v41_h2_shortgate_sl2075_tp40_risk035_sht54_lng52_rt_val,s128_v41_h2_shortgate_sl2075_tp40_risk035_sht54_lng52,validation_is,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s128a/run128A/s128_v41_h2_shortgate_sl2075_tp40_risk035_sht54_lng52/telemetry/s128_v41_h2_shortgate_sl2075_tp40_risk035_sht54_lng52_rt_val_telemetry.csv,completed,9844,0,0.001144859813,0.035,0.001144859813,0.035,0.01162518986,1.797627286,0.01146485169,1.79,0.0349982655,0.001122210018,3634.39774,7541.375311,14537.59096,high_capped,f8d173fdd55036b9ab0a35583a1ace1305a87479e3132f4c22e0adb9f8cda1ab
