split,month,trade_count,net_profit,profit_factor,win_rate,expectancy,cost_stressed_expectancy,max_closed_trade_drawdown,mfe_capture_ratio,net_share,quality_flag
validation_is,2025-01,26,-1.8800000000,0.9852070000,0.5000000000,-0.0723080000,-0.3770230000,42.1000000000,-0.0080790000,-0.0013500000,negative_month
validation_is,2025-02,31,161.3000000000,1.8028870000,0.5806450000,5.2032260000,4.8985110000,70.1500000000,0.2906370000,0.1158220000,acceptable_measurement_only
validation_is,2025-03,35,52.1300000000,1.1841140000,0.5142860000,1.4894290000,1.1847140000,110.4000000000,0.0892510000,0.0374320000,acceptable_measurement_only
validation_is,2025-04,48,233.3300000000,1.6090420000,0.5625000000,4.8610420000,4.5563270000,92.6400000000,0.2323410000,0.1675430000,acceptable_measurement_only
validation_is,2025-05,31,39.2900000000,1.1324050000,0.4516130000,1.2674190000,0.9627050000,114.6600000000,0.0567870000,0.0282120000,acceptable_measurement_only
validation_is,2025-06,20,169.7900000000,2.0307170000,0.6500000000,8.4895000000,8.1847850000,62.1400000000,0.3638960000,0.1219180000,acceptable_measurement_only
validation_is,2025-07,22,353.5600000000,2.8463630000,0.5909090000,16.0709090000,15.7661940000,53.0300000000,0.3471360000,0.2538740000,acceptable_measurement_only
validation_is,2025-08,24,156.6000000000,1.4263780000,0.5000000000,6.5250000000,6.2202850000,138.7000000000,0.1670800000,0.1124470000,acceptable_measurement_only
validation_is,2025-09,26,228.5400000000,1.6076250000,0.5000000000,8.7900000000,8.4852850000,176.7400000000,0.2287190000,0.1641030000,acceptable_measurement_only
oos,2025-10,19,2.5600000000,1.0258590000,0.5789470000,0.1347370000,-0.1686150000,68.1400000000,0.0112860000,0.0023230000,acceptable_measurement_only
oos,2025-11,28,271.6500000000,3.3293600000,0.6785710000,9.7017860000,9.3984340000,58.7700000000,0.5029380000,0.2464970000,acceptable_measurement_only
oos,2025-12,20,1.8500000000,1.0100620000,0.5000000000,0.0925000000,-0.2108520000,77.9300000000,0.0051940000,0.0016790000,acceptable_measurement_only
oos,2026-01,29,143.0800000000,1.7154720000,0.5517240000,4.9337930000,4.6304410000,55.6700000000,0.2327220000,0.1298320000,acceptable_measurement_only
oos,2026-02,36,198.9600000000,1.5715270000,0.5277780000,5.5266670000,5.2233150000,160.1900000000,0.2074760000,0.1805380000,acceptable_measurement_only
oos,2026-03,38,524.1400000000,2.3141940000,0.5789470000,13.7931580000,13.4898060000,95.9100000000,0.3995260000,0.4756090000,acceptable_measurement_only
oos,2026-04,9,-40.2000000000,0.6840620000,0.5555560000,-4.4666670000,-4.7700190000,66.2400000000,-0.0937000000,-0.0364780000,negative_month
