attempt_name,adapter_id,split,tier,view,atr_enabled,model_risk_enabled,atr_stop_multiplier,atr_take_profit_multiplier,telemetry_path,status,cycle_rows,risk_floor_applied_count,avg_model_risk_pct,max_model_risk_pct,avg_clipped_risk_pct,max_clipped_risk_pct,avg_computed_lot,max_computed_lot,avg_executed_lot,max_executed_lot,max_actual_risk_pct_after_floor,avg_actual_risk_pct_after_floor,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket,telemetry_sha256
s136_control_sht54_lng52_cd5_h3_risk035_ta_val,s136_control_sht54_lng52_cd5_h3_risk035,validation_is,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s136a/run136A/s136_control_sht54_lng52_cd5_h3_risk035/telemetry/s136_control_sht54_lng52_cd5_h3_risk035_ta_val_telemetry.csv,completed,9844,0,0.0009457537586,0.035,0.0009457537586,0.035,0.01473525414,3.18511658,0.0145997562,3.18,0.034999375,0.0009313507448,3634.39774,7541.375311,14537.59096,high_capped,f734ba646ba133273004a770fd4a7aef3d3d9ff420bc00f2e74be223dcadd02e
s136_control_sht54_lng52_cd5_h3_risk035_rt_val,s136_control_sht54_lng52_cd5_h3_risk035,validation_is,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s136a/run136A/s136_control_sht54_lng52_cd5_h3_risk035/telemetry/s136_control_sht54_lng52_cd5_h3_risk035_rt_val_telemetry.csv,completed,9844,0,0.0009457537586,0.035,0.0009457537586,0.035,0.01473525414,3.18511658,0.0145997562,3.18,0.034999375,0.0009313507448,3634.39774,7541.375311,14537.59096,high_capped,f734ba646ba133273004a770fd4a7aef3d3d9ff420bc00f2e74be223dcadd02e
s136_control_sht54_lng52_cd5_h3_risk035_ta_oos,s136_control_sht54_lng52_cd5_h3_risk035,oos,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s136a/run136A/s136_control_sht54_lng52_cd5_h3_risk035/telemetry/s136_control_sht54_lng52_cd5_h3_risk035_ta_oos_telemetry.csv,completed,7584,0,0.0008306962025,0.035,0.0008306962025,0.035,0.009721012253,0.9878659954,0.009600474684,0.98,0.0349940205,0.0008176927591,3903.364499,8099.481335,15613.45799,high_capped,7236ab60ebb3f3942cbd740ed61fcb04f0859ef914c9a6b17ac26e984162778e
s136_control_sht54_lng52_cd5_h3_risk035_rt_oos,s136_control_sht54_lng52_cd5_h3_risk035,oos,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s136a/run136A/s136_control_sht54_lng52_cd5_h3_risk035/telemetry/s136_control_sht54_lng52_cd5_h3_risk035_rt_oos_telemetry.csv,completed,7584,0,0.0008306962025,0.035,0.0008306962025,0.035,0.009721012253,0.9878659954,0.009600474684,0.98,0.0349940205,0.0008176927591,3903.364499,8099.481335,15613.45799,high_capped,7236ab60ebb3f3942cbd740ed61fcb04f0859ef914c9a6b17ac26e984162778e
s136_lng51_sht54_cd5_h3_risk035_ta_val,s136_lng51_sht54_cd5_h3_risk035,validation_is,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s136a/run136A/s136_lng51_sht54_cd5_h3_risk035/telemetry/s136_lng51_sht54_cd5_h3_risk035_ta_val_telemetry.csv,completed,9844,0,0.0009457537586,0.035,0.0009457537586,0.035,0.01473525414,3.18511658,0.0145997562,3.18,0.034999375,0.0009313507448,3634.39774,7541.375311,14537.59096,high_capped,04a73610824eb3faba364a0093f9a0e0c9b62b8301231b40aeb71650f0af4ae3
s136_lng51_sht54_cd5_h3_risk035_rt_val,s136_lng51_sht54_cd5_h3_risk035,validation_is,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s136a/run136A/s136_lng51_sht54_cd5_h3_risk035/telemetry/s136_lng51_sht54_cd5_h3_risk035_rt_val_telemetry.csv,completed,9844,0,0.0009457537586,0.035,0.0009457537586,0.035,0.01473525414,3.18511658,0.0145997562,3.18,0.034999375,0.0009313507448,3634.39774,7541.375311,14537.59096,high_capped,04a73610824eb3faba364a0093f9a0e0c9b62b8301231b40aeb71650f0af4ae3
s136_lng51_sht54_cd5_h3_risk035_ta_oos,s136_lng51_sht54_cd5_h3_risk035,oos,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s136a/run136A/s136_lng51_sht54_cd5_h3_risk035/telemetry/s136_lng51_sht54_cd5_h3_risk035_ta_oos_telemetry.csv,completed,7584,0,0.0008306962025,0.035,0.0008306962025,0.035,0.009721012253,0.9878659954,0.009600474684,0.98,0.0349940205,0.0008176927591,3903.364499,8099.481335,15613.45799,high_capped,4cbfc76527b18d7f9bccf88dcdaff40c2cc478c0a35d020c5756f0a509fedcf6
s136_lng51_sht54_cd5_h3_risk035_rt_oos,s136_lng51_sht54_cd5_h3_risk035,oos,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s136a/run136A/s136_lng51_sht54_cd5_h3_risk035/telemetry/s136_lng51_sht54_cd5_h3_risk035_rt_oos_telemetry.csv,completed,7584,0,0.0008306962025,0.035,0.0008306962025,0.035,0.009721012253,0.9878659954,0.009600474684,0.98,0.0349940205,0.0008176927591,3903.364499,8099.481335,15613.45799,high_capped,4cbfc76527b18d7f9bccf88dcdaff40c2cc478c0a35d020c5756f0a509fedcf6
s136_sht53_lng51_cd5_h3_risk030_ta_val,s136_sht53_lng51_cd5_h3_risk030,validation_is,Tier A,tier_a_only,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s136a/run136A/s136_sht53_lng51_cd5_h3_risk030/telemetry/s136_sht53_lng51_cd5_h3_risk030_ta_val_telemetry.csv,completed,9844,0,0.0008106460788,0.03,0.0008106460788,0.03,0.01140945686,2.3330189,0.0112779358,2.33,0.0299977056,0.0007949884961,3634.39774,7541.375311,14537.59096,mid,66dc2ab265af2f3de481ce21ce0c72645e88702e7d0a0855c3df64140ee3f201
s136_sht53_lng51_cd5_h3_risk030_rt_val,s136_sht53_lng51_cd5_h3_risk030,validation_is,Tier A+B,actual_routed_total,True,True,2.075,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s136a/run136A/s136_sht53_lng51_cd5_h3_risk030/telemetry/s136_sht53_lng51_cd5_h3_risk030_rt_val_telemetry.csv,completed,9844,0,0.0008106460788,0.03,0.0008106460788,0.03,0.01140945686,2.3330189,0.0112779358,2.33,0.0299977056,0.0007949884961,3634.39774,7541.375311,14537.59096,mid,66dc2ab265af2f3de481ce21ce0c72645e88702e7d0a0855c3df64140ee3f201
