ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1__mt5_tier_a_only_s148_softsession_replay_h3_cd5_sht54_lng52_risk035_validation_is,148_adapter_research__softsession_supply_quality_repair_after_stage146_damage,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_tier_a_only_s148_softsession_replay_h3_cd5_sht54_lng52_risk035_validation_is,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_tier_a_only_s148_softsession_replay_h3_cd5_sht54_lng52_risk035_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/148_adapter_research__softsession_supply_quality_repair_after_stage146_damage/02_runs/run148A/mt5/reports/Project_Obsidian_Prime_v2_run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1_s148_softsession_replay_h3_cd5_sht54_lng52_risk035_ta_val.htm,net_profit=1052.35;pf=1.43;expectancy=3.42;trades=308;win_rate=51.95,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=204.98;recovery=5.13;fill=535;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1__mt5_routed_s148_softsession_replay_h3_cd5_sht54_lng52_risk035_validation_is,148_adapter_research__softsession_supply_quality_repair_after_stage146_damage,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_routed_s148_softsession_replay_h3_cd5_sht54_lng52_risk035_validation_is,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_routed_s148_softsession_replay_h3_cd5_sht54_lng52_risk035_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/148_adapter_research__softsession_supply_quality_repair_after_stage146_damage/02_runs/run148A/mt5/reports/Project_Obsidian_Prime_v2_run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1_s148_softsession_replay_h3_cd5_sht54_lng52_risk035_rt_val.htm,net_profit=1052.35;pf=1.43;expectancy=3.42;trades=308;win_rate=51.95,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=204.98;recovery=5.13;fill=535;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1__mt5_tier_a_only_s148_softsession_replay_h3_cd5_sht54_lng52_risk035_oos,148_adapter_research__softsession_supply_quality_repair_after_stage146_damage,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_tier_a_only_s148_softsession_replay_h3_cd5_sht54_lng52_risk035_oos,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_tier_a_only_s148_softsession_replay_h3_cd5_sht54_lng52_risk035_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/148_adapter_research__softsession_supply_quality_repair_after_stage146_damage/02_runs/run148A/mt5/reports/Project_Obsidian_Prime_v2_run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1_s148_softsession_replay_h3_cd5_sht54_lng52_risk035_ta_oos.htm,net_profit=1142.79;pf=1.61;expectancy=5.32;trades=215;win_rate=55.81,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=175.41;recovery=6.51;fill=373;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1__mt5_routed_s148_softsession_replay_h3_cd5_sht54_lng52_risk035_oos,148_adapter_research__softsession_supply_quality_repair_after_stage146_damage,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_routed_s148_softsession_replay_h3_cd5_sht54_lng52_risk035_oos,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_routed_s148_softsession_replay_h3_cd5_sht54_lng52_risk035_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/148_adapter_research__softsession_supply_quality_repair_after_stage146_damage/02_runs/run148A/mt5/reports/Project_Obsidian_Prime_v2_run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1_s148_softsession_replay_h3_cd5_sht54_lng52_risk035_rt_oos.htm,net_profit=1142.79;pf=1.61;expectancy=5.32;trades=215;win_rate=55.81,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=175.41;recovery=6.51;fill=373;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1__mt5_tier_a_only_s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035_validation_is,148_adapter_research__softsession_supply_quality_repair_after_stage146_damage,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_tier_a_only_s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035_validation_is,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_tier_a_only_s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/148_adapter_research__softsession_supply_quality_repair_after_stage146_damage/02_runs/run148A/mt5/reports/Project_Obsidian_Prime_v2_run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1_s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035_ta_val.htm,net_profit=1283.87;pf=1.55;expectancy=4.67;trades=275;win_rate=53.09,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=230.8;recovery=5.56;fill=478;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1__mt5_routed_s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035_validation_is,148_adapter_research__softsession_supply_quality_repair_after_stage146_damage,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_routed_s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035_validation_is,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_routed_s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/148_adapter_research__softsession_supply_quality_repair_after_stage146_damage/02_runs/run148A/mt5/reports/Project_Obsidian_Prime_v2_run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1_s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035_rt_val.htm,net_profit=1283.87;pf=1.55;expectancy=4.67;trades=275;win_rate=53.09,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=230.8;recovery=5.56;fill=478;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1__mt5_tier_a_only_s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035_oos,148_adapter_research__softsession_supply_quality_repair_after_stage146_damage,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_tier_a_only_s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035_oos,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_tier_a_only_s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/148_adapter_research__softsession_supply_quality_repair_after_stage146_damage/02_runs/run148A/mt5/reports/Project_Obsidian_Prime_v2_run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1_s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035_ta_oos.htm,net_profit=915.89;pf=1.63;expectancy=4.67;trades=196;win_rate=55.61,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=145.84;recovery=6.28;fill=340;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1__mt5_routed_s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035_oos,148_adapter_research__softsession_supply_quality_repair_after_stage146_damage,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_routed_s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035_oos,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_routed_s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/148_adapter_research__softsession_supply_quality_repair_after_stage146_damage/02_runs/run148A/mt5/reports/Project_Obsidian_Prime_v2_run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1_s148_softsession_margin_restore_h3_cd5_sht54_lng52_risk035_rt_oos.htm,net_profit=915.89;pf=1.63;expectancy=4.67;trades=196;win_rate=55.61,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=145.84;recovery=6.28;fill=340;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1__mt5_tier_a_only_s148_softsession_session_mid_h3_cd5_sht54_lng52_risk035_validation_is,148_adapter_research__softsession_supply_quality_repair_after_stage146_damage,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_tier_a_only_s148_softsession_session_mid_h3_cd5_sht54_lng52_risk035_validation_is,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_tier_a_only_s148_softsession_session_mid_h3_cd5_sht54_lng52_risk035_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/148_adapter_research__softsession_supply_quality_repair_after_stage146_damage/02_runs/run148A/mt5/reports/Project_Obsidian_Prime_v2_run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1_s148_softsession_session_mid_h3_cd5_sht54_lng52_risk035_ta_val.htm,net_profit=1161.94;pf=1.45;expectancy=3.82;trades=304;win_rate=52.3,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=224.69;recovery=5.17;fill=528;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1__mt5_routed_s148_softsession_session_mid_h3_cd5_sht54_lng52_risk035_validation_is,148_adapter_research__softsession_supply_quality_repair_after_stage146_damage,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_routed_s148_softsession_session_mid_h3_cd5_sht54_lng52_risk035_validation_is,run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1,mt5_routed_s148_softsession_session_mid_h3_cd5_sht54_lng52_risk035_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/148_adapter_research__softsession_supply_quality_repair_after_stage146_damage/02_runs/run148A/mt5/reports/Project_Obsidian_Prime_v2_run148A_stage148_softsession_supply_quality_repair_after_stage146_damage_v1_s148_softsession_session_mid_h3_cd5_sht54_lng52_risk035_rt_val.htm,net_profit=1161.94;pf=1.45;expectancy=3.82;trades=304;win_rate=52.3,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=224.69;recovery=5.17;fill=528;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
