run_id,adapter_id,repair_label,split,view,route_role,tier_b_policy,atr_enabled,model_risk_enabled,fixed_lot,atr_stop_multiplier,atr_take_profit_multiplier,model_risk_max_pct,reentry_cooldown_bars,same_direction_reentry_cooldown_bars,entry_transition_only,entry_transition_rearm_min_confidence_delta,short_threshold,long_threshold,close_on_flat_signal,reverse_on_opposite_signal,close_only_on_opposite_signal,max_hold_bars,status,trades_per_day,profit_factor,net_profit,trade_count,max_drawdown_amount,max_drawdown_percent,expectancy,cost_stressed_expectancy,same_move_reentry_ratio,mfe_capture_ratio,cooldown12_trades_per_day,density_gain_survives_12bar_cooldown,risk_floor_applied_count,max_model_risk_pct,max_actual_risk_pct_after_floor,avg_executed_lot,avg_atr_points,avg_open_sl_points,avg_open_tp_points,report_path,notes,avg_model_risk_pct,avg_clipped_risk_pct,max_clipped_risk_pct,avg_computed_lot,max_computed_lot,max_executed_lot,avg_actual_risk_pct_after_floor,risk_bucket,telemetry_sha256
run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1,s156_low_edge_risk0325_h3_cd5_sht54_lng52,stage156_low_edge_risk0325,validation_is,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.075,4,0.0325,0,5,False,0,0.54,0.52,False,True,False,3,completed,1.50273224,1.54,1179.05,275,201.31,11.05,4.29,,,,,,0,0.0325,0.0324977922,0.01311661926,3634.39774,7541.375311,14537.59096,stages/156_adapter_research__stage154_low_edge_oos_dd_compression_repair/02_runs/run156A/mt5/reports/Project_Obsidian_Prime_v2_run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1_s156_low_edge_risk0325_h3_cd5_sht54_lng52_ta_val.htm,Stage156 repair: keep Stage154 low-edge gate and compress model risk cap to 3.25%.,0.0009112149533,0.0009112149533,0.0325,0.01325172824,2.641613658,2.64,0.000896380503,mid,6b21dcc0c5914618dce4b54bbcca0f20812dea59379f73324f420cb9e566513b
run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1,s156_low_edge_risk0325_h3_cd5_sht54_lng52,stage156_low_edge_risk0325,validation_is,actual_routed_total,routed_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.075,4,0.0325,0,5,False,0,0.54,0.52,False,True,False,3,completed,1.50273224,1.54,1179.05,275,201.31,11.05,4.29,3.987454545,0.06909090909,0.6760652837,1.398907104,False,0,0.0325,0.0324977922,0.01311661926,3634.39774,7541.375311,14537.59096,stages/156_adapter_research__stage154_low_edge_oos_dd_compression_repair/02_runs/run156A/mt5/reports/Project_Obsidian_Prime_v2_run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1_s156_low_edge_risk0325_h3_cd5_sht54_lng52_rt_val.htm,Stage156 repair: keep Stage154 low-edge gate and compress model risk cap to 3.25%.,0.0009112149533,0.0009112149533,0.0325,0.01325172824,2.641613658,2.64,0.000896380503,mid,6b21dcc0c5914618dce4b54bbcca0f20812dea59379f73324f420cb9e566513b
run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1,s156_low_edge_risk0325_h3_cd5_sht54_lng52,stage156_low_edge_risk0325,validation_is,tier_b_fallback_only,tier_b_disabled,disabled_due_run50BR_fallback_only_damage,,,,,,,,,,,,,,,,,disabled,,,,,,,,,,,,,,,,,,,,,Tier B fallback-only remained disabled because run50BR fallback-only validation/OOS net was -94.14 / -254.32.,0.0009112149533,0.0009112149533,0.0325,0.01325172824,2.641613658,2.64,0.000896380503,mid,6b21dcc0c5914618dce4b54bbcca0f20812dea59379f73324f420cb9e566513b
run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1,s156_low_edge_risk0325_h3_cd5_sht54_lng52,stage156_low_edge_risk0325,oos,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.075,4,0.0325,0,5,False,0,0.54,0.52,False,True,False,3,completed,0.9897435897,1.84,1164.82,193,140.83,12.84,6.04,,,,,,0,0.0325,0.0324938039,0.009512130802,3903.364499,8099.481335,15613.45799,stages/156_adapter_research__stage154_low_edge_oos_dd_compression_repair/02_runs/run156A/mt5/reports/Project_Obsidian_Prime_v2_run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1_s156_low_edge_risk0325_h3_cd5_sht54_lng52_ta_oos.htm,Stage156 repair: keep Stage154 low-edge gate and compress model risk cap to 3.25%.,0.0008356408228,0.0008356408228,0.0325,0.009639564712,1.102510412,1.1,0.0008216515007,mid,436eb31faeda1b5ef11b6b869ec7b45fd6d11d617430acbfc34152f69516d958
run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1,s156_low_edge_risk0325_h3_cd5_sht54_lng52,stage156_low_edge_risk0325,oos,actual_routed_total,routed_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.075,4,0.0325,0,5,False,0,0.54,0.52,False,True,False,3,completed,0.9897435897,1.84,1164.82,193,140.83,12.84,6.04,5.735336788,0.06735751295,0.6954996873,0.9230769231,False,0,0.0325,0.0324938039,0.009512130802,3903.364499,8099.481335,15613.45799,stages/156_adapter_research__stage154_low_edge_oos_dd_compression_repair/02_runs/run156A/mt5/reports/Project_Obsidian_Prime_v2_run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1_s156_low_edge_risk0325_h3_cd5_sht54_lng52_rt_oos.htm,Stage156 repair: keep Stage154 low-edge gate and compress model risk cap to 3.25%.,0.0008356408228,0.0008356408228,0.0325,0.009639564712,1.102510412,1.1,0.0008216515007,mid,436eb31faeda1b5ef11b6b869ec7b45fd6d11d617430acbfc34152f69516d958
run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1,s156_low_edge_risk0325_h3_cd5_sht54_lng52,stage156_low_edge_risk0325,oos,tier_b_fallback_only,tier_b_disabled,disabled_due_run50BR_fallback_only_damage,,,,,,,,,,,,,,,,,disabled,,,,,,,,,,,,,,,,,,,,,Tier B fallback-only remained disabled because run50BR fallback-only validation/OOS net was -94.14 / -254.32.,0.0008356408228,0.0008356408228,0.0325,0.009639564712,1.102510412,1.1,0.0008216515007,mid,436eb31faeda1b5ef11b6b869ec7b45fd6d11d617430acbfc34152f69516d958
run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1,s156_low_edge_risk0300_h3_cd5_sht54_lng52,stage156_low_edge_risk0300,validation_is,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.075,4,0.03,0,5,False,0,0.54,0.52,False,True,False,3,completed,1.50273224,1.55,1037.79,275,169.63,10.23,3.77,,,,,,0,0.03,0.0299964777,0.01144656644,3634.39774,7541.375311,14537.59096,stages/156_adapter_research__stage154_low_edge_oos_dd_compression_repair/02_runs/run156A/mt5/reports/Project_Obsidian_Prime_v2_run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1_s156_low_edge_risk0300_h3_cd5_sht54_lng52_ta_val.htm,Stage156 repair: keep Stage154 low-edge gate and compress model risk cap to 3.00%.,0.0008411214953,0.0008411214953,0.03,0.01159009108,2.249417005,2.24,0.0008243468261,mid,263a1bccb72e8051a250f980d6afac587400a6bdc4e709538166b9f9e60691b0
run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1,s156_low_edge_risk0300_h3_cd5_sht54_lng52,stage156_low_edge_risk0300,validation_is,actual_routed_total,routed_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.075,4,0.03,0,5,False,0,0.54,0.52,False,True,False,3,completed,1.50273224,1.55,1037.79,275,169.63,10.23,3.77,3.473781818,0.06909090909,0.6760761092,1.398907104,False,0,0.03,0.0299964777,0.01144656644,3634.39774,7541.375311,14537.59096,stages/156_adapter_research__stage154_low_edge_oos_dd_compression_repair/02_runs/run156A/mt5/reports/Project_Obsidian_Prime_v2_run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1_s156_low_edge_risk0300_h3_cd5_sht54_lng52_rt_val.htm,Stage156 repair: keep Stage154 low-edge gate and compress model risk cap to 3.00%.,0.0008411214953,0.0008411214953,0.03,0.01159009108,2.249417005,2.24,0.0008243468261,mid,263a1bccb72e8051a250f980d6afac587400a6bdc4e709538166b9f9e60691b0
run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1,s156_low_edge_risk0300_h3_cd5_sht54_lng52,stage156_low_edge_risk0300,validation_is,tier_b_fallback_only,tier_b_disabled,disabled_due_run50BR_fallback_only_damage,,,,,,,,,,,,,,,,,disabled,,,,,,,,,,,,,,,,,,,,,Tier B fallback-only remained disabled because run50BR fallback-only validation/OOS net was -94.14 / -254.32.,0.0008411214953,0.0008411214953,0.03,0.01159009108,2.249417005,2.24,0.0008243468261,mid,263a1bccb72e8051a250f980d6afac587400a6bdc4e709538166b9f9e60691b0
run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1,s156_low_edge_risk0300_h3_cd5_sht54_lng52,stage156_low_edge_risk0300,oos,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.075,4,0.03,0,5,False,0,0.54,0.52,False,True,False,3,completed,0.9897435897,1.85,1032.34,193,123.84,11.92,5.35,,,,,,0,0.03,0.0299938998,0.008396624473,3903.364499,8099.481335,15613.45799,stages/156_adapter_research__stage154_low_edge_oos_dd_compression_repair/02_runs/run156A/mt5/reports/Project_Obsidian_Prime_v2_run156A_stage156_stage154_low_edge_oos_dd_compression_repair_v1_s156_low_edge_risk0300_h3_cd5_sht54_lng52_ta_oos.htm,Stage156 repair: keep Stage154 low-edge gate and compress model risk cap to 3.00%.,0.0007713607595,0.0007713607595,0.03,0.008521743151,0.9380624721,0.93,0.0007577687329,mid,04d020862ed7d22bcd81500c56eb5b97ef1c5b1cc14a9bdda07e5ebde40f4bea
