ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run06A_lda_svd_empirical_priors_runtime_probe_v1__python_tier_a_separate,15_model_family_challenge__untried_learning_methods_scout,run06A_lda_svd_empirical_priors_runtime_probe_v1,python_tier_a_separate,run06A_lda_svd_empirical_priors_runtime_probe_v1,python_tier_a_separate,Tier A,signal_probability_threshold,structural_scout,completed,inconclusive_single_split_scout_payload,stages/15_model_family_challenge__untried_learning_methods_scout/02_runs/run06A_lda_svd_empirical_priors_runtime_probe_v1/predictions/tier_a_separate_predictions.parquet,rows=46650;signal_coverage=0.0580493;signal_count=2708;short=1436;long=1272,prob_sum_err=2.22045e-16;selected_threshold=fixed_shape_q0.90;threshold_ids=q0.90;subtype_counts=NA,out_of_scope_by_claim,Tier A full-context primary view
run06A_lda_svd_empirical_priors_runtime_probe_v1__python_tier_b_separate,15_model_family_challenge__untried_learning_methods_scout,run06A_lda_svd_empirical_priors_runtime_probe_v1,python_tier_b_separate,run06A_lda_svd_empirical_priors_runtime_probe_v1,python_tier_b_separate,Tier B,signal_probability_threshold,structural_scout,completed,inconclusive_single_split_scout_payload,stages/15_model_family_challenge__untried_learning_methods_scout/02_runs/run06A_lda_svd_empirical_priors_runtime_probe_v1/predictions/tier_b_separate_predictions.parquet,rows=12398;signal_coverage=0.019358;signal_count=240;short=179;long=61,"prob_sum_err=2.22045e-16;selected_threshold=fixed_shape_q0.90;threshold_ids=q0.90;subtype_counts={""B_constituent_missing"":1,""B_core_only"":200,""B_full_context_outside_tier_a_scope"":217,""B_macro_missing"":10740,""B_mixed_partial_context"":1240}",out_of_scope_by_claim,Tier B partial-context fallback-only view
run06A_lda_svd_empirical_priors_runtime_probe_v1__python_tier_ab_combined,15_model_family_challenge__untried_learning_methods_scout,run06A_lda_svd_empirical_priors_runtime_probe_v1,python_tier_ab_combined,run06A_lda_svd_empirical_priors_runtime_probe_v1,python_tier_ab_combined,Tier A+B,signal_probability_threshold,structural_scout,completed,inconclusive_single_split_scout_payload,stages/15_model_family_challenge__untried_learning_methods_scout/02_runs/run06A_lda_svd_empirical_priors_runtime_probe_v1/predictions/tier_ab_combined_predictions.parquet,rows=59048;signal_coverage=0.0500948;signal_count=2958;short=1620;long=1338,"prob_sum_err=2.22045e-16;selected_threshold=fixed_shape_q0.90;threshold_ids=q0.90;subtype_counts={""B_constituent_missing"":1,""B_core_only"":200,""B_full_context_outside_tier_a_scope"":217,""B_macro_missing"":10740,""B_mixed_partial_context"":1240,""Tier_A_full_context"":46650}",out_of_scope_by_claim,Tier A primary plus Tier B fallback routed Python view
run06A_lda_svd_empirical_priors_runtime_probe_v1__mt5_tier_a_only_validation_is,15_model_family_challenge__untried_learning_methods_scout,run06A_lda_svd_empirical_priors_runtime_probe_v1,mt5_tier_a_only_validation_is,run06A_lda_svd_empirical_priors_runtime_probe_v1,mt5_tier_a_only_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/15_model_family_challenge__untried_learning_methods_scout/02_runs/run06A_lda_svd_empirical_priors_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run06A_lda_svd_empirical_priors_runtime_probe_v1_tier_a_only_validation_is.htm,net_profit=-141.17;pf=0.91;expectancy=-0.49;trades=287;win_rate=45.64,labelable=9844;feature_ready=9844;model_ok=9844;no_tier_labelable=203;max_dd=275.49;recovery=-0.51;fill=485;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run06A_lda_svd_empirical_priors_runtime_probe_v1__mt5_tier_b_fallback_only_validation_is,15_model_family_challenge__untried_learning_methods_scout,run06A_lda_svd_empirical_priors_runtime_probe_v1,mt5_tier_b_fallback_only_validation_is,run06A_lda_svd_empirical_priors_runtime_probe_v1,mt5_tier_b_fallback_only_validation_is,Tier B,trading_risk_execution,runtime_probe,completed,inconclusive_tier_b_fallback_only_runtime_probe,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/15_model_family_challenge__untried_learning_methods_scout/02_runs/run06A_lda_svd_empirical_priors_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run06A_lda_svd_empirical_priors_runtime_probe_v1_tier_b_fallback_only_validation_is.htm,net_profit=183.85;pf=2.06;expectancy=8.75;trades=21;win_rate=57.14,"labelable=2366;feature_ready=2366;model_ok=2366;no_tier_labelable=203;max_dd=118.24;recovery=1.55;fill=40;reject=0;skip=50442;subtypes={""B_core_only"":25,""B_macro_missing"":2126,""B_mixed_partial_context"":215}",completed,Tier B fallback-only standalone MT5 tester run.
run06A_lda_svd_empirical_priors_runtime_probe_v1__mt5_routed_tier_a_used_validation_is,15_model_family_challenge__untried_learning_methods_scout,run06A_lda_svd_empirical_priors_runtime_probe_v1,mt5_routed_tier_a_used_validation_is,run06A_lda_svd_empirical_priors_runtime_probe_v1,mt5_routed_tier_a_used_validation_is,Tier A,routed_signal_execution_usage,runtime_probe,completed,inconclusive_routed_component_runtime_probe,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/15_model_family_challenge__untried_learning_methods_scout/02_runs/run06A_lda_svd_empirical_priors_runtime_probe_v1/kpi_record.json,route_bars=9844;route_share=0.806224;signals=986;long=494;short=492;fills=495,profit_attribution=not_separable_from_single_routed_account_path;reject=0;skip=0;subtypes=NA,completed,Tier A primary used component from one routed MT5 tester run.
run06A_lda_svd_empirical_priors_runtime_probe_v1__mt5_routed_tier_b_fallback_used_validation_is,15_model_family_challenge__untried_learning_methods_scout,run06A_lda_svd_empirical_priors_runtime_probe_v1,mt5_routed_tier_b_fallback_used_validation_is,run06A_lda_svd_empirical_priors_runtime_probe_v1,mt5_routed_tier_b_fallback_used_validation_is,Tier B,routed_signal_execution_usage,runtime_probe,completed,inconclusive_routed_component_runtime_probe,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/15_model_family_challenge__untried_learning_methods_scout/02_runs/run06A_lda_svd_empirical_priors_runtime_probe_v1/kpi_record.json,route_bars=2366;route_share=0.193776;signals=35;long=17;short=18;fills=30,"profit_attribution=not_separable_from_single_routed_account_path;reject=0;skip=0;subtypes={""B_core_only"":25,""B_macro_missing"":2126,""B_mixed_partial_context"":215}",completed,Tier B partial-context fallback used component from one routed MT5 tester run.
run06A_lda_svd_empirical_priors_runtime_probe_v1__mt5_routed_total_validation_is,15_model_family_challenge__untried_learning_methods_scout,run06A_lda_svd_empirical_priors_runtime_probe_v1,mt5_routed_total_validation_is,run06A_lda_svd_empirical_priors_runtime_probe_v1,mt5_routed_total_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/15_model_family_challenge__untried_learning_methods_scout/02_runs/run06A_lda_svd_empirical_priors_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run06A_lda_svd_empirical_priors_runtime_probe_v1_routed_validation_is.htm,net_profit=-147.49;pf=0.91;expectancy=-0.48;trades=307;win_rate=45.93,a_used=9844;b_fallback=2366;no_tier_labelable=203;max_dd=275.49;recovery=-0.54;fill=525;reject=0;skip=40598,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run06A_lda_svd_empirical_priors_runtime_probe_v1__mt5_tier_a_only_oos,15_model_family_challenge__untried_learning_methods_scout,run06A_lda_svd_empirical_priors_runtime_probe_v1,mt5_tier_a_only_oos,run06A_lda_svd_empirical_priors_runtime_probe_v1,mt5_tier_a_only_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/15_model_family_challenge__untried_learning_methods_scout/02_runs/run06A_lda_svd_empirical_priors_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run06A_lda_svd_empirical_priors_runtime_probe_v1_tier_a_only_oos.htm,net_profit=-105.99;pf=0.91;expectancy=-0.49;trades=216;win_rate=49.07,labelable=7584;feature_ready=7584;model_ok=7584;no_tier_labelable=159;max_dd=335.77;recovery=-0.32;fill=390;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run06A_lda_svd_empirical_priors_runtime_probe_v1__mt5_tier_b_fallback_only_oos,15_model_family_challenge__untried_learning_methods_scout,run06A_lda_svd_empirical_priors_runtime_probe_v1,mt5_tier_b_fallback_only_oos,run06A_lda_svd_empirical_priors_runtime_probe_v1,mt5_tier_b_fallback_only_oos,Tier B,trading_risk_execution,runtime_probe,completed,inconclusive_tier_b_fallback_only_runtime_probe,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/15_model_family_challenge__untried_learning_methods_scout/02_runs/run06A_lda_svd_empirical_priors_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run06A_lda_svd_empirical_priors_runtime_probe_v1_tier_b_fallback_only_oos.htm,net_profit=-253.98;pf=0.43;expectancy=-10.16;trades=25;win_rate=52,"labelable=1062;feature_ready=1062;model_ok=1062;no_tier_labelable=159;max_dd=336.42;recovery=-0.75;fill=42;reject=0;skip=36275;subtypes={""B_core_only"":24,""B_full_context_outside_tier_a_scope"":1,""B_macro_missing"":809,""B_mixed_partial_context"":228}",completed,Tier B fallback-only standalone MT5 tester run.
