ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run161A_stage161_score_margin_or_side_filter_repair_v1__mt5_tier_a_only_s161_cal050_both_risk0300_h3_cd5_sht54_lng52_validation_is,161_adapter_research__score_margin_or_side_filter_repair,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_tier_a_only_s161_cal050_both_risk0300_h3_cd5_sht54_lng52_validation_is,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_tier_a_only_s161_cal050_both_risk0300_h3_cd5_sht54_lng52_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/161_adapter_research__score_margin_or_side_filter_repair/02_runs/run161A/mt5/reports/Project_Obsidian_Prime_v2_run161A_stage161_score_margin_or_side_filter_repair_v1_s161_cal050_both_risk0300_h3_cd5_sht54_lng52_ta_val.htm,net_profit=729.69;pf=1.55;expectancy=2.7;trades=270;win_rate=53.33,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=107.72;recovery=6.77;fill=467;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run161A_stage161_score_margin_or_side_filter_repair_v1__mt5_routed_s161_cal050_both_risk0300_h3_cd5_sht54_lng52_validation_is,161_adapter_research__score_margin_or_side_filter_repair,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_routed_s161_cal050_both_risk0300_h3_cd5_sht54_lng52_validation_is,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_routed_s161_cal050_both_risk0300_h3_cd5_sht54_lng52_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/161_adapter_research__score_margin_or_side_filter_repair/02_runs/run161A/mt5/reports/Project_Obsidian_Prime_v2_run161A_stage161_score_margin_or_side_filter_repair_v1_s161_cal050_both_risk0300_h3_cd5_sht54_lng52_rt_val.htm,net_profit=729.69;pf=1.55;expectancy=2.7;trades=270;win_rate=53.33,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=107.72;recovery=6.77;fill=467;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run161A_stage161_score_margin_or_side_filter_repair_v1__mt5_tier_a_only_s161_cal050_both_risk0300_h3_cd5_sht54_lng52_oos,161_adapter_research__score_margin_or_side_filter_repair,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_tier_a_only_s161_cal050_both_risk0300_h3_cd5_sht54_lng52_oos,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_tier_a_only_s161_cal050_both_risk0300_h3_cd5_sht54_lng52_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/161_adapter_research__score_margin_or_side_filter_repair/02_runs/run161A/mt5/reports/Project_Obsidian_Prime_v2_run161A_stage161_score_margin_or_side_filter_repair_v1_s161_cal050_both_risk0300_h3_cd5_sht54_lng52_ta_oos.htm,net_profit=722.94;pf=1.85;expectancy=3.83;trades=189;win_rate=57.67,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=86.14;recovery=8.39;fill=325;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run161A_stage161_score_margin_or_side_filter_repair_v1__mt5_routed_s161_cal050_both_risk0300_h3_cd5_sht54_lng52_oos,161_adapter_research__score_margin_or_side_filter_repair,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_routed_s161_cal050_both_risk0300_h3_cd5_sht54_lng52_oos,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_routed_s161_cal050_both_risk0300_h3_cd5_sht54_lng52_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/161_adapter_research__score_margin_or_side_filter_repair/02_runs/run161A/mt5/reports/Project_Obsidian_Prime_v2_run161A_stage161_score_margin_or_side_filter_repair_v1_s161_cal050_both_risk0300_h3_cd5_sht54_lng52_rt_oos.htm,net_profit=722.94;pf=1.85;expectancy=3.83;trades=189;win_rate=57.67,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=86.14;recovery=8.39;fill=325;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run161A_stage161_score_margin_or_side_filter_repair_v1__mt5_tier_a_only_s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52_validation_is,161_adapter_research__score_margin_or_side_filter_repair,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_tier_a_only_s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52_validation_is,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_tier_a_only_s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/161_adapter_research__score_margin_or_side_filter_repair/02_runs/run161A/mt5/reports/Project_Obsidian_Prime_v2_run161A_stage161_score_margin_or_side_filter_repair_v1_s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52_ta_val.htm,net_profit=181.05;pf=1.82;expectancy=1.66;trades=109;win_rate=64.22,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=39.08;recovery=4.63;fill=212;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run161A_stage161_score_margin_or_side_filter_repair_v1__mt5_routed_s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52_validation_is,161_adapter_research__score_margin_or_side_filter_repair,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_routed_s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52_validation_is,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_routed_s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/161_adapter_research__score_margin_or_side_filter_repair/02_runs/run161A/mt5/reports/Project_Obsidian_Prime_v2_run161A_stage161_score_margin_or_side_filter_repair_v1_s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52_rt_val.htm,net_profit=181.05;pf=1.82;expectancy=1.66;trades=109;win_rate=64.22,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=39.08;recovery=4.63;fill=212;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run161A_stage161_score_margin_or_side_filter_repair_v1__mt5_tier_a_only_s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52_oos,161_adapter_research__score_margin_or_side_filter_repair,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_tier_a_only_s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52_oos,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_tier_a_only_s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/161_adapter_research__score_margin_or_side_filter_repair/02_runs/run161A/mt5/reports/Project_Obsidian_Prime_v2_run161A_stage161_score_margin_or_side_filter_repair_v1_s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52_ta_oos.htm,net_profit=171.25;pf=1.98;expectancy=2.06;trades=83;win_rate=62.65,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=42.79;recovery=4;fill=160;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run161A_stage161_score_margin_or_side_filter_repair_v1__mt5_routed_s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52_oos,161_adapter_research__score_margin_or_side_filter_repair,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_routed_s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52_oos,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_routed_s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/161_adapter_research__score_margin_or_side_filter_repair/02_runs/run161A/mt5/reports/Project_Obsidian_Prime_v2_run161A_stage161_score_margin_or_side_filter_repair_v1_s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52_rt_oos.htm,net_profit=171.25;pf=1.98;expectancy=2.06;trades=83;win_rate=62.65,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=42.79;recovery=4;fill=160;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run161A_stage161_score_margin_or_side_filter_repair_v1__mt5_tier_a_only_s161_cal050_shortgate_risk0300_h3_cd5_sht54_lng52_validation_is,161_adapter_research__score_margin_or_side_filter_repair,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_tier_a_only_s161_cal050_shortgate_risk0300_h3_cd5_sht54_lng52_validation_is,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_tier_a_only_s161_cal050_shortgate_risk0300_h3_cd5_sht54_lng52_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/161_adapter_research__score_margin_or_side_filter_repair/02_runs/run161A/mt5/reports/Project_Obsidian_Prime_v2_run161A_stage161_score_margin_or_side_filter_repair_v1_s161_cal050_shortgate_risk0300_h3_cd5_sht54_lng52_ta_val.htm,net_profit=884.03;pf=1.53;expectancy=2.72;trades=325;win_rate=54.77,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=121.18;recovery=7.3;fill=571;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run161A_stage161_score_margin_or_side_filter_repair_v1__mt5_routed_s161_cal050_shortgate_risk0300_h3_cd5_sht54_lng52_validation_is,161_adapter_research__score_margin_or_side_filter_repair,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_routed_s161_cal050_shortgate_risk0300_h3_cd5_sht54_lng52_validation_is,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_routed_s161_cal050_shortgate_risk0300_h3_cd5_sht54_lng52_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/161_adapter_research__score_margin_or_side_filter_repair/02_runs/run161A/mt5/reports/Project_Obsidian_Prime_v2_run161A_stage161_score_margin_or_side_filter_repair_v1_s161_cal050_shortgate_risk0300_h3_cd5_sht54_lng52_rt_val.htm,net_profit=884.03;pf=1.53;expectancy=2.72;trades=325;win_rate=54.77,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=121.18;recovery=7.3;fill=571;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
