ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run163A_stage163_stage161_density_preserving_score_repair_v1__mt5_tier_a_only_s163_longdense_risk0300_h3_cd5_sht58_lng52_validation_is,163_adapter_research__stage161_density_preserving_score_repair,run163A_stage163_stage161_density_preserving_score_repair_v1,mt5_tier_a_only_s163_longdense_risk0300_h3_cd5_sht58_lng52_validation_is,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_tier_a_only_s163_longdense_risk0300_h3_cd5_sht58_lng52_validation_is,Tier A,trading_risk_execution,baseline_adapter_stage163_density_preserving_score_repair,completed,open_stage164_density_repair_followup_due_to_kpi_damage_candidate_not_final,stages/163_adapter_research__stage161_density_preserving_score_repair/02_runs/run163A/mt5/reports/Project_Obsidian_Prime_v2_run163A_stage163_stage161_density_preserving_score_repair_v1_s163_longdense_risk0300_h3_cd5_sht58_lng52_ta_val.htm,net_profit=278.17;pf=1.71;expectancy=1.7;trades=164;win_rate=63.41,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=59.79;recovery=4.65;fill=316;reject=0;skip=42964;subtypes=NA,completed,target_surface=legacy_34d_kpi_lesson_only_no_legacy_inheritance;overall_goal_complete=0
run163A_stage163_stage161_density_preserving_score_repair_v1__mt5_routed_s163_longdense_risk0300_h3_cd5_sht58_lng52_validation_is,163_adapter_research__stage161_density_preserving_score_repair,run163A_stage163_stage161_density_preserving_score_repair_v1,mt5_routed_s163_longdense_risk0300_h3_cd5_sht58_lng52_validation_is,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_routed_s163_longdense_risk0300_h3_cd5_sht58_lng52_validation_is,Tier A+B,trading_risk_execution,baseline_adapter_stage163_density_preserving_score_repair,completed,open_stage164_density_repair_followup_due_to_kpi_damage_candidate_not_final,stages/163_adapter_research__stage161_density_preserving_score_repair/02_runs/run163A/mt5/reports/Project_Obsidian_Prime_v2_run163A_stage163_stage161_density_preserving_score_repair_v1_s163_longdense_risk0300_h3_cd5_sht58_lng52_rt_val.htm,net_profit=278.17;pf=1.71;expectancy=1.7;trades=164;win_rate=63.41,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=59.79;recovery=4.65;fill=316;reject=0;skip=42964,completed,target_surface=legacy_34d_kpi_lesson_only_no_legacy_inheritance;overall_goal_complete=0
run163A_stage163_stage161_density_preserving_score_repair_v1__mt5_tier_a_only_s163_longdense_risk0300_h3_cd5_sht58_lng52_oos,163_adapter_research__stage161_density_preserving_score_repair,run163A_stage163_stage161_density_preserving_score_repair_v1,mt5_tier_a_only_s163_longdense_risk0300_h3_cd5_sht58_lng52_oos,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_tier_a_only_s163_longdense_risk0300_h3_cd5_sht58_lng52_oos,Tier A,trading_risk_execution,baseline_adapter_stage163_density_preserving_score_repair,completed,open_stage164_density_repair_followup_due_to_kpi_damage_candidate_not_final,stages/163_adapter_research__stage161_density_preserving_score_repair/02_runs/run163A/mt5/reports/Project_Obsidian_Prime_v2_run163A_stage163_stage161_density_preserving_score_repair_v1_s163_longdense_risk0300_h3_cd5_sht58_lng52_ta_oos.htm,net_profit=100.38;pf=1.32;expectancy=0.74;trades=135;win_rate=57.04,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=62.42;recovery=1.61;fill=261;reject=0;skip=29753;subtypes=NA,completed,target_surface=legacy_34d_kpi_lesson_only_no_legacy_inheritance;overall_goal_complete=0
run163A_stage163_stage161_density_preserving_score_repair_v1__mt5_routed_s163_longdense_risk0300_h3_cd5_sht58_lng52_oos,163_adapter_research__stage161_density_preserving_score_repair,run163A_stage163_stage161_density_preserving_score_repair_v1,mt5_routed_s163_longdense_risk0300_h3_cd5_sht58_lng52_oos,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_routed_s163_longdense_risk0300_h3_cd5_sht58_lng52_oos,Tier A+B,trading_risk_execution,baseline_adapter_stage163_density_preserving_score_repair,completed,open_stage164_density_repair_followup_due_to_kpi_damage_candidate_not_final,stages/163_adapter_research__stage161_density_preserving_score_repair/02_runs/run163A/mt5/reports/Project_Obsidian_Prime_v2_run163A_stage163_stage161_density_preserving_score_repair_v1_s163_longdense_risk0300_h3_cd5_sht58_lng52_rt_oos.htm,net_profit=100.38;pf=1.32;expectancy=0.74;trades=135;win_rate=57.04,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=62.42;recovery=1.61;fill=261;reject=0;skip=29753,completed,target_surface=legacy_34d_kpi_lesson_only_no_legacy_inheritance;overall_goal_complete=0
run163A_stage163_stage161_density_preserving_score_repair_v1__mt5_tier_a_only_s163_longdense_risk0400_h3_cd5_sht58_lng52_validation_is,163_adapter_research__stage161_density_preserving_score_repair,run163A_stage163_stage161_density_preserving_score_repair_v1,mt5_tier_a_only_s163_longdense_risk0400_h3_cd5_sht58_lng52_validation_is,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_tier_a_only_s163_longdense_risk0400_h3_cd5_sht58_lng52_validation_is,Tier A,trading_risk_execution,baseline_adapter_stage163_density_preserving_score_repair,completed,open_stage164_density_repair_followup_due_to_kpi_damage_candidate_not_final,stages/163_adapter_research__stage161_density_preserving_score_repair/02_runs/run163A/mt5/reports/Project_Obsidian_Prime_v2_run163A_stage163_stage161_density_preserving_score_repair_v1_s163_longdense_risk0400_h3_cd5_sht58_lng52_ta_val.htm,net_profit=389.09;pf=1.68;expectancy=2.37;trades=164;win_rate=63.41,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=87.39;recovery=4.45;fill=316;reject=0;skip=42964;subtypes=NA,completed,target_surface=legacy_34d_kpi_lesson_only_no_legacy_inheritance;overall_goal_complete=0
run163A_stage163_stage161_density_preserving_score_repair_v1__mt5_routed_s163_longdense_risk0400_h3_cd5_sht58_lng52_validation_is,163_adapter_research__stage161_density_preserving_score_repair,run163A_stage163_stage161_density_preserving_score_repair_v1,mt5_routed_s163_longdense_risk0400_h3_cd5_sht58_lng52_validation_is,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_routed_s163_longdense_risk0400_h3_cd5_sht58_lng52_validation_is,Tier A+B,trading_risk_execution,baseline_adapter_stage163_density_preserving_score_repair,completed,open_stage164_density_repair_followup_due_to_kpi_damage_candidate_not_final,stages/163_adapter_research__stage161_density_preserving_score_repair/02_runs/run163A/mt5/reports/Project_Obsidian_Prime_v2_run163A_stage163_stage161_density_preserving_score_repair_v1_s163_longdense_risk0400_h3_cd5_sht58_lng52_rt_val.htm,net_profit=389.09;pf=1.68;expectancy=2.37;trades=164;win_rate=63.41,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=87.39;recovery=4.45;fill=316;reject=0;skip=42964,completed,target_surface=legacy_34d_kpi_lesson_only_no_legacy_inheritance;overall_goal_complete=0
run163A_stage163_stage161_density_preserving_score_repair_v1__mt5_tier_a_only_s163_longdense_risk0400_h3_cd5_sht58_lng52_oos,163_adapter_research__stage161_density_preserving_score_repair,run163A_stage163_stage161_density_preserving_score_repair_v1,mt5_tier_a_only_s163_longdense_risk0400_h3_cd5_sht58_lng52_oos,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_tier_a_only_s163_longdense_risk0400_h3_cd5_sht58_lng52_oos,Tier A,trading_risk_execution,baseline_adapter_stage163_density_preserving_score_repair,completed,open_stage164_density_repair_followup_due_to_kpi_damage_candidate_not_final,stages/163_adapter_research__stage161_density_preserving_score_repair/02_runs/run163A/mt5/reports/Project_Obsidian_Prime_v2_run163A_stage163_stage161_density_preserving_score_repair_v1_s163_longdense_risk0400_h3_cd5_sht58_lng52_ta_oos.htm,net_profit=140.65;pf=1.33;expectancy=1.04;trades=135;win_rate=57.04,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=82.93;recovery=1.7;fill=261;reject=0;skip=29753;subtypes=NA,completed,target_surface=legacy_34d_kpi_lesson_only_no_legacy_inheritance;overall_goal_complete=0
run163A_stage163_stage161_density_preserving_score_repair_v1__mt5_routed_s163_longdense_risk0400_h3_cd5_sht58_lng52_oos,163_adapter_research__stage161_density_preserving_score_repair,run163A_stage163_stage161_density_preserving_score_repair_v1,mt5_routed_s163_longdense_risk0400_h3_cd5_sht58_lng52_oos,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_routed_s163_longdense_risk0400_h3_cd5_sht58_lng52_oos,Tier A+B,trading_risk_execution,baseline_adapter_stage163_density_preserving_score_repair,completed,open_stage164_density_repair_followup_due_to_kpi_damage_candidate_not_final,stages/163_adapter_research__stage161_density_preserving_score_repair/02_runs/run163A/mt5/reports/Project_Obsidian_Prime_v2_run163A_stage163_stage161_density_preserving_score_repair_v1_s163_longdense_risk0400_h3_cd5_sht58_lng52_rt_oos.htm,net_profit=140.65;pf=1.33;expectancy=1.04;trades=135;win_rate=57.04,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=82.93;recovery=1.7;fill=261;reject=0;skip=29753,completed,target_surface=legacy_34d_kpi_lesson_only_no_legacy_inheritance;overall_goal_complete=0
run163A_stage163_stage161_density_preserving_score_repair_v1__mt5_tier_a_only_s163_shortgate_risk0250_h3_cd5_sht54_lng52_validation_is,163_adapter_research__stage161_density_preserving_score_repair,run163A_stage163_stage161_density_preserving_score_repair_v1,mt5_tier_a_only_s163_shortgate_risk0250_h3_cd5_sht54_lng52_validation_is,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_tier_a_only_s163_shortgate_risk0250_h3_cd5_sht54_lng52_validation_is,Tier A,trading_risk_execution,baseline_adapter_stage163_density_preserving_score_repair,completed,open_stage164_density_repair_followup_due_to_kpi_damage_candidate_not_final,stages/163_adapter_research__stage161_density_preserving_score_repair/02_runs/run163A/mt5/reports/Project_Obsidian_Prime_v2_run163A_stage163_stage161_density_preserving_score_repair_v1_s163_shortgate_risk0250_h3_cd5_sht54_lng52_ta_val.htm,net_profit=691.57;pf=1.53;expectancy=2.13;trades=325;win_rate=54.77,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=87.61;recovery=7.89;fill=571;reject=0;skip=42964;subtypes=NA,completed,target_surface=legacy_34d_kpi_lesson_only_no_legacy_inheritance;overall_goal_complete=0
run163A_stage163_stage161_density_preserving_score_repair_v1__mt5_routed_s163_shortgate_risk0250_h3_cd5_sht54_lng52_validation_is,163_adapter_research__stage161_density_preserving_score_repair,run163A_stage163_stage161_density_preserving_score_repair_v1,mt5_routed_s163_shortgate_risk0250_h3_cd5_sht54_lng52_validation_is,run161A_stage161_score_margin_or_side_filter_repair_v1,mt5_routed_s163_shortgate_risk0250_h3_cd5_sht54_lng52_validation_is,Tier A+B,trading_risk_execution,baseline_adapter_stage163_density_preserving_score_repair,completed,open_stage164_density_repair_followup_due_to_kpi_damage_candidate_not_final,stages/163_adapter_research__stage161_density_preserving_score_repair/02_runs/run163A/mt5/reports/Project_Obsidian_Prime_v2_run163A_stage163_stage161_density_preserving_score_repair_v1_s163_shortgate_risk0250_h3_cd5_sht54_lng52_rt_val.htm,net_profit=691.57;pf=1.53;expectancy=2.13;trades=325;win_rate=54.77,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=87.61;recovery=7.89;fill=571;reject=0;skip=42964,completed,target_surface=legacy_34d_kpi_lesson_only_no_legacy_inheritance;overall_goal_complete=0
