run_id,adapter_id,split,month,trade_count,net_profit,profit_factor,winner_count,loser_count,quality_flag
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.01,22,1.18,1.012329,11,11,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.02,29,206.78,2.816249,19,10,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.03,27,94.49,1.502901,14,13,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.04,44,182.52,1.561445,27,17,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.05,25,24.39,1.129638,11,14,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.06,18,75.78,1.552292,11,7,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.07,17,196.66,2.947322,10,7,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.08,21,-31.68,0.86634,9,12,negative_month
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.09,21,167.09,1.915311,12,9,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,oos,2025.10,15,15.91,1.240587,9,6,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,oos,2025.11,25,168.73,2.870621,16,9,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,oos,2025.12,18,-25.39,0.801019,9,9,negative_month
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,oos,2026.01,25,75.61,1.720919,14,11,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,oos,2026.02,30,137.23,1.948835,17,13,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,oos,2026.03,37,371.38,2.50101,22,15,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,oos,2026.04,7,-30.86,0.612214,3,4,negative_month
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,validation_is,2025.01,22,1.22,1.012359,11,11,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,validation_is,2025.02,29,210.33,2.763626,19,10,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,validation_is,2025.03,27,99.61,1.500402,14,13,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,validation_is,2025.04,44,196.82,1.565217,27,17,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,validation_is,2025.05,25,25.09,1.124498,11,14,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,validation_is,2025.06,18,80.33,1.549453,11,7,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,validation_is,2025.07,17,210.46,2.944742,10,7,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,validation_is,2025.08,21,-32.67,0.871297,9,12,negative_month
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,validation_is,2025.09,21,180.43,1.915609,12,9,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,oos,2025.10,15,16.16,1.236292,9,6,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,oos,2025.11,25,176.09,2.852019,16,9,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,oos,2025.12,18,-29.15,0.783432,9,9,negative_month
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,oos,2026.01,25,79.94,1.730046,14,11,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,oos,2026.02,30,144.96,1.944119,17,13,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,oos,2026.03,37,393.18,2.49555,22,15,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,oos,2026.04,7,-32.65,0.614431,3,4,negative_month
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_tp45_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.01,22,7.03,1.073451,11,11,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_tp45_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.02,29,220.01,2.900406,19,10,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_tp45_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.03,26,137.54,1.799698,14,12,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_tp45_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.04,44,233.44,1.64821,27,17,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_tp45_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.05,25,15.85,1.075318,11,14,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_tp45_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.06,18,93.2,1.612513,11,7,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_tp45_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.07,16,152.23,2.348003,9,7,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_tp45_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.08,22,49.63,1.185672,10,12,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_tp45_sl2075_risk0365_h3_cd5_sht54_lng52,validation_is,2025.09,21,128.81,1.642124,12,9,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_tp45_sl2075_risk0365_h3_cd5_sht54_lng52,oos,2025.10,15,19.11,1.287498,9,6,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_tp45_sl2075_risk0365_h3_cd5_sht54_lng52,oos,2025.11,25,184.36,2.987709,16,9,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_tp45_sl2075_risk0365_h3_cd5_sht54_lng52,oos,2025.12,18,-26.73,0.794764,9,9,negative_month
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_tp45_sl2075_risk0365_h3_cd5_sht54_lng52,oos,2026.01,25,89.82,1.832823,14,11,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_tp45_sl2075_risk0365_h3_cd5_sht54_lng52,oos,2026.02,30,166.52,2.068326,17,13,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_tp45_sl2075_risk0365_h3_cd5_sht54_lng52,oos,2026.03,37,423.47,2.578169,22,15,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_tp45_sl2075_risk0365_h3_cd5_sht54_lng52,oos,2026.04,7,-33.44,0.614613,3,4,negative_month
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_midwide_sl2075_risk0370_h3_cd5_sht54_lng52,validation_is,2025.01,22,2.55,1.026643,11,11,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_midwide_sl2075_risk0370_h3_cd5_sht54_lng52,validation_is,2025.02,31,166.31,2.123716,19,12,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_midwide_sl2075_risk0370_h3_cd5_sht54_lng52,validation_is,2025.03,28,70.48,1.362328,14,14,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_midwide_sl2075_risk0370_h3_cd5_sht54_lng52,validation_is,2025.04,45,217.57,1.692259,28,17,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_midwide_sl2075_risk0370_h3_cd5_sht54_lng52,validation_is,2025.05,27,25.59,1.129675,12,15,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_midwide_sl2075_risk0370_h3_cd5_sht54_lng52,validation_is,2025.06,19,99.02,1.724678,12,7,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_midwide_sl2075_risk0370_h3_cd5_sht54_lng52,validation_is,2025.07,21,233.18,2.611695,12,9,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_midwide_sl2075_risk0370_h3_cd5_sht54_lng52,validation_is,2025.08,22,40.07,1.159128,10,12,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_midwide_sl2075_risk0370_h3_cd5_sht54_lng52,validation_is,2025.09,22,222.54,2.088481,13,9,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_midwide_sl2075_risk0370_h3_cd5_sht54_lng52,oos,2025.10,15,15.94,1.239807,9,6,pf_below_34d
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_midwide_sl2075_risk0370_h3_cd5_sht54_lng52,oos,2025.11,26,207.56,3.236156,17,9,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_midwide_sl2075_risk0370_h3_cd5_sht54_lng52,oos,2025.12,18,-28.31,0.793644,9,9,negative_month
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_midwide_sl2075_risk0370_h3_cd5_sht54_lng52,oos,2026.01,27,102.53,1.753952,15,12,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_midwide_sl2075_risk0370_h3_cd5_sht54_lng52,oos,2026.02,31,122.55,1.677521,17,14,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_midwide_sl2075_risk0370_h3_cd5_sht54_lng52,oos,2026.03,37,397.88,2.499736,22,15,acceptable_measurement_only
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_midwide_sl2075_risk0370_h3_cd5_sht54_lng52,oos,2026.04,8,-28.28,0.668697,4,4,negative_month
