run_id,adapter_id,repair_label,split,view,route_role,tier_b_policy,atr_enabled,model_risk_enabled,fixed_lot,atr_stop_multiplier,atr_take_profit_multiplier,model_risk_max_pct,reentry_cooldown_bars,same_direction_reentry_cooldown_bars,entry_transition_only,entry_transition_rearm_min_confidence_delta,short_threshold,long_threshold,close_on_flat_signal,reverse_on_opposite_signal,close_only_on_opposite_signal,max_hold_bars,status,trades_per_day,profit_factor,net_profit,trade_count,max_drawdown_amount,max_drawdown_percent,expectancy,cost_stressed_expectancy,same_move_reentry_ratio,mfe_capture_ratio,cooldown12_trades_per_day,density_gain_survives_12bar_cooldown,risk_floor_applied_count,max_model_risk_pct,max_actual_risk_pct_after_floor,avg_executed_lot,avg_atr_points,avg_open_sl_points,avg_open_tp_points,report_path,notes,avg_model_risk_pct,avg_clipped_risk_pct,max_clipped_risk_pct,avg_computed_lot,max_computed_lot,max_executed_lot,avg_actual_risk_pct_after_floor,risk_bucket,telemetry_sha256
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,stage174_wide_sl2075_risk0365,validation_is,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.075,4,0.0365,0,5,False,0,0.54,0.52,False,True,False,3,completed,1.224043716,1.58,917.21,224,160.03,14.96,4.09,,,,,,0,0.0289768187,0.0289745291,0.009178179602,3634.39774,7541.375311,14537.59096,stages/174_adapter_research__wide_gate_mid_segment_recovery_repair/02_runs/run174A/mt5/reports/Project_Obsidian_Prime_v2_run174A_stage174_wide_gate_mid_segment_recovery_repair_v1_s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52_ta_val.htm,Stage174: keep wide short gate but restore original ATR stop to test validation mid PF/net recovery.,0.000662310464,0.000662310464,0.0289768187,0.009295366676,2.008880734,2,0.0006499148263,mid,f30c77d8055af7dfc08890c94091ce74fbef3c33cd31a2497e2f07ae12775092
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,stage174_wide_sl2075_risk0365,validation_is,actual_routed_total,routed_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.075,4,0.0365,0,5,False,0,0.54,0.52,False,True,False,3,completed,1.224043716,1.58,917.21,224,160.03,14.96,4.09,3.7946875,0.06696428571,0.6778535119,1.142076503,False,0,0.0289768187,0.0289745291,0.009178179602,3634.39774,7541.375311,14537.59096,stages/174_adapter_research__wide_gate_mid_segment_recovery_repair/02_runs/run174A/mt5/reports/Project_Obsidian_Prime_v2_run174A_stage174_wide_gate_mid_segment_recovery_repair_v1_s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52_rt_val.htm,Stage174: keep wide short gate but restore original ATR stop to test validation mid PF/net recovery.,0.000662310464,0.000662310464,0.0289768187,0.009295366676,2.008880734,2,0.0006499148263,mid,f30c77d8055af7dfc08890c94091ce74fbef3c33cd31a2497e2f07ae12775092
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,stage174_wide_sl2075_risk0365,validation_is,tier_b_fallback_only,tier_b_disabled,disabled_due_run50BR_fallback_only_damage,,,,,,,,,,,,,,,,,disabled,,,,,,,,,,,,,,,,,,,,,Tier B fallback-only remained disabled because run50BR fallback-only validation/OOS net was -94.14 / -254.32.,0.000662310464,0.000662310464,0.0289768187,0.009295366676,2.008880734,2,0.0006499148263,mid,f30c77d8055af7dfc08890c94091ce74fbef3c33cd31a2497e2f07ae12775092
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,stage174_wide_sl2075_risk0365,oos,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.075,4,0.0365,0,5,False,0,0.54,0.52,False,True,False,3,completed,0.8051282051,1.83,712.61,157,112.16,12.2,4.54,,,,,,0,0.0289768187,0.0289750069,0.005585443038,3903.364499,8099.481335,15613.45799,stages/174_adapter_research__wide_gate_mid_segment_recovery_repair/02_runs/run174A/mt5/reports/Project_Obsidian_Prime_v2_run174A_stage174_wide_gate_mid_segment_recovery_repair_v1_s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52_ta_oos.htm,Stage174: keep wide short gate but restore original ATR stop to test validation mid PF/net recovery.,0.0005998629399,0.0005998629399,0.0289768187,0.00568433668,0.6163347187,0.61,0.0005877040604,mid,0243ca67d2fb5c47f340c300835c43bd5f09e1c1b19020a2ea2b7c93cfc9ec8a
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,stage174_wide_sl2075_risk0365,oos,actual_routed_total,routed_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.075,4,0.0365,0,5,False,0,0.54,0.52,False,True,False,3,completed,0.8051282051,1.83,712.61,157,112.16,12.2,4.54,4.238917197,0.05732484076,0.7197634556,0.758974359,False,0,0.0289768187,0.0289750069,0.005585443038,3903.364499,8099.481335,15613.45799,stages/174_adapter_research__wide_gate_mid_segment_recovery_repair/02_runs/run174A/mt5/reports/Project_Obsidian_Prime_v2_run174A_stage174_wide_gate_mid_segment_recovery_repair_v1_s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52_rt_oos.htm,Stage174: keep wide short gate but restore original ATR stop to test validation mid PF/net recovery.,0.0005998629399,0.0005998629399,0.0289768187,0.00568433668,0.6163347187,0.61,0.0005877040604,mid,0243ca67d2fb5c47f340c300835c43bd5f09e1c1b19020a2ea2b7c93cfc9ec8a
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0365_h3_cd5_sht54_lng52,stage174_wide_sl2075_risk0365,oos,tier_b_fallback_only,tier_b_disabled,disabled_due_run50BR_fallback_only_damage,,,,,,,,,,,,,,,,,disabled,,,,,,,,,,,,,,,,,,,,,Tier B fallback-only remained disabled because run50BR fallback-only validation/OOS net was -94.14 / -254.32.,0.0005998629399,0.0005998629399,0.0289768187,0.00568433668,0.6163347187,0.61,0.0005877040604,mid,0243ca67d2fb5c47f340c300835c43bd5f09e1c1b19020a2ea2b7c93cfc9ec8a
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,stage174_wide_sl2075_risk0380,validation_is,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.075,4,0.038,0,5,False,0,0.54,0.52,False,True,False,3,completed,1.224043716,1.58,971.62,224,171.22,15.59,4.34,,,,,,0,0.030118572,0.0301181993,0.009778545307,3634.39774,7541.375311,14537.59096,stages/174_adapter_research__wide_gate_mid_segment_recovery_repair/02_runs/run174A/mt5/reports/Project_Obsidian_Prime_v2_run174A_stage174_wide_gate_mid_segment_recovery_repair_v1_s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52_ta_val.htm,Stage174: bounded risk recapture under the 5 percent cap after restoring original ATR stop.,0.0006884070195,0.0006884070195,0.030118572,0.009887149029,2.16039458,2.16,0.0006768485687,mid,46c1baf77cf9b8ff917a1fa1e12acb3a9316426df7ade958a158ba7e01e357b8
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,stage174_wide_sl2075_risk0380,validation_is,actual_routed_total,routed_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.075,4,0.038,0,5,False,0,0.54,0.52,False,True,False,3,completed,1.224043716,1.58,971.62,224,171.22,15.59,4.34,4.037589286,0.06696428571,0.6778671,1.142076503,False,0,0.030118572,0.0301181993,0.009778545307,3634.39774,7541.375311,14537.59096,stages/174_adapter_research__wide_gate_mid_segment_recovery_repair/02_runs/run174A/mt5/reports/Project_Obsidian_Prime_v2_run174A_stage174_wide_gate_mid_segment_recovery_repair_v1_s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52_rt_val.htm,Stage174: bounded risk recapture under the 5 percent cap after restoring original ATR stop.,0.0006884070195,0.0006884070195,0.030118572,0.009887149029,2.16039458,2.16,0.0006768485687,mid,46c1baf77cf9b8ff917a1fa1e12acb3a9316426df7ade958a158ba7e01e357b8
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,stage174_wide_sl2075_risk0380,validation_is,tier_b_fallback_only,tier_b_disabled,disabled_due_run50BR_fallback_only_damage,,,,,,,,,,,,,,,,,disabled,,,,,,,,,,,,,,,,,,,,,Tier B fallback-only remained disabled because run50BR fallback-only validation/OOS net was -94.14 / -254.32.,0.0006884070195,0.0006884070195,0.030118572,0.009887149029,2.16039458,2.16,0.0006768485687,mid,46c1baf77cf9b8ff917a1fa1e12acb3a9316426df7ade958a158ba7e01e357b8
run174A_stage174_wide_gate_mid_segment_recovery_repair_v1,s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52,stage174_wide_sl2075_risk0380,oos,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.075,4,0.038,0,5,False,0,0.54,0.52,False,True,False,3,completed,0.8051282051,1.82,748.53,157,119.62,12.74,4.77,,,,,,0,0.030118572,0.0301125298,0.005891350211,3903.364499,8099.481335,15613.45799,stages/174_adapter_research__wide_gate_mid_segment_recovery_repair/02_runs/run174A/mt5/reports/Project_Obsidian_Prime_v2_run174A_stage174_wide_gate_mid_segment_recovery_repair_v1_s174_wide_sl2075_risk0380_h3_cd5_sht54_lng52_ta_oos.htm,Stage174: bounded risk recapture under the 5 percent cap after restoring original ATR stop.,0.0006234989193,0.0006234989193,0.030118572,0.005998485589,0.6596723615,0.65,0.0006102670542,mid,60eeee9160be168f2ee7d757be892349fbe8dba31c6bf713eba292d406f6777a
