ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run182A_stage182_tp45_midwide_risk_balance_repair_v1__mt5_tier_a_only_s182_tp45_midwide_risk0365_h3_cd5_ctxmid_sht54_lng52_validation_is,182_adapter_research__tp45_midwide_risk_balance_repair,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_tier_a_only_s182_tp45_midwide_risk0365_h3_cd5_ctxmid_sht54_lng52_validation_is,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_tier_a_only_s182_tp45_midwide_risk0365_h3_cd5_ctxmid_sht54_lng52_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/182_adapter_research__tp45_midwide_risk_balance_repair/02_runs/run182A/mt5/reports/Project_Obsidian_Prime_v2_run182A_stage182_tp45_midwide_risk_balance_repair_v1_s182_tp45_midwide_risk0365_h3_cd5_ctxmid_sht54_lng52_ta_val.htm,net_profit=1223.67;pf=1.68;expectancy=5.19;trades=236;win_rate=55.51,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=187.09;recovery=6.54;fill=412;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run182A_stage182_tp45_midwide_risk_balance_repair_v1__mt5_routed_s182_tp45_midwide_risk0365_h3_cd5_ctxmid_sht54_lng52_validation_is,182_adapter_research__tp45_midwide_risk_balance_repair,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_routed_s182_tp45_midwide_risk0365_h3_cd5_ctxmid_sht54_lng52_validation_is,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_routed_s182_tp45_midwide_risk0365_h3_cd5_ctxmid_sht54_lng52_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/182_adapter_research__tp45_midwide_risk_balance_repair/02_runs/run182A/mt5/reports/Project_Obsidian_Prime_v2_run182A_stage182_tp45_midwide_risk_balance_repair_v1_s182_tp45_midwide_risk0365_h3_cd5_ctxmid_sht54_lng52_rt_val.htm,net_profit=1223.67;pf=1.68;expectancy=5.19;trades=236;win_rate=55.51,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=187.09;recovery=6.54;fill=412;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run182A_stage182_tp45_midwide_risk_balance_repair_v1__mt5_tier_a_only_s182_tp45_midwide_risk0365_h3_cd5_ctxmid_sht54_lng52_oos,182_adapter_research__tp45_midwide_risk_balance_repair,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_tier_a_only_s182_tp45_midwide_risk0365_h3_cd5_ctxmid_sht54_lng52_oos,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_tier_a_only_s182_tp45_midwide_risk0365_h3_cd5_ctxmid_sht54_lng52_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/182_adapter_research__tp45_midwide_risk_balance_repair/02_runs/run182A/mt5/reports/Project_Obsidian_Prime_v2_run182A_stage182_tp45_midwide_risk_balance_repair_v1_s182_tp45_midwide_risk0365_h3_cd5_ctxmid_sht54_lng52_ta_oos.htm,net_profit=914.52;pf=1.91;expectancy=5.65;trades=162;win_rate=57.41,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=127.37;recovery=7.18;fill=280;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run182A_stage182_tp45_midwide_risk_balance_repair_v1__mt5_routed_s182_tp45_midwide_risk0365_h3_cd5_ctxmid_sht54_lng52_oos,182_adapter_research__tp45_midwide_risk_balance_repair,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_routed_s182_tp45_midwide_risk0365_h3_cd5_ctxmid_sht54_lng52_oos,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_routed_s182_tp45_midwide_risk0365_h3_cd5_ctxmid_sht54_lng52_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/182_adapter_research__tp45_midwide_risk_balance_repair/02_runs/run182A/mt5/reports/Project_Obsidian_Prime_v2_run182A_stage182_tp45_midwide_risk_balance_repair_v1_s182_tp45_midwide_risk0365_h3_cd5_ctxmid_sht54_lng52_rt_oos.htm,net_profit=914.52;pf=1.91;expectancy=5.65;trades=162;win_rate=57.41,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=127.37;recovery=7.18;fill=280;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run182A_stage182_tp45_midwide_risk_balance_repair_v1__mt5_tier_a_only_s182_tp45_midwide_risk0340_h3_cd5_ctxmid_sht54_lng52_validation_is,182_adapter_research__tp45_midwide_risk_balance_repair,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_tier_a_only_s182_tp45_midwide_risk0340_h3_cd5_ctxmid_sht54_lng52_validation_is,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_tier_a_only_s182_tp45_midwide_risk0340_h3_cd5_ctxmid_sht54_lng52_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/182_adapter_research__tp45_midwide_risk_balance_repair/02_runs/run182A/mt5/reports/Project_Obsidian_Prime_v2_run182A_stage182_tp45_midwide_risk_balance_repair_v1_s182_tp45_midwide_risk0340_h3_cd5_ctxmid_sht54_lng52_ta_val.htm,net_profit=1097.42;pf=1.69;expectancy=4.65;trades=236;win_rate=55.51,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=166;recovery=6.61;fill=412;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run182A_stage182_tp45_midwide_risk_balance_repair_v1__mt5_routed_s182_tp45_midwide_risk0340_h3_cd5_ctxmid_sht54_lng52_validation_is,182_adapter_research__tp45_midwide_risk_balance_repair,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_routed_s182_tp45_midwide_risk0340_h3_cd5_ctxmid_sht54_lng52_validation_is,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_routed_s182_tp45_midwide_risk0340_h3_cd5_ctxmid_sht54_lng52_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/182_adapter_research__tp45_midwide_risk_balance_repair/02_runs/run182A/mt5/reports/Project_Obsidian_Prime_v2_run182A_stage182_tp45_midwide_risk_balance_repair_v1_s182_tp45_midwide_risk0340_h3_cd5_ctxmid_sht54_lng52_rt_val.htm,net_profit=1097.42;pf=1.69;expectancy=4.65;trades=236;win_rate=55.51,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=166;recovery=6.61;fill=412;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run182A_stage182_tp45_midwide_risk_balance_repair_v1__mt5_tier_a_only_s182_tp45_midwide_risk0340_h3_cd5_ctxmid_sht54_lng52_oos,182_adapter_research__tp45_midwide_risk_balance_repair,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_tier_a_only_s182_tp45_midwide_risk0340_h3_cd5_ctxmid_sht54_lng52_oos,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_tier_a_only_s182_tp45_midwide_risk0340_h3_cd5_ctxmid_sht54_lng52_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/182_adapter_research__tp45_midwide_risk_balance_repair/02_runs/run182A/mt5/reports/Project_Obsidian_Prime_v2_run182A_stage182_tp45_midwide_risk_balance_repair_v1_s182_tp45_midwide_risk0340_h3_cd5_ctxmid_sht54_lng52_ta_oos.htm,net_profit=820.64;pf=1.91;expectancy=5.07;trades=162;win_rate=57.41,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=114.42;recovery=7.17;fill=280;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run182A_stage182_tp45_midwide_risk_balance_repair_v1__mt5_routed_s182_tp45_midwide_risk0340_h3_cd5_ctxmid_sht54_lng52_oos,182_adapter_research__tp45_midwide_risk_balance_repair,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_routed_s182_tp45_midwide_risk0340_h3_cd5_ctxmid_sht54_lng52_oos,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_routed_s182_tp45_midwide_risk0340_h3_cd5_ctxmid_sht54_lng52_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/182_adapter_research__tp45_midwide_risk_balance_repair/02_runs/run182A/mt5/reports/Project_Obsidian_Prime_v2_run182A_stage182_tp45_midwide_risk_balance_repair_v1_s182_tp45_midwide_risk0340_h3_cd5_ctxmid_sht54_lng52_rt_oos.htm,net_profit=820.64;pf=1.91;expectancy=5.07;trades=162;win_rate=57.41,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=114.42;recovery=7.17;fill=280;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run182A_stage182_tp45_midwide_risk_balance_repair_v1__mt5_tier_a_only_s182_tp45_midwide_risk0325_h3_cd5_ctxmid_sht54_lng52_validation_is,182_adapter_research__tp45_midwide_risk_balance_repair,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_tier_a_only_s182_tp45_midwide_risk0325_h3_cd5_ctxmid_sht54_lng52_validation_is,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_tier_a_only_s182_tp45_midwide_risk0325_h3_cd5_ctxmid_sht54_lng52_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/182_adapter_research__tp45_midwide_risk_balance_repair/02_runs/run182A/mt5/reports/Project_Obsidian_Prime_v2_run182A_stage182_tp45_midwide_risk_balance_repair_v1_s182_tp45_midwide_risk0325_h3_cd5_ctxmid_sht54_lng52_ta_val.htm,net_profit=1012.75;pf=1.69;expectancy=4.29;trades=236;win_rate=55.51,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=154.04;recovery=6.57;fill=412;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run182A_stage182_tp45_midwide_risk_balance_repair_v1__mt5_routed_s182_tp45_midwide_risk0325_h3_cd5_ctxmid_sht54_lng52_validation_is,182_adapter_research__tp45_midwide_risk_balance_repair,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_routed_s182_tp45_midwide_risk0325_h3_cd5_ctxmid_sht54_lng52_validation_is,run182A_stage182_tp45_midwide_risk_balance_repair_v1,mt5_routed_s182_tp45_midwide_risk0325_h3_cd5_ctxmid_sht54_lng52_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/182_adapter_research__tp45_midwide_risk_balance_repair/02_runs/run182A/mt5/reports/Project_Obsidian_Prime_v2_run182A_stage182_tp45_midwide_risk_balance_repair_v1_s182_tp45_midwide_risk0325_h3_cd5_ctxmid_sht54_lng52_rt_val.htm,net_profit=1012.75;pf=1.69;expectancy=4.29;trades=236;win_rate=55.51,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=154.04;recovery=6.57;fill=412;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
