variant_id,run_id,record_view,split,status,report_path,trade_count,trades_per_day,net_profit,profit_factor_recomputed,expectancy,cost_stress_per_trade,cost_stressed_expectancy,mfe_capture_ratio,mfe_capture_ratio_all_trades,reference_mfe_capture_ratio,mfe_capture_delta_vs_d390h10,mfe_capture_materially_worse_than_d390h10,winner_count,winner_truncation_rate,loser_count,loser_escape_rate,same_direction_reentry_3_bars,same_direction_reentry_6_bars,same_direction_reentry_12_bars,same_move_reentry_ratio,density_gain_survives_12bar_cooldown,mt5_average_position_holding_bars,cooldown_window_bars,cooldown_removed_trades,trade_count_after_cooldown,trades_per_day_after_cooldown,net_after_cooldown,profit_factor_after_cooldown,error
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_validation_is.htm,748,4.087431694,341.54,1.129371212,0.4566042781,0.3,0.1566042781,0.6400747268,-4.679334266,,,False,380,0.2921052632,368,0.3179347826,394,419,456,0.6096256684,False,22.68,12,456,292,1.595628415,141.07,1.149113164,
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_oos.htm,594,3.046153846,273.2,1.121265924,0.4599326599,0.3,0.1599326599,0.6282646615,-2.954786603,,,False,308,0.3214285714,286,0.2657342657,302,332,354,0.595959596,False,22.61333333,12,354,240,1.230769231,373.66,1.462273138,
s184_mid_r0325_control,run184A_stage184_tp45_midwide_midsegment_quality_repair_v1_s184_mid_r0325_control,mt5_routed_s184_mid_r0325_control_validation_is,validation_is,completed,stages/184_adapter_research__tp45_midwide_midsegment_quality_repair/02_runs/run184A/mt5/reports/Project_Obsidian_Prime_v2_run184A_stage184_tp45_midwide_midsegment_quality_repair_v1_s184_mid_r0325_control_rt_val.htm,236,1.289617486,1012.75,1.686079911,4.291313559,0.3,3.991313559,0.6788447565,-7.913726891,0.6400747268,0.03877002963,False,131,0.2366412214,105,0.219047619,0,0,16,0.06779661017,False,13.29,12,16,220,1.202185792,984.97,1.694736768,
s184_mid_r0325_control,run184A_stage184_tp45_midwide_midsegment_quality_repair_v1_s184_mid_r0325_control,mt5_routed_s184_mid_r0325_control_oos,oos,completed,stages/184_adapter_research__tp45_midwide_midsegment_quality_repair/02_runs/run184A/mt5/reports/Project_Obsidian_Prime_v2_run184A_stage184_tp45_midwide_midsegment_quality_repair_v1_s184_mid_r0325_control_rt_oos.htm,162,0.8307692308,772.55,1.912446261,4.76882716,0.3,4.46882716,0.7189919171,-2.742105942,0.6282646615,0.09072725561,False,93,0.2150537634,69,0.2463768116,0,1,9,0.05555555556,False,7.136666667,12,9,153,0.7846153846,746.15,1.900646984,
s184_mid_r0325_thr,run184A_stage184_tp45_midwide_midsegment_quality_repair_v1_s184_mid_r0325_thr,mt5_routed_s184_mid_r0325_thr_validation_is,validation_is,completed,stages/184_adapter_research__tp45_midwide_midsegment_quality_repair/02_runs/run184A/mt5/reports/Project_Obsidian_Prime_v2_run184A_stage184_tp45_midwide_midsegment_quality_repair_v1_s184_mid_r0325_thr_rt_val.htm,236,1.289617486,1012.75,1.686079911,4.291313559,0.3,3.991313559,0.6788447565,-7.913726891,0.6400747268,0.03877002963,False,131,0.2366412214,105,0.219047619,0,0,16,0.06779661017,False,13.29,12,16,220,1.202185792,984.97,1.694736768,
s184_mid_r0325_thr,run184A_stage184_tp45_midwide_midsegment_quality_repair_v1_s184_mid_r0325_thr,mt5_routed_s184_mid_r0325_thr_oos,oos,completed,stages/184_adapter_research__tp45_midwide_midsegment_quality_repair/02_runs/run184A/mt5/reports/Project_Obsidian_Prime_v2_run184A_stage184_tp45_midwide_midsegment_quality_repair_v1_s184_mid_r0325_thr_rt_oos.htm,162,0.8307692308,772.55,1.912446261,4.76882716,0.3,4.46882716,0.7189919171,-2.742105942,0.6282646615,0.09072725561,False,93,0.2150537634,69,0.2463768116,0,1,9,0.05555555556,False,7.136666667,12,9,153,0.7846153846,746.15,1.900646984,
s184_mid_r0325_qwide,run184A_stage184_tp45_midwide_midsegment_quality_repair_v1_s184_mid_r0325_qwide,mt5_routed_s184_mid_r0325_qwide_validation_is,validation_is,completed,stages/184_adapter_research__tp45_midwide_midsegment_quality_repair/02_runs/run184A/mt5/reports/Project_Obsidian_Prime_v2_run184A_stage184_tp45_midwide_midsegment_quality_repair_v1_s184_mid_r0325_qwide_rt_val.htm,172,0.9398907104,553.78,1.551063258,3.219651163,0.3,2.919651163,0.6778927941,-10.10334829,0.6400747268,0.03781806721,False,89,0.2471910112,83,0.2289156627,0,0,9,0.0523255814,False,15.80666667,12,9,163,0.8907103825,542.34,1.561387891,
s184_mid_r0325_qwide,run184A_stage184_tp45_midwide_midsegment_quality_repair_v1_s184_mid_r0325_qwide,mt5_routed_s184_mid_r0325_qwide_oos,oos,completed,stages/184_adapter_research__tp45_midwide_midsegment_quality_repair/02_runs/run184A/mt5/reports/Project_Obsidian_Prime_v2_run184A_stage184_tp45_midwide_midsegment_quality_repair_v1_s184_mid_r0325_qwide_rt_oos.htm,123,0.6307692308,400.25,1.707392941,3.254065041,0.3,2.954065041,0.7191947225,-3.51725877,0.6282646615,0.090930061,False,68,0.2058823529,55,0.2181818182,0,1,8,0.06504065041,False,8.506666667,12,8,115,0.5897435897,382.83,1.693733691,
s184_mid_r0325_qwide_thr,run184A_stage184_tp45_midwide_midsegment_quality_repair_v1_s184_mid_r0325_qwide_thr,mt5_routed_s184_mid_r0325_qwide_thr_validation_is,validation_is,completed,stages/184_adapter_research__tp45_midwide_midsegment_quality_repair/02_runs/run184A/mt5/reports/Project_Obsidian_Prime_v2_run184A_stage184_tp45_midwide_midsegment_quality_repair_v1_s184_mid_r0325_qwide_thr_rt_val.htm,172,0.9398907104,553.78,1.551063258,3.219651163,0.3,2.919651163,0.6778927941,-10.10334829,0.6400747268,0.03781806721,False,89,0.2471910112,83,0.2289156627,0,0,9,0.0523255814,False,15.80666667,12,9,163,0.8907103825,542.34,1.561387891,
s184_mid_r0325_qwide_thr,run184A_stage184_tp45_midwide_midsegment_quality_repair_v1_s184_mid_r0325_qwide_thr,mt5_routed_s184_mid_r0325_qwide_thr_oos,oos,completed,stages/184_adapter_research__tp45_midwide_midsegment_quality_repair/02_runs/run184A/mt5/reports/Project_Obsidian_Prime_v2_run184A_stage184_tp45_midwide_midsegment_quality_repair_v1_s184_mid_r0325_qwide_thr_rt_oos.htm,123,0.6307692308,400.25,1.707392941,3.254065041,0.3,2.954065041,0.7191947225,-3.51725877,0.6282646615,0.090930061,False,68,0.2058823529,55,0.2181818182,0,1,8,0.06504065041,False,8.506666667,12,8,115,0.5897435897,382.83,1.693733691,
