run_id,adapter_id,split,month,trade_count,net_profit,profit_factor,winner_count,loser_count,quality_flag
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_bctl,validation_is,2025.01,22,7.17,1.084652,11,11,pf_below_34d
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_bctl,validation_is,2025.02,31,155.29,2.213488,19,12,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_bctl,validation_is,2025.03,27,94.93,1.628759,14,13,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_bctl,validation_is,2025.04,45,227.49,1.803114,28,17,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_bctl,validation_is,2025.05,27,16.3,1.091599,12,15,pf_below_34d
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_bctl,validation_is,2025.06,19,94.76,1.775514,12,7,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_bctl,validation_is,2025.07,20,158.9,2.236191,11,9,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_bctl,validation_is,2025.08,23,114.81,1.512316,11,12,pf_below_34d
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_bctl,validation_is,2025.09,22,143.1,1.810995,13,9,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_bctl,oos,2025.10,15,16.63,1.287368,9,6,pf_below_34d
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_bctl,oos,2025.11,26,203.02,3.513557,17,9,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_bctl,oos,2025.12,18,-24.4,0.796904,9,9,negative_month
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_bctl,oos,2026.01,27,100.41,1.830933,15,12,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_bctl,oos,2026.02,31,130.85,1.81669,17,14,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_bctl,oos,2026.03,37,370.06,2.588104,22,15,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_bctl,oos,2026.04,8,-24.02,0.674614,4,4,negative_month
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365,validation_is,2025.01,20,3.46,1.036151,9,11,pf_below_34d
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365,validation_is,2025.02,29,173.17,2.195925,18,11,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365,validation_is,2025.03,22,88.9,1.571006,10,12,pf_below_34d
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365,validation_is,2025.04,39,238.61,1.789028,23,16,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365,validation_is,2025.05,23,-4.13,0.978541,9,14,negative_month
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365,validation_is,2025.06,19,106.73,1.778199,12,7,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365,validation_is,2025.07,20,180.92,2.232845,11,9,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365,validation_is,2025.08,22,132.84,1.515583,11,11,pf_below_34d
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365,validation_is,2025.09,20,153.56,1.765809,12,8,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365,oos,2025.10,12,9.91,1.151067,6,6,pf_below_34d
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365,oos,2025.11,25,221.15,3.404066,16,9,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365,oos,2025.12,18,-27.91,0.795965,9,9,negative_month
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365,oos,2026.01,27,117.35,1.849193,15,12,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365,oos,2026.02,28,139.36,1.778069,15,13,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365,oos,2026.03,35,404.27,2.478892,20,15,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365,oos,2026.04,8,-28.1,0.676379,4,4,negative_month
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_tp475,validation_is,2025.01,20,6.41,1.075438,9,11,pf_below_34d
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_tp475,validation_is,2025.02,29,154.43,2.222917,18,11,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_tp475,validation_is,2025.03,22,87.01,1.638559,10,12,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_tp475,validation_is,2025.04,39,219.82,1.843677,23,16,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_tp475,validation_is,2025.05,23,-2.23,0.986528,9,14,negative_month
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_tp475,validation_is,2025.06,19,94.72,1.802916,12,7,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_tp475,validation_is,2025.07,20,162.43,2.29809,11,9,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_tp475,validation_is,2025.08,22,121.03,1.553964,11,11,pf_below_34d
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_tp475,validation_is,2025.09,20,134.74,1.804706,12,8,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_tp475,oos,2025.10,12,8.76,1.151374,6,6,pf_below_34d
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_tp475,oos,2025.11,25,202.26,3.521002,16,9,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_tp475,oos,2025.12,18,-24.27,0.796666,9,9,negative_month
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_tp475,oos,2026.01,27,107.83,1.901061,15,12,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_tp475,oos,2026.02,28,124.11,1.80922,15,13,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_tp475,oos,2026.03,35,348.54,2.521411,20,15,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_tp475,oos,2026.04,8,-23.35,0.677263,4,4,negative_month
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365_tp475,validation_is,2025.01,20,6.55,1.068436,9,11,pf_below_34d
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365_tp475,validation_is,2025.02,29,178.47,2.22584,18,11,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365_tp475,validation_is,2025.03,22,99,1.623386,10,12,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365_tp475,validation_is,2025.04,39,257.4,1.823654,23,16,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365_tp475,validation_is,2025.05,23,-4.27,0.978498,9,14,negative_month
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365_tp475,validation_is,2025.06,19,114.6,1.806758,12,7,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365_tp475,validation_is,2025.07,20,196.66,2.281674,11,9,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365_tp475,validation_is,2025.08,22,151.44,1.558531,11,11,pf_below_34d
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365_tp475,validation_is,2025.09,20,167.41,1.789186,12,8,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365_tp475,oos,2025.10,12,11.68,1.178049,6,6,pf_below_34d
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365_tp475,oos,2025.11,25,234.78,3.51991,16,9,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365_tp475,oos,2025.12,18,-28.48,0.795608,9,9,negative_month
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365_tp475,oos,2026.01,27,129.5,1.913258,15,12,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365_tp475,oos,2026.02,28,148.72,1.800818,15,13,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365_tp475,oos,2026.03,35,429.94,2.5151,20,15,acceptable_measurement_only
run190A_stage190_net_preserving_dd_repair_from_long_strict_clue_v1,s190_ls_r0365_tp475,oos,2026.04,8,-30.19,0.668897,4,4,negative_month
