run_id,adapter_id,split,month,trade_count,net_profit,profit_factor,winner_count,loser_count,quality_flag
run192A_stage192_tp475_midsegment_net_recovery_without_dd_regression_v1,s192_tp475_ref,validation_is,2025.01,20,6.41,1.075438,9,11,pf_below_34d
run192A_stage192_tp475_midsegment_net_recovery_without_dd_regression_v1,s192_tp475_ref,validation_is,2025.02,29,154.43,2.222917,18,11,acceptable_measurement_only
run192A_stage192_tp475_midsegment_net_recovery_without_dd_regression_v1,s192_tp475_ref,validation_is,2025.03,22,87.01,1.638559,10,12,acceptable_measurement_only
run192A_stage192_tp475_midsegment_net_recovery_without_dd_regression_v1,s192_tp475_ref,validation_is,2025.04,39,219.82,1.843677,23,16,acceptable_measurement_only
run192A_stage192_tp475_midsegment_net_recovery_without_dd_regression_v1,s192_tp475_ref,validation_is,2025.05,23,-2.23,0.986528,9,14,negative_month
run192A_stage192_tp475_midsegment_net_recovery_without_dd_regression_v1,s192_tp475_ref,validation_is,2025.06,19,94.72,1.802916,12,7,acceptable_measurement_only
run192A_stage192_tp475_midsegment_net_recovery_without_dd_regression_v1,s192_tp475_ref,validation_is,2025.07,20,162.43,2.29809,11,9,acceptable_measurement_only
run192A_stage192_tp475_midsegment_net_recovery_without_dd_regression_v1,s192_tp475_ref,validation_is,2025.08,22,121.03,1.553964,11,11,pf_below_34d
run192A_stage192_tp475_midsegment_net_recovery_without_dd_regression_v1,s192_tp475_ref,validation_is,2025.09,20,134.74,1.804706,12,8,acceptable_measurement_only
run192A_stage192_tp475_midsegment_net_recovery_without_dd_regression_v1,s192_tp475_ref,oos,2025.10,12,8.76,1.151374,6,6,pf_below_34d
run192A_stage192_tp475_midsegment_net_recovery_without_dd_regression_v1,s192_tp475_ref,oos,2025.11,25,202.26,3.521002,16,9,acceptable_measurement_only
run192A_stage192_tp475_midsegment_net_recovery_without_dd_regression_v1,s192_tp475_ref,oos,2025.12,18,-24.27,0.796666,9,9,negative_month
run192A_stage192_tp475_midsegment_net_recovery_without_dd_regression_v1,s192_tp475_ref,oos,2026.01,27,107.83,1.901061,15,12,acceptable_measurement_only
run192A_stage192_tp475_midsegment_net_recovery_without_dd_regression_v1,s192_tp475_ref,oos,2026.02,28,124.11,1.80922,15,13,acceptable_measurement_only
run192A_stage192_tp475_midsegment_net_recovery_without_dd_regression_v1,s192_tp475_ref,oos,2026.03,35,348.54,2.521411,20,15,acceptable_measurement_only
