ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run194A_stage194_tp475_late_concentration_midpf_repair_v1__mt5_tier_a_only_s194_ref_r0330_validation_is,194_adapter_research__tp475_late_concentration_midpf_repair,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_tier_a_only_s194_ref_r0330_validation_is,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_tier_a_only_s194_ref_r0330_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_ref_r0330_ta_val.htm,net_profit=1021.45;pf=1.7;expectancy=4.77;trades=214;win_rate=53.74,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=149.62;recovery=6.83;fill=368;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run194A_stage194_tp475_late_concentration_midpf_repair_v1__mt5_routed_s194_ref_r0330_validation_is,194_adapter_research__tp475_late_concentration_midpf_repair,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_routed_s194_ref_r0330_validation_is,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_routed_s194_ref_r0330_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_ref_r0330_rt_val.htm,net_profit=1021.45;pf=1.7;expectancy=4.77;trades=214;win_rate=53.74,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=149.62;recovery=6.83;fill=368;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run194A_stage194_tp475_late_concentration_midpf_repair_v1__mt5_tier_a_only_s194_ref_r0330_oos,194_adapter_research__tp475_late_concentration_midpf_repair,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_tier_a_only_s194_ref_r0330_oos,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_tier_a_only_s194_ref_r0330_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_ref_r0330_ta_oos.htm,net_profit=772.34;pf=1.9;expectancy=5.05;trades=153;win_rate=55.56,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=95.14;recovery=8.12;fill=262;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run194A_stage194_tp475_late_concentration_midpf_repair_v1__mt5_routed_s194_ref_r0330_oos,194_adapter_research__tp475_late_concentration_midpf_repair,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_routed_s194_ref_r0330_oos,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_routed_s194_ref_r0330_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_ref_r0330_rt_oos.htm,net_profit=772.34;pf=1.9;expectancy=5.05;trades=153;win_rate=55.56,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=95.14;recovery=8.12;fill=262;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run194A_stage194_tp475_late_concentration_midpf_repair_v1__mt5_tier_a_only_s194_bctl_tp475_r0330_validation_is,194_adapter_research__tp475_late_concentration_midpf_repair,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_tier_a_only_s194_bctl_tp475_r0330_validation_is,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_tier_a_only_s194_bctl_tp475_r0330_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_bctl_tp475_r0330_ta_val.htm,net_profit=1161.27;pf=1.73;expectancy=4.92;trades=236;win_rate=55.51,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=166;recovery=7;fill=412;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run194A_stage194_tp475_late_concentration_midpf_repair_v1__mt5_routed_s194_bctl_tp475_r0330_validation_is,194_adapter_research__tp475_late_concentration_midpf_repair,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_routed_s194_bctl_tp475_r0330_validation_is,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_routed_s194_bctl_tp475_r0330_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_bctl_tp475_r0330_rt_val.htm,net_profit=1161.27;pf=1.73;expectancy=4.92;trades=236;win_rate=55.51,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=166;recovery=7;fill=412;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run194A_stage194_tp475_late_concentration_midpf_repair_v1__mt5_tier_a_only_s194_bctl_tp475_r0330_oos,194_adapter_research__tp475_late_concentration_midpf_repair,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_tier_a_only_s194_bctl_tp475_r0330_oos,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_tier_a_only_s194_bctl_tp475_r0330_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_bctl_tp475_r0330_ta_oos.htm,net_profit=843.9;pf=1.95;expectancy=5.21;trades=162;win_rate=57.41,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=113.35;recovery=7.45;fill=280;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run194A_stage194_tp475_late_concentration_midpf_repair_v1__mt5_routed_s194_bctl_tp475_r0330_oos,194_adapter_research__tp475_late_concentration_midpf_repair,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_routed_s194_bctl_tp475_r0330_oos,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_routed_s194_bctl_tp475_r0330_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_bctl_tp475_r0330_rt_oos.htm,net_profit=843.9;pf=1.95;expectancy=5.21;trades=162;win_rate=57.41,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=113.35;recovery=7.45;fill=280;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run194A_stage194_tp475_late_concentration_midpf_repair_v1__mt5_tier_a_only_s194_hold2_r0330_validation_is,194_adapter_research__tp475_late_concentration_midpf_repair,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_tier_a_only_s194_hold2_r0330_validation_is,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_tier_a_only_s194_hold2_r0330_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_hold2_r0330_ta_val.htm,net_profit=380.76;pf=1.61;expectancy=1.82;trades=209;win_rate=55.98,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=54.85;recovery=6.94;fill=396;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run194A_stage194_tp475_late_concentration_midpf_repair_v1__mt5_routed_s194_hold2_r0330_validation_is,194_adapter_research__tp475_late_concentration_midpf_repair,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_routed_s194_hold2_r0330_validation_is,run194A_stage194_tp475_late_concentration_midpf_repair_v1,mt5_routed_s194_hold2_r0330_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_hold2_r0330_rt_val.htm,net_profit=380.76;pf=1.61;expectancy=1.82;trades=209;win_rate=55.98,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=54.85;recovery=6.94;fill=396;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
