attempt_name,adapter_id,split,tier,view,atr_enabled,model_risk_enabled,atr_stop_multiplier,atr_take_profit_multiplier,telemetry_path,status,cycle_rows,risk_floor_applied_count,avg_model_risk_pct,max_model_risk_pct,avg_clipped_risk_pct,max_clipped_risk_pct,avg_computed_lot,max_computed_lot,avg_executed_lot,max_executed_lot,max_actual_risk_pct_after_floor,avg_actual_risk_pct_after_floor,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket,telemetry_sha256
s206_ls_ref_r0325_ta_val,s206_ls_ref_r0325,validation_is,Tier A,tier_a_only,True,True,2.075,4.75,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s206a/run206A/s206_ls_ref_r0325/telemetry/s206_ls_ref_r0325_ta_val_telemetry.csv,completed,9844,0,0.0007244351288,0.0259321433,0.0007244351288,0.0259321433,0.01158087503,2.282006894,0.01143640796,2.28,0.0259313675,0.0007091012797,3634.39774,7541.375311,17263.38927,mid,684ed65a38f6745e31eb6cd6fc7885f16bdc186cfd553d42550903dc5e49c248
s206_ls_ref_r0325_rt_val,s206_ls_ref_r0325,validation_is,Tier A+B,actual_routed_total,True,True,2.075,4.75,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s206a/run206A/s206_ls_ref_r0325/telemetry/s206_ls_ref_r0325_rt_val_telemetry.csv,completed,9844,0,0.0007244351288,0.0259321433,0.0007244351288,0.0259321433,0.01158087503,2.282006894,0.01143640796,2.28,0.0259313675,0.0007091012797,3634.39774,7541.375311,17263.38927,mid,684ed65a38f6745e31eb6cd6fc7885f16bdc186cfd553d42550903dc5e49c248
s206_ls_ref_r0325_ta_oos,s206_ls_ref_r0325,oos,Tier A,tier_a_only,True,True,2.075,4.75,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s206a/run206A/s206_ls_ref_r0325/telemetry/s206_ls_ref_r0325_ta_oos_telemetry.csv,completed,7584,0,0.0006838645385,0.0259321433,0.0006838645385,0.0259321433,0.006639233609,0.5993371904,0.006505801688,0.59,0.0259258071,0.0006684694954,3903.364499,8099.481335,18540.98137,mid,5d85ec097d344a80dd6fa5a566fb6f2b4931625751108e842f0325f91ba7dc00
s206_ls_ref_r0325_rt_oos,s206_ls_ref_r0325,oos,Tier A+B,actual_routed_total,True,True,2.075,4.75,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s206a/run206A/s206_ls_ref_r0325/telemetry/s206_ls_ref_r0325_rt_oos_telemetry.csv,completed,7584,0,0.0006838645385,0.0259321433,0.0006838645385,0.0259321433,0.006639233609,0.5993371904,0.006505801688,0.59,0.0259258071,0.0006684694954,3903.364499,8099.481335,18540.98137,mid,5d85ec097d344a80dd6fa5a566fb6f2b4931625751108e842f0325f91ba7dc00
s206_ls_session_p5_r0325_ta_val,s206_ls_session_p5_r0325,validation_is,Tier A,tier_a_only,True,True,2.075,4.75,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s206a/run206A/s206_ls_session_p5_r0325/telemetry/s206_ls_session_p5_r0325_ta_val_telemetry.csv,completed,9844,0,0.0007534125339,0.0259321433,0.0007534125339,0.0259321433,0.01131710427,2.129666719,0.0111682243,2.12,0.0259288386,0.0007367117887,3634.39774,7541.375311,17263.38927,mid,df6e9db7bfdaf888f92e2cc024b1982a1b3fca75070d6cea136f5bcb4fe9becb
s206_ls_session_p5_r0325_rt_val,s206_ls_session_p5_r0325,validation_is,Tier A+B,actual_routed_total,True,True,2.075,4.75,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s206a/run206A/s206_ls_session_p5_r0325/telemetry/s206_ls_session_p5_r0325_rt_val_telemetry.csv,completed,9844,0,0.0007534125339,0.0259321433,0.0007534125339,0.0259321433,0.01131710427,2.129666719,0.0111682243,2.12,0.0259288386,0.0007367117887,3634.39774,7541.375311,17263.38927,mid,df6e9db7bfdaf888f92e2cc024b1982a1b3fca75070d6cea136f5bcb4fe9becb
s206_ls_session_p5_r0325_ta_oos,s206_ls_session_p5_r0325,oos,Tier A,tier_a_only,True,True,2.075,4.75,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s206a/run206A/s206_ls_session_p5_r0325/telemetry/s206_ls_session_p5_r0325_ta_oos_telemetry.csv,completed,7584,0,0.0007180577654,0.0259321433,0.0007180577654,0.0259321433,0.006638603992,0.5717755079,0.006501845992,0.57,0.0259264631,0.0007011533254,3903.364499,8099.481335,18540.98137,mid,669d61e66e9f908785828e64d23bdba33591a20d1e5707f62372832ae6f195ce
s206_ls_session_p5_r0325_rt_oos,s206_ls_session_p5_r0325,oos,Tier A+B,actual_routed_total,True,True,2.075,4.75,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s206a/run206A/s206_ls_session_p5_r0325/telemetry/s206_ls_session_p5_r0325_rt_oos_telemetry.csv,completed,7584,0,0.0007180577654,0.0259321433,0.0007180577654,0.0259321433,0.006638603992,0.5717755079,0.006501845992,0.57,0.0259264631,0.0007011533254,3903.364499,8099.481335,18540.98137,mid,669d61e66e9f908785828e64d23bdba33591a20d1e5707f62372832ae6f195ce
s206_ls_session_p10_r0325_ta_val,s206_ls_session_p10_r0325,validation_is,Tier A,tier_a_only,True,True,2.075,4.75,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s206a/run206A/s206_ls_session_p10_r0325/telemetry/s206_ls_session_p10_r0325_ta_val_telemetry.csv,completed,9844,0,0.0007244351288,0.0259321433,0.0007244351288,0.0259321433,0.01158087503,2.282006894,0.01143640796,2.28,0.0259313675,0.0007091012797,3634.39774,7541.375311,17263.38927,mid,fb2816860f8a3fd42667e5772373081447a6471dafdcb77b586a2a2aa0d18b03
s206_ls_session_p10_r0325_rt_val,s206_ls_session_p10_r0325,validation_is,Tier A+B,actual_routed_total,True,True,2.075,4.75,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s206a/run206A/s206_ls_session_p10_r0325/telemetry/s206_ls_session_p10_r0325_rt_val_telemetry.csv,completed,9844,0,0.0007244351288,0.0259321433,0.0007244351288,0.0259321433,0.01158087503,2.282006894,0.01143640796,2.28,0.0259313675,0.0007091012797,3634.39774,7541.375311,17263.38927,mid,fb2816860f8a3fd42667e5772373081447a6471dafdcb77b586a2a2aa0d18b03
