run_id,adapter_id,repair_label,split,view,route_role,tier_b_policy,atr_enabled,model_risk_enabled,fixed_lot,atr_stop_multiplier,atr_take_profit_multiplier,model_risk_max_pct,reentry_cooldown_bars,same_direction_reentry_cooldown_bars,entry_transition_only,entry_transition_rearm_min_confidence_delta,short_threshold,long_threshold,close_on_flat_signal,reverse_on_opposite_signal,close_only_on_opposite_signal,max_hold_bars,status,trades_per_day,profit_factor,net_profit,trade_count,max_drawdown_amount,max_drawdown_percent,expectancy,cost_stressed_expectancy,same_move_reentry_ratio,mfe_capture_ratio,cooldown12_trades_per_day,density_gain_survives_12bar_cooldown,risk_floor_applied_count,max_model_risk_pct,max_actual_risk_pct_after_floor,avg_executed_lot,avg_atr_points,avg_open_sl_points,avg_open_tp_points,report_path,notes,avg_model_risk_pct,avg_clipped_risk_pct,max_clipped_risk_pct,avg_computed_lot,max_computed_lot,max_executed_lot,avg_actual_risk_pct_after_floor,risk_bucket,telemetry_sha256
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,stage217_r031375_s20325_t4615,validation_is,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.0325,4.615,0.031375,0,8,False,0,0.54,0.52,False,True,False,3,completed,1.469945355,1.6,952.16,269,140.86,13.8,3.54,,,,,,0,0.0250758284,0.0250742927,0.009610930516,3634.39774,7386.913407,16772.74557,stages/217_adapter_research__oos_preserving_mid_pf_micro_interpolation/02_runs/run217A/mt5/reports/Project_Obsidian_Prime_v2_run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1_s217_r031375_s20325_t4615_ta_val.htm,Stage217 micro interpolation: lower midpoint near OOS preserver.,0.0007005132883,0.0007005132883,0.0250758284,0.009749736021,1.846728251,1.84,0.0006848156952,mid,fbc1ccfdc2e230a5f090b8110d03c7b8b0e06688dee3d76764d5183d3cece974
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,stage217_r031375_s20325_t4615,validation_is,actual_routed_total,routed_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.0325,4.615,0.031375,0,8,False,0,0.54,0.52,False,True,False,3,completed,1.469945355,1.6,952.16,269,140.86,13.8,3.54,3.239628253,0.0594795539,0.6773077989,1.382513661,False,0,0.0250758284,0.0250742927,0.009610930516,3634.39774,7386.913407,16772.74557,stages/217_adapter_research__oos_preserving_mid_pf_micro_interpolation/02_runs/run217A/mt5/reports/Project_Obsidian_Prime_v2_run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1_s217_r031375_s20325_t4615_rt_val.htm,Stage217 micro interpolation: lower midpoint near OOS preserver.,0.0007005132883,0.0007005132883,0.0250758284,0.009749736021,1.846728251,1.84,0.0006848156952,mid,fbc1ccfdc2e230a5f090b8110d03c7b8b0e06688dee3d76764d5183d3cece974
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,stage217_r031375_s20325_t4615,validation_is,tier_b_fallback_only,tier_b_disabled,disabled_due_run50BR_fallback_only_damage,,,,,,,,,,,,,,,,,disabled,,,,,,,,,,,,,,,,,,,,,Tier B fallback-only remained disabled because run50BR fallback-only validation/OOS net was -94.14 / -254.32.,0.0007005132883,0.0007005132883,0.0250758284,0.009749736021,1.846728251,1.84,0.0006848156952,mid,fbc1ccfdc2e230a5f090b8110d03c7b8b0e06688dee3d76764d5183d3cece974
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,stage217_r031375_s20325_t4615,oos,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.0325,4.615,0.031375,0,8,False,0,0.54,0.52,False,True,False,3,completed,1,1.74,719.48,195,101.06,10.47,3.69,,,,,,0,0.0250758284,0.0250717166,0.006297468354,3903.364499,7933.588343,18014.02716,stages/217_adapter_research__oos_preserving_mid_pf_micro_interpolation/02_runs/run217A/mt5/reports/Project_Obsidian_Prime_v2_run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1_s217_r031375_s20325_t4615_ta_oos.htm,Stage217 micro interpolation: lower midpoint near OOS preserver.,0.0006612823945,0.0006612823945,0.0250758284,0.006433315425,0.5811647462,0.58,0.0006447289776,mid,9df9955be6256478ca47d39a8367595b8134e268d6aba2dca037d5122f8c0288
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,stage217_r031375_s20325_t4615,oos,actual_routed_total,routed_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.0325,4.615,0.031375,0,8,False,0,0.54,0.52,False,True,False,3,completed,1,1.74,719.48,195,101.06,10.47,3.69,3.389641026,0.05128205128,0.7127440841,0.9487179487,False,0,0.0250758284,0.0250717166,0.006297468354,3903.364499,7933.588343,18014.02716,stages/217_adapter_research__oos_preserving_mid_pf_micro_interpolation/02_runs/run217A/mt5/reports/Project_Obsidian_Prime_v2_run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1_s217_r031375_s20325_t4615_rt_oos.htm,Stage217 micro interpolation: lower midpoint near OOS preserver.,0.0006612823945,0.0006612823945,0.0250758284,0.006433315425,0.5811647462,0.58,0.0006447289776,mid,9df9955be6256478ca47d39a8367595b8134e268d6aba2dca037d5122f8c0288
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20325_t4615,stage217_r031375_s20325_t4615,oos,tier_b_fallback_only,tier_b_disabled,disabled_due_run50BR_fallback_only_damage,,,,,,,,,,,,,,,,,disabled,,,,,,,,,,,,,,,,,,,,,Tier B fallback-only remained disabled because run50BR fallback-only validation/OOS net was -94.14 / -254.32.,0.0006612823945,0.0006612823945,0.0250758284,0.006433315425,0.5811647462,0.58,0.0006447289776,mid,9df9955be6256478ca47d39a8367595b8134e268d6aba2dca037d5122f8c0288
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20375_t4625,stage217_r031375_s20375_t4625,validation_is,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.0375,4.625,0.031375,0,8,False,0,0.54,0.52,False,True,False,3,completed,1.469945355,1.6,948.72,269,140.86,13.78,3.53,,,,,,0,0.0250758284,0.0250716382,0.009574360016,3634.39774,7405.085396,16809.08955,stages/217_adapter_research__oos_preserving_mid_pf_micro_interpolation/02_runs/run217A/mt5/reports/Project_Obsidian_Prime_v2_run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1_s217_r031375_s20375_t4625_ta_val.htm,Stage217 micro interpolation: center midpoint.,0.0007005132883,0.0007005132883,0.0250758284,0.00971781929,1.836493893,1.83,0.0006846191088,mid,1b36b1b0804fe875d65b82c2ee567fd81bc69d7ed65b2094c6f79619645faa9a
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20375_t4625,stage217_r031375_s20375_t4625,validation_is,actual_routed_total,routed_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.0375,4.625,0.031375,0,8,False,0,0.54,0.52,False,True,False,3,completed,1.469945355,1.6,948.72,269,140.86,13.78,3.53,3.226840149,0.0594795539,0.6764717696,1.382513661,False,0,0.0250758284,0.0250716382,0.009574360016,3634.39774,7405.085396,16809.08955,stages/217_adapter_research__oos_preserving_mid_pf_micro_interpolation/02_runs/run217A/mt5/reports/Project_Obsidian_Prime_v2_run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1_s217_r031375_s20375_t4625_rt_val.htm,Stage217 micro interpolation: center midpoint.,0.0007005132883,0.0007005132883,0.0250758284,0.00971781929,1.836493893,1.83,0.0006846191088,mid,1b36b1b0804fe875d65b82c2ee567fd81bc69d7ed65b2094c6f79619645faa9a
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20375_t4625,stage217_r031375_s20375_t4625,validation_is,tier_b_fallback_only,tier_b_disabled,disabled_due_run50BR_fallback_only_damage,,,,,,,,,,,,,,,,,disabled,,,,,,,,,,,,,,,,,,,,,Tier B fallback-only remained disabled because run50BR fallback-only validation/OOS net was -94.14 / -254.32.,0.0007005132883,0.0007005132883,0.0250758284,0.00971781929,1.836493893,1.83,0.0006846191088,mid,1b36b1b0804fe875d65b82c2ee567fd81bc69d7ed65b2094c6f79619645faa9a
run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1,s217_r031375_s20375_t4625,stage217_r031375_s20375_t4625,oos,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,True,0.25,2.0375,4.625,0.031375,0,8,False,0,0.54,0.52,False,True,False,3,completed,1,1.74,709.04,195,98.52,10.27,3.64,,,,,,0,0.0250758284,0.025069558,0.006243407173,3903.364499,7953.105166,18053.06081,stages/217_adapter_research__oos_preserving_mid_pf_micro_interpolation/02_runs/run217A/mt5/reports/Project_Obsidian_Prime_v2_run217A_stage217_oos_preserving_mid_pf_micro_interpolation_v1_s217_r031375_s20375_t4625_ta_oos.htm,Stage217 micro interpolation: center midpoint.,0.0006612823945,0.0006612823945,0.0250758284,0.006386820995,0.5772666699,0.57,0.0006436778561,mid,2088896aebc18517169ce73506d946e96b31788bea7c62faa84518a3c185abcc
