ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run17A_supervised_regime_classifier_filter_scout_v1__python_tier_a_separate,23_regime_model__supervised_regime_classifier_filter,run17A_supervised_regime_classifier_filter_scout_v1,python_tier_a_separate,run17A_supervised_regime_classifier_filter_scout_v1,python_tier_a_separate,Tier A,supervised_regime_classifier_filter,structural_scout,reviewed,inconclusive_supervised_regime_classifier_filter_scout_completed,stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17A_supervised_regime_classifier_filter_scout_v1/predictions/tier_a_supervised_regime_predictions.parquet,rows=46650;signal_coverage=0.15627;signals=7290;short=4406;long=2884,threshold=q0.80;prob_sum_err=2.22045e-16;subtypes=NA,out_of_scope_by_claim_python_structural_scout,Supervised regime classifier filter scout only; not baseline or promotion.
run17A_supervised_regime_classifier_filter_scout_v1__python_tier_b_separate,23_regime_model__supervised_regime_classifier_filter,run17A_supervised_regime_classifier_filter_scout_v1,python_tier_b_separate,run17A_supervised_regime_classifier_filter_scout_v1,python_tier_b_separate,Tier B,supervised_regime_classifier_filter,structural_scout,reviewed,inconclusive_supervised_regime_classifier_filter_scout_completed,stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17A_supervised_regime_classifier_filter_scout_v1/predictions/tier_b_supervised_regime_predictions.parquet,rows=12398;signal_coverage=0.0613809;signals=761;short=623;long=138,"threshold=q0.80;prob_sum_err=2.22045e-16;subtypes={""B_constituent_missing"":1,""B_core_only"":200,""B_full_context_outside_tier_a_scope"":217,""B_macro_missing"":10740,""B_mixed_partial_context"":1240}",out_of_scope_by_claim_python_structural_scout,Supervised regime classifier filter scout only; not baseline or promotion.
run17A_supervised_regime_classifier_filter_scout_v1__python_tier_ab_combined,23_regime_model__supervised_regime_classifier_filter,run17A_supervised_regime_classifier_filter_scout_v1,python_tier_ab_combined,run17A_supervised_regime_classifier_filter_scout_v1,python_tier_ab_combined,Tier A+B,supervised_regime_classifier_filter,structural_scout,reviewed,inconclusive_supervised_regime_classifier_filter_scout_completed,stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17A_supervised_regime_classifier_filter_scout_v1/predictions/tier_ab_supervised_regime_predictions.parquet,rows=59048;signal_coverage=0.136821;signals=8079;short=5051;long=3028,"threshold=q0.80;prob_sum_err=2.22045e-16;subtypes={""B_constituent_missing"":1,""B_core_only"":200,""B_full_context_outside_tier_a_scope"":217,""B_macro_missing"":10740,""B_mixed_partial_context"":1240,""Tier_A_full_context"":46650}",out_of_scope_by_claim_python_structural_scout,Supervised regime classifier filter scout only; not baseline or promotion.
run17B_supervised_regime_classifier_runtime_probe_v1__python_tier_a_separate,23_regime_model__supervised_regime_classifier_filter,run17B_supervised_regime_classifier_runtime_probe_v1,python_tier_a_separate,run17B_supervised_regime_classifier_runtime_probe_v1,python_tier_a_separate,Tier A,signal_probability_threshold,structural_scout,completed,inconclusive_single_split_scout_payload,stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1/predictions/tier_a_runtime_probe_predictions.parquet,rows=46650;signal_coverage=0.15627;signal_count=7290;short=4406;long=2884,prob_sum_err=2.22045e-16;selected_threshold=q0.80;threshold_ids=q0.80;subtype_counts=NA,out_of_scope_by_claim,Tier A full-context primary view
run17B_supervised_regime_classifier_runtime_probe_v1__python_tier_b_separate,23_regime_model__supervised_regime_classifier_filter,run17B_supervised_regime_classifier_runtime_probe_v1,python_tier_b_separate,run17B_supervised_regime_classifier_runtime_probe_v1,python_tier_b_separate,Tier B,signal_probability_threshold,structural_scout,completed,inconclusive_single_split_scout_payload,stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1/predictions/tier_b_runtime_probe_predictions.parquet,rows=12398;signal_coverage=0.0613809;signal_count=761;short=623;long=138,"prob_sum_err=2.22045e-16;selected_threshold=q0.80;threshold_ids=q0.80;subtype_counts={""B_constituent_missing"":1,""B_core_only"":200,""B_full_context_outside_tier_a_scope"":217,""B_macro_missing"":10740,""B_mixed_partial_context"":1240}",out_of_scope_by_claim,Tier B partial-context fallback-only view
run17B_supervised_regime_classifier_runtime_probe_v1__python_tier_ab_combined,23_regime_model__supervised_regime_classifier_filter,run17B_supervised_regime_classifier_runtime_probe_v1,python_tier_ab_combined,run17B_supervised_regime_classifier_runtime_probe_v1,python_tier_ab_combined,Tier A+B,signal_probability_threshold,structural_scout,completed,inconclusive_single_split_scout_payload,stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1/predictions/tier_ab_runtime_probe_predictions.parquet,rows=59048;signal_coverage=0.136821;signal_count=8079;short=5051;long=3028,"prob_sum_err=2.22045e-16;selected_threshold=q0.80;threshold_ids=q0.80;subtype_counts={""B_constituent_missing"":1,""B_core_only"":200,""B_full_context_outside_tier_a_scope"":217,""B_macro_missing"":10740,""B_mixed_partial_context"":1240,""Tier_A_full_context"":46650}",out_of_scope_by_claim,Tier A primary plus Tier B fallback routed Python view
run17B_supervised_regime_classifier_runtime_probe_v1__mt5_tier_a_only_validation_is,23_regime_model__supervised_regime_classifier_filter,run17B_supervised_regime_classifier_runtime_probe_v1,mt5_tier_a_only_validation_is,run17B_supervised_regime_classifier_runtime_probe_v1,mt5_tier_a_only_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run17B_supervised_regime_classifier_runtime_probe_v1_tier_a_only_validation_is.htm,net_profit=199.66;pf=1.1;expectancy=0.43;trades=459;win_rate=47.93,labelable=9844;feature_ready=9844;model_ok=9844;no_tier_labelable=203;max_dd=358.9;recovery=0.56;fill=675;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run17B_supervised_regime_classifier_runtime_probe_v1__mt5_tier_b_fallback_only_validation_is,23_regime_model__supervised_regime_classifier_filter,run17B_supervised_regime_classifier_runtime_probe_v1,mt5_tier_b_fallback_only_validation_is,run17B_supervised_regime_classifier_runtime_probe_v1,mt5_tier_b_fallback_only_validation_is,Tier B,trading_risk_execution,runtime_probe,completed,inconclusive_tier_b_fallback_only_runtime_probe,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run17B_supervised_regime_classifier_runtime_probe_v1_tier_b_fallback_only_validation_is.htm,net_profit=251.41;pf=2.46;expectancy=9.67;trades=26;win_rate=46.15,"labelable=2366;feature_ready=2366;model_ok=2366;no_tier_labelable=203;max_dd=112.45;recovery=2.24;fill=48;reject=0;skip=50442;subtypes={""B_core_only"":25,""B_macro_missing"":2126,""B_mixed_partial_context"":215}",completed,Tier B fallback-only standalone MT5 tester run.
run17B_supervised_regime_classifier_runtime_probe_v1__mt5_routed_tier_a_used_validation_is,23_regime_model__supervised_regime_classifier_filter,run17B_supervised_regime_classifier_runtime_probe_v1,mt5_routed_tier_a_used_validation_is,run17B_supervised_regime_classifier_runtime_probe_v1,mt5_routed_tier_a_used_validation_is,Tier A,routed_signal_execution_usage,runtime_probe,completed,inconclusive_routed_component_runtime_probe,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1/kpi_record.json,route_bars=9844;route_share=0.806224;signals=1969;long=813;short=1156;fills=670,profit_attribution=not_separable_from_single_routed_account_path;reject=0;skip=0;subtypes=NA,completed,Tier A primary used component from one routed MT5 tester run.
run17B_supervised_regime_classifier_runtime_probe_v1__mt5_routed_tier_b_fallback_used_validation_is,23_regime_model__supervised_regime_classifier_filter,run17B_supervised_regime_classifier_runtime_probe_v1,mt5_routed_tier_b_fallback_used_validation_is,run17B_supervised_regime_classifier_runtime_probe_v1,mt5_routed_tier_b_fallback_used_validation_is,Tier B,routed_signal_execution_usage,runtime_probe,completed,inconclusive_routed_component_runtime_probe,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1/kpi_record.json,route_bars=2366;route_share=0.193776;signals=100;long=22;short=78;fills=40,"profit_attribution=not_separable_from_single_routed_account_path;reject=0;skip=0;subtypes={""B_core_only"":25,""B_macro_missing"":2126,""B_mixed_partial_context"":215}",completed,Tier B partial-context fallback used component from one routed MT5 tester run.
