run_id,adapter_id,split,month,trade_count,net_profit,profit_factor,winner_count,loser_count,quality_flag
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_samecap,validation_is,2025.01,30,9,1.084128,15,15,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_samecap,validation_is,2025.02,36,187.84,2.108658,23,13,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_samecap,validation_is,2025.03,32,7.54,1.034861,13,19,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_samecap,validation_is,2025.04,53,253.61,1.821143,33,20,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_samecap,validation_is,2025.05,28,21.63,1.1258,13,15,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_samecap,validation_is,2025.06,22,113.6,2.013743,15,7,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_samecap,validation_is,2025.07,20,186.46,2.443636,11,9,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_samecap,validation_is,2025.08,25,30.06,1.098142,11,14,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_samecap,validation_is,2025.09,23,158.11,1.91156,14,9,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_samecap,oos,2025.10,21,21.01,1.29933,13,8,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_samecap,oos,2025.11,33,218.34,3.151345,21,12,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_samecap,oos,2025.12,20,-33.24,0.769678,10,10,negative_month
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_samecap,oos,2026.01,31,133.11,2.017816,18,13,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_samecap,oos,2026.02,38,139.26,1.626874,20,18,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_samecap,oos,2026.03,40,341.42,2.168886,21,19,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_samecap,oos,2026.04,12,-7.1,0.912248,7,5,negative_month
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0275,validation_is,2025.01,30,10.17,1.109132,15,15,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0275,validation_is,2025.02,36,164.79,2.154153,23,13,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0275,validation_is,2025.03,32,7.35,1.03993,13,19,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0275,validation_is,2025.04,53,209.58,1.82127,33,20,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0275,validation_is,2025.05,28,19.73,1.140188,13,15,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0275,validation_is,2025.06,22,93.67,2.027083,15,7,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0275,validation_is,2025.07,20,150.02,2.451853,11,9,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0275,validation_is,2025.08,25,25.17,1.103879,11,14,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0275,validation_is,2025.09,23,124.19,1.910217,14,9,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0275,oos,2025.10,21,19.09,1.311572,13,8,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0275,oos,2025.11,33,187.03,3.156214,21,12,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0275,oos,2025.12,20,-29.29,0.758433,10,10,negative_month
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0275,oos,2026.01,31,110.56,2.013104,18,13,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0275,oos,2026.02,38,115.83,1.64418,20,18,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0275,oos,2026.03,40,275.19,2.177888,21,19,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0275,oos,2026.04,12,-6.23,0.902182,7,5,negative_month
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0251,validation_is,2025.01,30,10.18,1.120602,15,15,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0251,validation_is,2025.02,36,150.77,2.177707,23,13,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0251,validation_is,2025.03,32,6.32,1.038192,13,19,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0251,validation_is,2025.04,53,190.76,1.851455,33,20,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0251,validation_is,2025.05,28,17.38,1.140535,13,15,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0251,validation_is,2025.06,22,83.07,2.041761,15,7,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0251,validation_is,2025.07,20,130.65,2.453767,11,9,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0251,validation_is,2025.08,25,22.83,1.109823,11,14,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0251,validation_is,2025.09,23,106.21,1.909877,14,9,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0251,oos,2025.10,21,16.73,1.298058,13,8,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0251,oos,2025.11,33,169.64,3.205122,21,12,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0251,oos,2025.12,20,-24.71,0.772593,10,10,negative_month
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0251,oos,2026.01,31,99.06,2.027807,18,13,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0251,oos,2026.02,38,101.43,1.649568,20,18,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0251,oos,2026.03,40,236.71,2.163594,21,19,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus010_cap0251,oos,2026.04,12,-5.45,0.899835,7,5,negative_month
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus0075_cap0290,validation_is,2025.01,30,8.87,1.089959,15,15,pf_below_34d
