run_id,adapter_id,split,top1_winner,top1_winner_share_of_net,top3_winner_share_of_net,top5_winner_share_of_net,worst_loss,worst_loss_share_of_net_abs,last_quarter_net,last_quarter_net_share
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_cap0305_control,validation_is,87.18,0.0893,0.2506,0.3977,-45.66,0.0468,369.5,0.3783
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_cap0305_control,oos,77.87,0.1004,0.2625,0.411,-31.68,0.0408,319.97,0.4125
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlow_flat003,validation_is,87.18,0.0946,0.2591,0.4085,-42.39,0.046,355.25,0.3856
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlow_flat003,oos,77.87,0.1008,0.2621,0.4098,-31.54,0.0408,322.32,0.4171
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlow_flat005,validation_is,87.18,0.0963,0.262,0.4131,-39.59,0.0437,354.54,0.3916
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlow_flat005,oos,77.87,0.1015,0.2639,0.41,-31.54,0.0411,318.52,0.4151
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlowmid_lite,validation_is,87.18,0.0963,0.2619,0.4129,-42.39,0.0468,353.97,0.3908
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlowmid_lite,oos,77.87,0.1007,0.262,0.4096,-31.54,0.0408,322.32,0.4169
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlowmid_balanced,validation_is,87.18,0.0972,0.2632,0.4147,-39.59,0.0441,350.77,0.391
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlowmid_balanced,oos,77.87,0.1017,0.263,0.4095,-31.54,0.0412,317.38,0.4146
