run_id,adapter_id,split,top1_winner,top1_winner_share_of_net,top3_winner_share_of_net,top5_winner_share_of_net,worst_loss,worst_loss_share_of_net_abs,last_quarter_net,last_quarter_net_share
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_binding_control,validation_is,87.22,0.0897,0.2514,0.3983,-48.88,0.0503,368.5,0.3791
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_binding_control,oos,78,0.1005,0.2626,0.411,-31.68,0.0408,320.12,0.4125
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_short_low_score006,validation_is,87.22,0.105,0.2625,0.39,-38.08,0.0459,309.24,0.3724
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_short_low_score006,oos,61.64,0.0868,0.2534,0.3837,-27.18,0.0383,271.62,0.3823
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_long_low_score006,validation_is,87.22,0.0964,0.2661,0.4239,-48.88,0.054,333.34,0.3683
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_long_low_score006,oos,78,0.1073,0.2773,0.433,-31.68,0.0436,308.15,0.424
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_short_low_gate,validation_is,80.99,0.2404,0.5308,0.7547,-25.64,0.0761,123.42,0.3663
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_short_low_gate,oos,51.37,0.1329,0.3608,0.5293,-23.37,0.0605,93.86,0.2429
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_long_low_gate,validation_is,87.22,0.1427,0.3455,0.5285,-39.1,0.064,198.85,0.3253
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_long_low_gate,oos,61.29,0.1256,0.3441,0.5399,-24.66,0.0505,190.09,0.3895
