attempt_name,adapter_id,split,tier,view,atr_enabled,model_risk_enabled,atr_stop_multiplier,atr_take_profit_multiplier,telemetry_path,status,cycle_rows,risk_floor_applied_count,avg_model_risk_pct,max_model_risk_pct,avg_clipped_risk_pct,max_clipped_risk_pct,avg_computed_lot,max_computed_lot,avg_executed_lot,max_executed_lot,max_actual_risk_pct_after_floor,avg_actual_risk_pct_after_floor,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket,telemetry_sha256
s254_stage252_control_ta_val,s254_stage252_control,validation_is,Tier A,tier_a_only,True,True,2.0325,4.615,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s254a/run254A/s254_stage252_control/telemetry/s254_stage252_control_ta_val_telemetry.csv,completed,9844,0,0.0007121012851,0.0305,0.0007121012851,0.0305,0.01005513127,1.817560039,0.009917716375,1.81,0.0304859339,0.0006971865763,3634.39774,7386.913407,16772.74557,mid,de228552fea36a62a56f79fdd75b5cada03b5c70911a0cce8e2f05c64435984e
s254_stage252_control_rt_val,s254_stage252_control,validation_is,Tier A+B,actual_routed_total,True,True,2.0325,4.615,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s254a/run254A/s254_stage252_control/telemetry/s254_stage252_control_rt_val_telemetry.csv,completed,9844,0,0.0007121012851,0.0305,0.0007121012851,0.0305,0.01005513127,1.817560039,0.009917716375,1.81,0.0304859339,0.0006971865763,3634.39774,7386.913407,16772.74557,mid,de228552fea36a62a56f79fdd75b5cada03b5c70911a0cce8e2f05c64435984e
s254_stage252_control_ta_oos,s254_stage252_control,oos,Tier A,tier_a_only,True,True,2.0325,4.615,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s254a/run254A/s254_stage252_control/telemetry/s254_stage252_control_ta_oos_telemetry.csv,completed,7584,0,0.0006710100117,0.0305,0.0006710100117,0.0305,0.006699240274,0.6169953662,0.006565137131,0.61,0.0303072839,0.0006546460061,3903.364499,7933.588343,18014.02716,mid,aa28ba6fa13b715d6069cc0cea478ba2d28bbb675771b430a22ab87c2fae8c24
s254_stage252_control_rt_oos,s254_stage252_control,oos,Tier A+B,actual_routed_total,True,True,2.0325,4.615,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s254a/run254A/s254_stage252_control/telemetry/s254_stage252_control_rt_oos_telemetry.csv,completed,7584,0,0.0006710100117,0.0305,0.0006710100117,0.0305,0.006699240274,0.6169953662,0.006565137131,0.61,0.0303072839,0.0006546460061,3903.364499,7933.588343,18014.02716,mid,aa28ba6fa13b715d6069cc0cea478ba2d28bbb675771b430a22ab87c2fae8c24
s254_hold4_ta_val,s254_hold4,validation_is,Tier A,tier_a_only,True,True,2.0325,4.615,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s254a/run254A/s254_hold4/telemetry/s254_hold4_ta_val_telemetry.csv,completed,9844,0,0.0007121012851,0.0305,0.0007121012851,0.0305,0.009264955815,1.584639298,0.00912027631,1.58,0.0304411574,0.0006951089428,3634.39774,7386.913407,16772.74557,mid,4fedca1b3d7bfafb898f09cfc7b7d91654a1984e9a18c67717ca87a2030ca6b7
s254_hold4_rt_val,s254_hold4,validation_is,Tier A+B,actual_routed_total,True,True,2.0325,4.615,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s254a/run254A/s254_hold4/telemetry/s254_hold4_rt_val_telemetry.csv,completed,9844,0,0.0007121012851,0.0305,0.0007121012851,0.0305,0.009264955815,1.584639298,0.00912027631,1.58,0.0304411574,0.0006951089428,3634.39774,7386.913407,16772.74557,mid,4fedca1b3d7bfafb898f09cfc7b7d91654a1984e9a18c67717ca87a2030ca6b7
s254_hold4_ta_oos,s254_hold4,oos,Tier A,tier_a_only,True,True,2.0325,4.615,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s254a/run254A/s254_hold4/telemetry/s254_hold4_ta_oos_telemetry.csv,completed,7584,0,0.0006710100117,0.0305,0.0006710100117,0.0305,0.005985315647,0.5382589349,0.005857067511,0.53,0.0303501207,0.000653619156,3903.364499,7933.588343,18014.02716,mid,43710a133515d13cd7f4ca1b6b0c0294645f3b833c4a8001e895496d56a9f102
s254_hold4_rt_oos,s254_hold4,oos,Tier A+B,actual_routed_total,True,True,2.0325,4.615,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s254a/run254A/s254_hold4/telemetry/s254_hold4_rt_oos_telemetry.csv,completed,7584,0,0.0006710100117,0.0305,0.0006710100117,0.0305,0.005985315647,0.5382589349,0.005857067511,0.53,0.0303501207,0.000653619156,3903.364499,7933.588343,18014.02716,mid,43710a133515d13cd7f4ca1b6b0c0294645f3b833c4a8001e895496d56a9f102
s254_hold5_ta_val,s254_hold5,validation_is,Tier A,tier_a_only,True,True,2.0325,4.615,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s254a/run254A/s254_hold5/telemetry/s254_hold5_ta_val_telemetry.csv,completed,9844,0,0.0007121012851,0.0305,0.0007121012851,0.0305,0.01017902941,1.776468879,0.01003555465,1.77,0.0304525657,0.0006961453613,3634.39774,7386.913407,16772.74557,mid,2bd1ef425eff9ba9282d93788d1ef62d144175e235939f779550fa46a2caa30d
s254_hold5_rt_val,s254_hold5,validation_is,Tier A+B,actual_routed_total,True,True,2.0325,4.615,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s254a/run254A/s254_hold5/telemetry/s254_hold5_rt_val_telemetry.csv,completed,9844,0,0.0007121012851,0.0305,0.0007121012851,0.0305,0.01017902941,1.776468879,0.01003555465,1.77,0.0304525657,0.0006961453613,3634.39774,7386.913407,16772.74557,mid,2bd1ef425eff9ba9282d93788d1ef62d144175e235939f779550fa46a2caa30d
