ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1__mt5_tier_a_only_s254_stage252_control_validation_is,254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain,run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,mt5_tier_a_only_s254_stage252_control_validation_is,run253A_stage253_stage252_asymmetric_binding_followup_review_v1,mt5_tier_a_only_s254_stage252_control_validation_is,Tier A,trading_risk_execution,baseline_adapter_stage254_nonbinding_lifecycle_repair,completed,open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/mt5/reports/Project_Obsidian_Prime_v2_run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1_s254_stage252_control_ta_val.htm,net_profit=972.15;pf=1.59;expectancy=3.61;trades=269;win_rate=55.02;decision=open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_nonbinding_lifecycle_repair_after_binding_axis_no_gain,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=146.22;recovery=6.65;fill=471;reject=0;skip=42964;subtypes=NA;next_stage=255_adapter_research__stage254_nonbinding_source_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1__mt5_routed_s254_stage252_control_validation_is,254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain,run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,mt5_routed_s254_stage252_control_validation_is,run253A_stage253_stage252_asymmetric_binding_followup_review_v1,mt5_routed_s254_stage252_control_validation_is,Tier A+B,trading_risk_execution,baseline_adapter_stage254_nonbinding_lifecycle_repair,completed,open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/mt5/reports/Project_Obsidian_Prime_v2_run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1_s254_stage252_control_rt_val.htm,net_profit=972.15;pf=1.59;expectancy=3.61;trades=269;win_rate=55.02;decision=open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_nonbinding_lifecycle_repair_after_binding_axis_no_gain,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=146.22;recovery=6.65;fill=471;reject=0;skip=42964;next_stage=255_adapter_research__stage254_nonbinding_source_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1__mt5_tier_a_only_s254_stage252_control_oos,254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain,run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,mt5_tier_a_only_s254_stage252_control_oos,run253A_stage253_stage252_asymmetric_binding_followup_review_v1,mt5_tier_a_only_s254_stage252_control_oos,Tier A,trading_risk_execution,baseline_adapter_stage254_nonbinding_lifecycle_repair,completed,open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/mt5/reports/Project_Obsidian_Prime_v2_run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1_s254_stage252_control_ta_oos.htm,net_profit=776.02;pf=1.78;expectancy=3.98;trades=195;win_rate=56.41;decision=open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_nonbinding_lifecycle_repair_after_binding_axis_no_gain,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=107.36;recovery=7.23;fill=344;reject=0;skip=29753;subtypes=NA;next_stage=255_adapter_research__stage254_nonbinding_source_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1__mt5_routed_s254_stage252_control_oos,254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain,run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,mt5_routed_s254_stage252_control_oos,run253A_stage253_stage252_asymmetric_binding_followup_review_v1,mt5_routed_s254_stage252_control_oos,Tier A+B,trading_risk_execution,baseline_adapter_stage254_nonbinding_lifecycle_repair,completed,open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/mt5/reports/Project_Obsidian_Prime_v2_run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1_s254_stage252_control_rt_oos.htm,net_profit=776.02;pf=1.78;expectancy=3.98;trades=195;win_rate=56.41;decision=open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_nonbinding_lifecycle_repair_after_binding_axis_no_gain,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=107.36;recovery=7.23;fill=344;reject=0;skip=29753;next_stage=255_adapter_research__stage254_nonbinding_source_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1__mt5_tier_a_only_s254_hold4_validation_is,254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain,run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,mt5_tier_a_only_s254_hold4_validation_is,run253A_stage253_stage252_asymmetric_binding_followup_review_v1,mt5_tier_a_only_s254_hold4_validation_is,Tier A,trading_risk_execution,baseline_adapter_stage254_nonbinding_lifecycle_repair,completed,open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/mt5/reports/Project_Obsidian_Prime_v2_run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1_s254_hold4_ta_val.htm,net_profit=776.25;pf=1.47;expectancy=2.92;trades=266;win_rate=52.26;decision=open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_nonbinding_lifecycle_repair_after_binding_axis_no_gain,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=174.02;recovery=4.46;fill=455;reject=0;skip=42964;subtypes=NA;next_stage=255_adapter_research__stage254_nonbinding_source_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1__mt5_routed_s254_hold4_validation_is,254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain,run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,mt5_routed_s254_hold4_validation_is,run253A_stage253_stage252_asymmetric_binding_followup_review_v1,mt5_routed_s254_hold4_validation_is,Tier A+B,trading_risk_execution,baseline_adapter_stage254_nonbinding_lifecycle_repair,completed,open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/mt5/reports/Project_Obsidian_Prime_v2_run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1_s254_hold4_rt_val.htm,net_profit=776.25;pf=1.47;expectancy=2.92;trades=266;win_rate=52.26;decision=open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_nonbinding_lifecycle_repair_after_binding_axis_no_gain,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=174.02;recovery=4.46;fill=455;reject=0;skip=42964;next_stage=255_adapter_research__stage254_nonbinding_source_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1__mt5_tier_a_only_s254_hold4_oos,254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain,run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,mt5_tier_a_only_s254_hold4_oos,run253A_stage253_stage252_asymmetric_binding_followup_review_v1,mt5_tier_a_only_s254_hold4_oos,Tier A,trading_risk_execution,baseline_adapter_stage254_nonbinding_lifecycle_repair,completed,open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/mt5/reports/Project_Obsidian_Prime_v2_run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1_s254_hold4_ta_oos.htm,net_profit=691.52;pf=1.71;expectancy=3.6;trades=192;win_rate=58.33;decision=open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_nonbinding_lifecycle_repair_after_binding_axis_no_gain,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=101.55;recovery=6.81;fill=329;reject=0;skip=29753;subtypes=NA;next_stage=255_adapter_research__stage254_nonbinding_source_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1__mt5_routed_s254_hold4_oos,254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain,run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,mt5_routed_s254_hold4_oos,run253A_stage253_stage252_asymmetric_binding_followup_review_v1,mt5_routed_s254_hold4_oos,Tier A+B,trading_risk_execution,baseline_adapter_stage254_nonbinding_lifecycle_repair,completed,open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/mt5/reports/Project_Obsidian_Prime_v2_run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1_s254_hold4_rt_oos.htm,net_profit=691.52;pf=1.71;expectancy=3.6;trades=192;win_rate=58.33;decision=open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_nonbinding_lifecycle_repair_after_binding_axis_no_gain,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=101.55;recovery=6.81;fill=329;reject=0;skip=29753;next_stage=255_adapter_research__stage254_nonbinding_source_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1__mt5_tier_a_only_s254_hold5_validation_is,254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain,run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,mt5_tier_a_only_s254_hold5_validation_is,run253A_stage253_stage252_asymmetric_binding_followup_review_v1,mt5_tier_a_only_s254_hold5_validation_is,Tier A,trading_risk_execution,baseline_adapter_stage254_nonbinding_lifecycle_repair,completed,open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/mt5/reports/Project_Obsidian_Prime_v2_run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1_s254_hold5_ta_val.htm,net_profit=937.95;pf=1.49;expectancy=3.54;trades=265;win_rate=52.08;decision=open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_nonbinding_lifecycle_repair_after_binding_axis_no_gain,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=226.04;recovery=4.15;fill=445;reject=0;skip=42964;subtypes=NA;next_stage=255_adapter_research__stage254_nonbinding_source_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Tier A only standalone MT5 tester run.
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1__mt5_routed_s254_hold5_validation_is,254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain,run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,mt5_routed_s254_hold5_validation_is,run253A_stage253_stage252_asymmetric_binding_followup_review_v1,mt5_routed_s254_hold5_validation_is,Tier A+B,trading_risk_execution,baseline_adapter_stage254_nonbinding_lifecycle_repair,completed,open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/mt5/reports/Project_Obsidian_Prime_v2_run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1_s254_hold5_rt_val.htm,net_profit=937.95;pf=1.49;expectancy=3.54;trades=265;win_rate=52.08;decision=open_stage255_bounded_followup_due_to_nonbinding_lifecycle_no_gain_candidate_not_final;external_status=completed;variant_count=5;target_surface=legacy_34d_kpi_lesson_only_v2_native_nonbinding_lifecycle_repair_after_binding_axis_no_gain,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=226.04;recovery=4.15;fill=445;reject=0;skip=42964;next_stage=255_adapter_research__stage254_nonbinding_source_followup_review;boundary=research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment;overall_goal_complete=0,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
