run_id,adapter_id,split,status,report_path,initial_balance,final_balance,net_profit,closed_trade_count,profit_factor,legacy_34d_pf,legacy_34d_dd_percent,max_drawdown_amount,max_drawdown_percent,report_balance_drawdown_maximal,report_equity_drawdown_maximal,report_balance_drawdown_relative,report_equity_drawdown_relative,late_net_share,weak_segments,split_quality_flag
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_stage254_control,validation_is,completed,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/mt5/reports/Project_Obsidian_Prime_v2_run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1_s256_stage254_control_rt_val.htm,500,1472.15,972.15,269,1.586973,1.583157,12.909136,134.15,12.9281,134.15 (12.93%),146.22 (14.01%),12.93% (134.15),14.01% (146.22),0.4621,mid,validation_dd_above_34d;validation_segment_pf_below_34d
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_stage254_control,oos,completed,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/mt5/reports/Project_Obsidian_Prime_v2_run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1_s256_stage254_control_rt_oos.htm,500,1276.02,776.02,195,1.775973,1.583157,12.909136,95.37,9.5066,95.37 (9.51%),107.36 (10.66%),12.23% (70.03),14.13% (81.69),0.4163,,acceptable_measurement_only
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_long_session_relax,validation_is,completed,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/mt5/reports/Project_Obsidian_Prime_v2_run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1_s256_long_session_relax_rt_val.htm,500,1543.74,1043.74,287,1.578756,1.583157,12.909136,129.64,11.8575,129.64 (11.86%),150.11 (9.08%),11.86% (129.64),12.48% (137.30),0.4765,mid,validation_segment_pf_below_34d
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_long_session_relax,oos,completed,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/mt5/reports/Project_Obsidian_Prime_v2_run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1_s256_long_session_relax_rt_oos.htm,500,1170.98,670.98,209,1.646491,1.583157,12.909136,110.32,11.7316,110.32 (11.73%),118.14 (12.51%),12.39% (91.49),14.74% (111.20),0.4589,mid,acceptable_measurement_only
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_margin_relax,validation_is,completed,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/mt5/reports/Project_Obsidian_Prime_v2_run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1_s256_short_margin_relax_rt_val.htm,500,1094.2,594.2,353,1.253707,1.583157,12.909136,132.37,11.8876,132.37 (11.89%),149.32 (13.36%),14.23% (108.40),17.89% (141.48),0.4083,early;mid;late,validation_segment_pf_below_34d
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_margin_relax,oos,completed,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/mt5/reports/Project_Obsidian_Prime_v2_run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1_s256_short_margin_relax_rt_oos.htm,500,1456.46,956.46,257,1.52273,1.583157,12.909136,198.55,15.7578,198.55 (15.76%),208.83 (16.51%),15.86% (112.36),17.82% (127.66),0.3015,late,oos_pf_below_34d;oos_dd_above_34d
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_session_relax,validation_is,completed,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/mt5/reports/Project_Obsidian_Prime_v2_run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1_s256_short_session_relax_rt_val.htm,500,1493.12,993.12,339,1.509381,1.583157,12.909136,143.86,14.352,143.86 (14.35%),154.56 (10.93%),16.74% (122.91),16.93% (124.58),0.4885,early;mid;late,validation_dd_above_34d;validation_segment_pf_below_34d
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_session_relax,oos,completed,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/mt5/reports/Project_Obsidian_Prime_v2_run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1_s256_short_session_relax_rt_oos.htm,500,1081.18,581.18,241,1.555207,1.583157,12.909136,97.72,14.3278,97.72 (14.33%),111.66 (16.10%),14.33% (97.72),16.10% (111.66),0.4545,early;mid,oos_pf_below_34d;oos_dd_above_34d
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_tight_margin,validation_is,completed,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/mt5/reports/Project_Obsidian_Prime_v2_run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1_s256_short_tight_margin_rt_val.htm,500,1543.99,1043.99,304,1.475804,1.583157,12.909136,141.12,9.0087,141.12 (9.01%),150.93 (9.60%),12.76% (89.25),12.98% (91.00),0.4206,early;mid;late,validation_segment_pf_below_34d
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_tight_margin,oos,completed,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/mt5/reports/Project_Obsidian_Prime_v2_run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1_s256_short_tight_margin_rt_oos.htm,500,1450.22,950.22,222,1.690908,1.583157,12.909136,139.49,11.8815,139.49 (11.88%),153.31 (13.01%),13.81% (80.64),15.78% (93.26),0.3521,late,acceptable_measurement_only
