run_id,adapter_id,split,top1_winner,top1_winner_share_of_net,top3_winner_share_of_net,top5_winner_share_of_net,worst_loss,worst_loss_share_of_net_abs,last_quarter_net,last_quarter_net_share
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_highedge_control,validation_is,97.3,0.0808,0.2313,0.3735,-55.39,0.046,439.69,0.3651
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_highedge_control,oos,83.57,0.1008,0.2659,0.4152,-34.2,0.0413,291.52,0.3517
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_lowrank_lowedge_filter,validation_is,99.82,0.0773,0.2212,0.3565,-58.65,0.0454,458.67,0.3552
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_lowrank_lowedge_filter,oos,79.86,0.1029,0.2696,0.4232,-32.8,0.0423,280.37,0.3613
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_midlow_lowedge_filter,validation_is,87.22,0.0897,0.2514,0.3983,-48.88,0.0503,368.5,0.3791
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_midlow_lowedge_filter,oos,78,0.1005,0.2626,0.411,-31.68,0.0408,320.12,0.4125
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_vhigh_highedge_relax,validation_is,97.3,0.0808,0.2313,0.3735,-55.39,0.046,439.69,0.3651
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_vhigh_highedge_relax,oos,83.57,0.1008,0.2659,0.4152,-34.2,0.0413,291.52,0.3517
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_lowrank_filter_vhigh_relax,validation_is,99.82,0.0773,0.2212,0.3565,-58.65,0.0454,458.67,0.3552
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_lowrank_filter_vhigh_relax,oos,79.86,0.1029,0.2696,0.4232,-32.8,0.0423,280.37,0.3613
