plan_id,queue_id,priority,workstream,candidate_id,candidate_alias,candidate_role,profile_label,profile_token,attempt_name,source_feature_file,source_model_file,source_feature_order,source_feature_order_hash,rank_column,gate_column,source_rows,engineered_features,source_limitation,materialization_decision,tier_pair_boundary,claim_boundary
run267bs_01_s264_aih_dir_asym,run267bs_q01_pool_wide_directional_asymmetry,P0,pool_wide_directional_asymmetry,s264_allow_inner_high_quarter,s264_aih,challenger_core,directional_asymmetry,dir_asym,run267bs_01_s264_aih_dir_asym_ta24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s264_aih_model.csv,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,stage264_source_feature_rank_bucket,stage264_source_feature_gate_allow_inner_high_quarter,11651,stage267bs_short_side_rank_pressure_score;stage267bs_long_side_rank_pressure_score,2024_cached_compact_rank_gate_context_frame; raw_ATR_return_features_not_available_in_this_materialization,materialize_tier_a_2024_execution_inputs,Tier_A_2024_cached_stress_materialized; Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bs_02_s264_lc_dir_asym,run267bs_q01_pool_wide_directional_asymmetry,P0,pool_wide_directional_asymmetry,s264_lowrank_control,s264_lc,defensive_control,directional_asymmetry,dir_asym,run267bs_02_s264_lc_dir_asym_ta24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_lc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s264_lc_model.csv,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,stage264_source_feature_rank_bucket,stage264_source_feature_gate_lowrank_control,11651,stage267bs_short_side_rank_pressure_score;stage267bs_long_side_rank_pressure_score,2024_cached_compact_rank_gate_context_frame; raw_ATR_return_features_not_available_in_this_materialization,materialize_tier_a_2024_execution_inputs,Tier_A_2024_cached_stress_materialized; Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bs_03_s262_lih_dir_asym,run267bs_q01_pool_wide_directional_asymmetry,P0,pool_wide_directional_asymmetry,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,directional_asymmetry,dir_asym,run267bs_03_s262_lih_dir_asym_ta24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s262_lih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s262_lih_model.csv,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,stage262_source_feature_rank_bucket,stage262_source_feature_gate_lowrank_inner_half_filter,11651,stage267bs_short_side_rank_pressure_score;stage267bs_long_side_rank_pressure_score,2024_cached_compact_rank_gate_context_frame; raw_ATR_return_features_not_available_in_this_materialization,materialize_tier_a_2024_execution_inputs,Tier_A_2024_cached_stress_materialized; Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bs_04_s264_aia_dir_asym,run267bs_q01_pool_wide_directional_asymmetry,P0,pool_wide_directional_asymmetry,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,directional_asymmetry,dir_asym,run267bs_04_s264_aia_dir_asym_ta24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aia.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s264_aia_model.csv,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor,7647698b6fb69ce378e689021a9ffa86d076e6083ed493d66159b75799582469,stage264_source_feature_rank_bucket,stage264_source_feature_gate_allow_inner_all_oos_anchor,11651,stage267bs_short_side_rank_pressure_score;stage267bs_long_side_rank_pressure_score,2024_cached_compact_rank_gate_context_frame; raw_ATR_return_features_not_available_in_this_materialization,materialize_tier_a_2024_execution_inputs,Tier_A_2024_cached_stress_materialized; Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bs_05_s258_stc_dir_asym,run267bs_q01_pool_wide_directional_asymmetry,P0,pool_wide_directional_asymmetry,s258_short_tight_control,s258_stc,stress_challenger,directional_asymmetry,dir_asym,run267bs_05_s258_stc_dir_asym_ta24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s258_stc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s258_stc_model.csv,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control,d236bdaee097504348693024cb9d469fa84f770a110e737e9670568b296d9c37,stage258_source_feature_rank_bucket,stage258_source_feature_gate_short_tight_control,11651,stage267bs_short_side_rank_pressure_score;stage267bs_long_side_rank_pressure_score,2024_cached_compact_rank_gate_context_frame; raw_ATR_return_features_not_available_in_this_materialization,materialize_tier_a_2024_execution_inputs,Tier_A_2024_cached_stress_materialized; Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bs_06_s264_aih_impulse_repl,run267bs_q02_aggressive_impulse_replacement,P0,aggressive_impulse_replacement,s264_allow_inner_high_quarter,s264_aih,challenger_core,aggressive_impulse_replacement,impulse_repl,run267bs_06_s264_aih_impulse_repl_ta24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s264_aih_model.csv,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,stage264_source_feature_rank_bucket,stage264_source_feature_gate_allow_inner_high_quarter,11651,stage267bs_impulse_replacement_score,2024_cached_compact_rank_gate_context_frame; raw_ATR_return_features_not_available_in_this_materialization,materialize_tier_a_2024_execution_inputs,Tier_A_2024_cached_stress_materialized; Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bs_07_s264_lc_impulse_repl,run267bs_q02_aggressive_impulse_replacement,P0,aggressive_impulse_replacement,s264_lowrank_control,s264_lc,defensive_control,aggressive_impulse_replacement,impulse_repl,run267bs_07_s264_lc_impulse_repl_ta24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_lc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s264_lc_model.csv,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,stage264_source_feature_rank_bucket,stage264_source_feature_gate_lowrank_control,11651,stage267bs_impulse_replacement_score,2024_cached_compact_rank_gate_context_frame; raw_ATR_return_features_not_available_in_this_materialization,materialize_tier_a_2024_execution_inputs,Tier_A_2024_cached_stress_materialized; Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bs_08_s262_lih_impulse_repl,run267bs_q02_aggressive_impulse_replacement,P0,aggressive_impulse_replacement,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,aggressive_impulse_replacement,impulse_repl,run267bs_08_s262_lih_impulse_repl_ta24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s262_lih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s262_lih_model.csv,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,stage262_source_feature_rank_bucket,stage262_source_feature_gate_lowrank_inner_half_filter,11651,stage267bs_impulse_replacement_score,2024_cached_compact_rank_gate_context_frame; raw_ATR_return_features_not_available_in_this_materialization,materialize_tier_a_2024_execution_inputs,Tier_A_2024_cached_stress_materialized; Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bs_09_s264_aia_impulse_repl,run267bs_q02_aggressive_impulse_replacement,P0,aggressive_impulse_replacement,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,aggressive_impulse_replacement,impulse_repl,run267bs_09_s264_aia_impulse_repl_ta24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aia.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s264_aia_model.csv,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor,7647698b6fb69ce378e689021a9ffa86d076e6083ed493d66159b75799582469,stage264_source_feature_rank_bucket,stage264_source_feature_gate_allow_inner_all_oos_anchor,11651,stage267bs_impulse_replacement_score,2024_cached_compact_rank_gate_context_frame; raw_ATR_return_features_not_available_in_this_materialization,materialize_tier_a_2024_execution_inputs,Tier_A_2024_cached_stress_materialized; Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bs_10_s258_stc_impulse_repl,run267bs_q02_aggressive_impulse_replacement,P0,aggressive_impulse_replacement,s258_short_tight_control,s258_stc,stress_challenger,aggressive_impulse_replacement,impulse_repl,run267bs_10_s258_stc_impulse_repl_ta24,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s258_stc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s258_stc_model.csv,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control,d236bdaee097504348693024cb9d469fa84f770a110e737e9670568b296d9c37,stage258_source_feature_rank_bucket,stage258_source_feature_gate_short_tight_control,11651,stage267bs_impulse_replacement_score,2024_cached_compact_rank_gate_context_frame; raw_ATR_return_features_not_available_in_this_materialization,materialize_tier_a_2024_execution_inputs,Tier_A_2024_cached_stress_materialized; Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
