attempt_name,candidate_id,candidate_alias,tester_status,runtime_status,report_status,terminal,symbol,timeframe,deposit,leverage,model,execution_mode,from_date,to_date,ea,set_path,set_sha256,model_path,feature_path,feature_order_hash,magic,fixed_lot,atr_enabled,model_risk_enabled,report_path,report_sha256,chart_path,net_profit,profit_factor,trade_count,max_drawdown_percent,module_hashes
s264_aih_julyblk_ta_2024,s264_allow_inner_high_quarter,s264_aih,completed,completed,completed,C:/Program Files/MetaTrader 5/terminal64.exe,US100,M5,500,1:100,4,0,2024.01.02,2025.01.01,Project_Obsidian_Prime_v2\foundation\mt5\ObsidianPrimeV2_RuntimeProbeEA.ex5,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/s264_aih_julyblk_ta_2024.set,d2d3a2eb8fa560ecc67bd37edbd02d594192a74e2e181dd15df2276838d4b104,OPV2/s267c/run267C_p0/julyblk/s264_aih/models/s264_aih_julyblk_model.csv,OPV2/s267c/run267C_p0/julyblk/s264_aih/features/s264_aih_julyblk.csv,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,26731101,0.25,true,true,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s264_aih_julyblk_ta_2024.htm,0cbc0319c40118caa790c6683bb81163f2c3495d37d915ef16970547f383754b,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s264_aih_julyblk_ta_2024.png,217.51,1.12,317,25.9,foundation/mt5/ObsidianPrimeV2_RuntimeProbeEA.mq5=8052a066c6bb961354e7231bf8aab83fe8277d1396343ca86bf1309809c62c19;foundation/mt5/include/ObsidianPrime/DecisionSurface.mqh=f1ec27d4078f98c26e018aa9c62b9aac1cb6f2b99abf6bf211aac8ba5ee6708a;foundation/mt5/include/ObsidianPrime/EbmTableRuntime.mqh=825b0e289e62c6495fb6af52c1c370a715835bd313dfa2e615375db561389df1;foundation/mt5/include/ObsidianPrime/ExecutionBridge.mqh=6d05002d599692b77ff53327e4b8bc938ec7956d0ca1e6237e094d2a21a58560;foundation/mt5/include/ObsidianPrime/FeatureInputs.mqh=4a6da19b719c01d5134e829fd7f0aa99d94c4564d70ded16bccc20ed4baf72b8;foundation/mt5/include/ObsidianPrime/ModelRuntime.mqh=cf1032c866501f142ecb2372fe7e6d14eb711eafcf8d908dcb8f4226403b281f;foundation/mt5/include/ObsidianPrime/RuntimeTelemetry.mqh=b9ecadfde682d071e663721c3e761c633b8e525484554e0ceb432e110c6ea6a7
s264_aih_julyblk_rt_2024,s264_allow_inner_high_quarter,s264_aih,completed,completed,completed,C:/Program Files/MetaTrader 5/terminal64.exe,US100,M5,500,1:100,4,0,2024.01.02,2025.01.01,Project_Obsidian_Prime_v2\foundation\mt5\ObsidianPrimeV2_RuntimeProbeEA.ex5,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/s264_aih_julyblk_rt_2024.set,674e909f62a846da10cd80f79035ed92ca83f51e46b5bf2389446f0a04d35711,OPV2/s267c/run267C_p0/julyblk/s264_aih/models/s264_aih_julyblk_model.csv,OPV2/s267c/run267C_p0/julyblk/s264_aih/features/s264_aih_julyblk.csv,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,26731102,0.25,true,true,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s264_aih_julyblk_rt_2024.htm,220b1787137b674fa473fb1441c093f1f626a92f29bbb2ec048ff87bf85acfb1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s264_aih_julyblk_rt_2024.png,217.51,1.12,317,25.9,foundation/mt5/ObsidianPrimeV2_RuntimeProbeEA.mq5=8052a066c6bb961354e7231bf8aab83fe8277d1396343ca86bf1309809c62c19;foundation/mt5/include/ObsidianPrime/DecisionSurface.mqh=f1ec27d4078f98c26e018aa9c62b9aac1cb6f2b99abf6bf211aac8ba5ee6708a;foundation/mt5/include/ObsidianPrime/EbmTableRuntime.mqh=825b0e289e62c6495fb6af52c1c370a715835bd313dfa2e615375db561389df1;foundation/mt5/include/ObsidianPrime/ExecutionBridge.mqh=6d05002d599692b77ff53327e4b8bc938ec7956d0ca1e6237e094d2a21a58560;foundation/mt5/include/ObsidianPrime/FeatureInputs.mqh=4a6da19b719c01d5134e829fd7f0aa99d94c4564d70ded16bccc20ed4baf72b8;foundation/mt5/include/ObsidianPrime/ModelRuntime.mqh=cf1032c866501f142ecb2372fe7e6d14eb711eafcf8d908dcb8f4226403b281f;foundation/mt5/include/ObsidianPrime/RuntimeTelemetry.mqh=b9ecadfde682d071e663721c3e761c633b8e525484554e0ceb432e110c6ea6a7
s264_lc_julyblk_ta_2024,s264_lowrank_control,s264_lc,completed,completed,completed,C:/Program Files/MetaTrader 5/terminal64.exe,US100,M5,500,1:100,4,0,2024.01.02,2025.01.01,Project_Obsidian_Prime_v2\foundation\mt5\ObsidianPrimeV2_RuntimeProbeEA.ex5,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/s264_lc_julyblk_ta_2024.set,70a4b07451360109e1cebc7d7c3d34a79ee4877d533c46473e5d008cbafc79c0,OPV2/s267c/run267C_p0/julyblk/s264_lc/models/s264_lc_julyblk_model.csv,OPV2/s267c/run267C_p0/julyblk/s264_lc/features/s264_lc_julyblk.csv,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,26731201,0.25,true,true,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s264_lc_julyblk_ta_2024.htm,24dc48e600da7401d0842ec8c488398ff51a620678ec0de061f284c08b4bbef6,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s264_lc_julyblk_ta_2024.png,188.34,1.11,314,26.12,foundation/mt5/ObsidianPrimeV2_RuntimeProbeEA.mq5=8052a066c6bb961354e7231bf8aab83fe8277d1396343ca86bf1309809c62c19;foundation/mt5/include/ObsidianPrime/DecisionSurface.mqh=f1ec27d4078f98c26e018aa9c62b9aac1cb6f2b99abf6bf211aac8ba5ee6708a;foundation/mt5/include/ObsidianPrime/EbmTableRuntime.mqh=825b0e289e62c6495fb6af52c1c370a715835bd313dfa2e615375db561389df1;foundation/mt5/include/ObsidianPrime/ExecutionBridge.mqh=6d05002d599692b77ff53327e4b8bc938ec7956d0ca1e6237e094d2a21a58560;foundation/mt5/include/ObsidianPrime/FeatureInputs.mqh=4a6da19b719c01d5134e829fd7f0aa99d94c4564d70ded16bccc20ed4baf72b8;foundation/mt5/include/ObsidianPrime/ModelRuntime.mqh=cf1032c866501f142ecb2372fe7e6d14eb711eafcf8d908dcb8f4226403b281f;foundation/mt5/include/ObsidianPrime/RuntimeTelemetry.mqh=b9ecadfde682d071e663721c3e761c633b8e525484554e0ceb432e110c6ea6a7
s264_lc_julyblk_rt_2024,s264_lowrank_control,s264_lc,completed,completed,completed,C:/Program Files/MetaTrader 5/terminal64.exe,US100,M5,500,1:100,4,0,2024.01.02,2025.01.01,Project_Obsidian_Prime_v2\foundation\mt5\ObsidianPrimeV2_RuntimeProbeEA.ex5,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/s264_lc_julyblk_rt_2024.set,9480f78537b12d0343d7dca7eb816c05ac9a7739dfb4c414d18dba891f331b85,OPV2/s267c/run267C_p0/julyblk/s264_lc/models/s264_lc_julyblk_model.csv,OPV2/s267c/run267C_p0/julyblk/s264_lc/features/s264_lc_julyblk.csv,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,26731202,0.25,true,true,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s264_lc_julyblk_rt_2024.htm,8d3a5e6cf4a31f11538dada79d98c22ad62c1bf81b73388de5f1857497fde434,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s264_lc_julyblk_rt_2024.png,188.34,1.11,314,26.12,foundation/mt5/ObsidianPrimeV2_RuntimeProbeEA.mq5=8052a066c6bb961354e7231bf8aab83fe8277d1396343ca86bf1309809c62c19;foundation/mt5/include/ObsidianPrime/DecisionSurface.mqh=f1ec27d4078f98c26e018aa9c62b9aac1cb6f2b99abf6bf211aac8ba5ee6708a;foundation/mt5/include/ObsidianPrime/EbmTableRuntime.mqh=825b0e289e62c6495fb6af52c1c370a715835bd313dfa2e615375db561389df1;foundation/mt5/include/ObsidianPrime/ExecutionBridge.mqh=6d05002d599692b77ff53327e4b8bc938ec7956d0ca1e6237e094d2a21a58560;foundation/mt5/include/ObsidianPrime/FeatureInputs.mqh=4a6da19b719c01d5134e829fd7f0aa99d94c4564d70ded16bccc20ed4baf72b8;foundation/mt5/include/ObsidianPrime/ModelRuntime.mqh=cf1032c866501f142ecb2372fe7e6d14eb711eafcf8d908dcb8f4226403b281f;foundation/mt5/include/ObsidianPrime/RuntimeTelemetry.mqh=b9ecadfde682d071e663721c3e761c633b8e525484554e0ceb432e110c6ea6a7
s262_lih_julyblk_ta_2024,s262_lowrank_inner_half_filter,s262_lih,completed,completed,completed,C:/Program Files/MetaTrader 5/terminal64.exe,US100,M5,500,1:100,4,0,2024.01.02,2025.01.01,Project_Obsidian_Prime_v2\foundation\mt5\ObsidianPrimeV2_RuntimeProbeEA.ex5,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/s262_lih_julyblk_ta_2024.set,02d6ac17953758e7b4915dd739cffd5029272ca39195c4f784ddff1ebf74862b,OPV2/s267c/run267C_p0/julyblk/s262_lih/models/s262_lih_julyblk_model.csv,OPV2/s267c/run267C_p0/julyblk/s262_lih/features/s262_lih_julyblk.csv,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,26731301,0.25,true,true,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s262_lih_julyblk_ta_2024.htm,1196371910d8503c145b003b587f4709ecaa369d26491651233c40591a8adf5a,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s262_lih_julyblk_ta_2024.png,173.52,1.1,315,27.71,foundation/mt5/ObsidianPrimeV2_RuntimeProbeEA.mq5=8052a066c6bb961354e7231bf8aab83fe8277d1396343ca86bf1309809c62c19;foundation/mt5/include/ObsidianPrime/DecisionSurface.mqh=f1ec27d4078f98c26e018aa9c62b9aac1cb6f2b99abf6bf211aac8ba5ee6708a;foundation/mt5/include/ObsidianPrime/EbmTableRuntime.mqh=825b0e289e62c6495fb6af52c1c370a715835bd313dfa2e615375db561389df1;foundation/mt5/include/ObsidianPrime/ExecutionBridge.mqh=6d05002d599692b77ff53327e4b8bc938ec7956d0ca1e6237e094d2a21a58560;foundation/mt5/include/ObsidianPrime/FeatureInputs.mqh=4a6da19b719c01d5134e829fd7f0aa99d94c4564d70ded16bccc20ed4baf72b8;foundation/mt5/include/ObsidianPrime/ModelRuntime.mqh=cf1032c866501f142ecb2372fe7e6d14eb711eafcf8d908dcb8f4226403b281f;foundation/mt5/include/ObsidianPrime/RuntimeTelemetry.mqh=b9ecadfde682d071e663721c3e761c633b8e525484554e0ceb432e110c6ea6a7
s262_lih_julyblk_rt_2024,s262_lowrank_inner_half_filter,s262_lih,completed,completed,completed,C:/Program Files/MetaTrader 5/terminal64.exe,US100,M5,500,1:100,4,0,2024.01.02,2025.01.01,Project_Obsidian_Prime_v2\foundation\mt5\ObsidianPrimeV2_RuntimeProbeEA.ex5,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/s262_lih_julyblk_rt_2024.set,2fa9bb5c6ec89e60918881bde9030845d5c1a43b17bde07350a98262342af903,OPV2/s267c/run267C_p0/julyblk/s262_lih/models/s262_lih_julyblk_model.csv,OPV2/s267c/run267C_p0/julyblk/s262_lih/features/s262_lih_julyblk.csv,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,26731302,0.25,true,true,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s262_lih_julyblk_rt_2024.htm,ba89bf699923f62eb6323bff01e23a93bca4a2b3c88cbcd07947fb6a1f2e4fb4,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s262_lih_julyblk_rt_2024.png,173.52,1.1,315,27.71,foundation/mt5/ObsidianPrimeV2_RuntimeProbeEA.mq5=8052a066c6bb961354e7231bf8aab83fe8277d1396343ca86bf1309809c62c19;foundation/mt5/include/ObsidianPrime/DecisionSurface.mqh=f1ec27d4078f98c26e018aa9c62b9aac1cb6f2b99abf6bf211aac8ba5ee6708a;foundation/mt5/include/ObsidianPrime/EbmTableRuntime.mqh=825b0e289e62c6495fb6af52c1c370a715835bd313dfa2e615375db561389df1;foundation/mt5/include/ObsidianPrime/ExecutionBridge.mqh=6d05002d599692b77ff53327e4b8bc938ec7956d0ca1e6237e094d2a21a58560;foundation/mt5/include/ObsidianPrime/FeatureInputs.mqh=4a6da19b719c01d5134e829fd7f0aa99d94c4564d70ded16bccc20ed4baf72b8;foundation/mt5/include/ObsidianPrime/ModelRuntime.mqh=cf1032c866501f142ecb2372fe7e6d14eb711eafcf8d908dcb8f4226403b281f;foundation/mt5/include/ObsidianPrime/RuntimeTelemetry.mqh=b9ecadfde682d071e663721c3e761c633b8e525484554e0ceb432e110c6ea6a7
s264_aia_julyblk_ta_2024,s264_allow_inner_all_oos_anchor,s264_aia,completed,completed,completed,C:/Program Files/MetaTrader 5/terminal64.exe,US100,M5,500,1:100,4,0,2024.01.02,2025.01.01,Project_Obsidian_Prime_v2\foundation\mt5\ObsidianPrimeV2_RuntimeProbeEA.ex5,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/s264_aia_julyblk_ta_2024.set,5246c3b82ad68b0519bd04224fc05cc1e0a09787ecbd355920acd326ce58b726,OPV2/s267c/run267C_p0/julyblk/s264_aia/models/s264_aia_julyblk_model.csv,OPV2/s267c/run267C_p0/julyblk/s264_aia/features/s264_aia_julyblk.csv,7647698b6fb69ce378e689021a9ffa86d076e6083ed493d66159b75799582469,26731401,0.25,true,true,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s264_aia_julyblk_ta_2024.htm,35f11152db91bff87e137384b566046cdab6f8cac6359db4dbe1066676a5a328,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s264_aia_julyblk_ta_2024.png,204.16,1.11,318,26.03,foundation/mt5/ObsidianPrimeV2_RuntimeProbeEA.mq5=8052a066c6bb961354e7231bf8aab83fe8277d1396343ca86bf1309809c62c19;foundation/mt5/include/ObsidianPrime/DecisionSurface.mqh=f1ec27d4078f98c26e018aa9c62b9aac1cb6f2b99abf6bf211aac8ba5ee6708a;foundation/mt5/include/ObsidianPrime/EbmTableRuntime.mqh=825b0e289e62c6495fb6af52c1c370a715835bd313dfa2e615375db561389df1;foundation/mt5/include/ObsidianPrime/ExecutionBridge.mqh=6d05002d599692b77ff53327e4b8bc938ec7956d0ca1e6237e094d2a21a58560;foundation/mt5/include/ObsidianPrime/FeatureInputs.mqh=4a6da19b719c01d5134e829fd7f0aa99d94c4564d70ded16bccc20ed4baf72b8;foundation/mt5/include/ObsidianPrime/ModelRuntime.mqh=cf1032c866501f142ecb2372fe7e6d14eb711eafcf8d908dcb8f4226403b281f;foundation/mt5/include/ObsidianPrime/RuntimeTelemetry.mqh=b9ecadfde682d071e663721c3e761c633b8e525484554e0ceb432e110c6ea6a7
s264_aia_julyblk_rt_2024,s264_allow_inner_all_oos_anchor,s264_aia,completed,completed,completed,C:/Program Files/MetaTrader 5/terminal64.exe,US100,M5,500,1:100,4,0,2024.01.02,2025.01.01,Project_Obsidian_Prime_v2\foundation\mt5\ObsidianPrimeV2_RuntimeProbeEA.ex5,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/s264_aia_julyblk_rt_2024.set,df106be643a6b819e60ea11ddb96b40ac0c992a63679d90cca34d60d092e2a56,OPV2/s267c/run267C_p0/julyblk/s264_aia/models/s264_aia_julyblk_model.csv,OPV2/s267c/run267C_p0/julyblk/s264_aia/features/s264_aia_julyblk.csv,7647698b6fb69ce378e689021a9ffa86d076e6083ed493d66159b75799582469,26731402,0.25,true,true,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s264_aia_julyblk_rt_2024.htm,00ecaa21fed73fa292b27f1d148d168cf17fa069efde0e5512cb5c78e7dc33f5,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s264_aia_julyblk_rt_2024.png,204.16,1.11,318,26.03,foundation/mt5/ObsidianPrimeV2_RuntimeProbeEA.mq5=8052a066c6bb961354e7231bf8aab83fe8277d1396343ca86bf1309809c62c19;foundation/mt5/include/ObsidianPrime/DecisionSurface.mqh=f1ec27d4078f98c26e018aa9c62b9aac1cb6f2b99abf6bf211aac8ba5ee6708a;foundation/mt5/include/ObsidianPrime/EbmTableRuntime.mqh=825b0e289e62c6495fb6af52c1c370a715835bd313dfa2e615375db561389df1;foundation/mt5/include/ObsidianPrime/ExecutionBridge.mqh=6d05002d599692b77ff53327e4b8bc938ec7956d0ca1e6237e094d2a21a58560;foundation/mt5/include/ObsidianPrime/FeatureInputs.mqh=4a6da19b719c01d5134e829fd7f0aa99d94c4564d70ded16bccc20ed4baf72b8;foundation/mt5/include/ObsidianPrime/ModelRuntime.mqh=cf1032c866501f142ecb2372fe7e6d14eb711eafcf8d908dcb8f4226403b281f;foundation/mt5/include/ObsidianPrime/RuntimeTelemetry.mqh=b9ecadfde682d071e663721c3e761c633b8e525484554e0ceb432e110c6ea6a7
s258_stc_julyblk_ta_2024,s258_short_tight_control,s258_stc,completed,completed,completed,C:/Program Files/MetaTrader 5/terminal64.exe,US100,M5,500,1:100,4,0,2024.01.02,2025.01.01,Project_Obsidian_Prime_v2\foundation\mt5\ObsidianPrimeV2_RuntimeProbeEA.ex5,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/s258_stc_julyblk_ta_2024.set,a7e77da6cdb75862ab97d990c5e2d6bafb5ec0ea54b45d4ba6ecd34ce55c0d9f,OPV2/s267c/run267C_p0/julyblk/s258_stc/models/s258_stc_julyblk_model.csv,OPV2/s267c/run267C_p0/julyblk/s258_stc/features/s258_stc_julyblk.csv,d236bdaee097504348693024cb9d469fa84f770a110e737e9670568b296d9c37,26731501,0.25,true,true,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s258_stc_julyblk_ta_2024.htm,c1c3aff44f5a3c92b118cab882e36eb4c9ba493a08a88de85d7c8b721ef58c0c,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s258_stc_julyblk_ta_2024.png,281.84,1.13,337,29.72,foundation/mt5/ObsidianPrimeV2_RuntimeProbeEA.mq5=8052a066c6bb961354e7231bf8aab83fe8277d1396343ca86bf1309809c62c19;foundation/mt5/include/ObsidianPrime/DecisionSurface.mqh=f1ec27d4078f98c26e018aa9c62b9aac1cb6f2b99abf6bf211aac8ba5ee6708a;foundation/mt5/include/ObsidianPrime/EbmTableRuntime.mqh=825b0e289e62c6495fb6af52c1c370a715835bd313dfa2e615375db561389df1;foundation/mt5/include/ObsidianPrime/ExecutionBridge.mqh=6d05002d599692b77ff53327e4b8bc938ec7956d0ca1e6237e094d2a21a58560;foundation/mt5/include/ObsidianPrime/FeatureInputs.mqh=4a6da19b719c01d5134e829fd7f0aa99d94c4564d70ded16bccc20ed4baf72b8;foundation/mt5/include/ObsidianPrime/ModelRuntime.mqh=cf1032c866501f142ecb2372fe7e6d14eb711eafcf8d908dcb8f4226403b281f;foundation/mt5/include/ObsidianPrime/RuntimeTelemetry.mqh=b9ecadfde682d071e663721c3e761c633b8e525484554e0ceb432e110c6ea6a7
s258_stc_julyblk_rt_2024,s258_short_tight_control,s258_stc,completed,completed,completed,C:/Program Files/MetaTrader 5/terminal64.exe,US100,M5,500,1:100,4,0,2024.01.02,2025.01.01,Project_Obsidian_Prime_v2\foundation\mt5\ObsidianPrimeV2_RuntimeProbeEA.ex5,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/s258_stc_julyblk_rt_2024.set,5d07e258637d73b633b429b172ac58fb476b0c07b5be6f2368f64ce79e2b3bdb,OPV2/s267c/run267C_p0/julyblk/s258_stc/models/s258_stc_julyblk_model.csv,OPV2/s267c/run267C_p0/julyblk/s258_stc/features/s258_stc_julyblk.csv,d236bdaee097504348693024cb9d469fa84f770a110e737e9670568b296d9c37,26731502,0.25,true,true,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s258_stc_julyblk_rt_2024.htm,a41210c3081fb200f163ca87e235870bd9c27b901ed1683f3668b42e62d31b69,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/mt5/reports/Project_Obsidian_Prime_v2_run267C_stage267_execute_prioritized_ablation_replacement_variants_v1_s258_stc_julyblk_rt_2024.png,281.84,1.13,337,29.72,foundation/mt5/ObsidianPrimeV2_RuntimeProbeEA.mq5=8052a066c6bb961354e7231bf8aab83fe8277d1396343ca86bf1309809c62c19;foundation/mt5/include/ObsidianPrime/DecisionSurface.mqh=f1ec27d4078f98c26e018aa9c62b9aac1cb6f2b99abf6bf211aac8ba5ee6708a;foundation/mt5/include/ObsidianPrime/EbmTableRuntime.mqh=825b0e289e62c6495fb6af52c1c370a715835bd313dfa2e615375db561389df1;foundation/mt5/include/ObsidianPrime/ExecutionBridge.mqh=6d05002d599692b77ff53327e4b8bc938ec7956d0ca1e6237e094d2a21a58560;foundation/mt5/include/ObsidianPrime/FeatureInputs.mqh=4a6da19b719c01d5134e829fd7f0aa99d94c4564d70ded16bccc20ed4baf72b8;foundation/mt5/include/ObsidianPrime/ModelRuntime.mqh=cf1032c866501f142ecb2372fe7e6d14eb711eafcf8d908dcb8f4226403b281f;foundation/mt5/include/ObsidianPrime/RuntimeTelemetry.mqh=b9ecadfde682d071e663721c3e761c633b8e525484554e0ceb432e110c6ea6a7
