attempt_name,record_view,report_path,expected_trade_count,parsed_trade_count,trade_count_delta,parser_status
run267cf_01_s264_aih_loss_shape_proxy_ta_2024,mt5_ta_s264_aih_loss_shape_proxy_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CG_run267cf_01_s264_aih_loss_shape_proxy_ta_2024.htm,194,194,0,matched
run267cf_01_s264_aih_loss_shape_proxy_rt_2024,mt5_rt_s264_aih_loss_shape_proxy_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CG_run267cf_01_s264_aih_loss_shape_proxy_rt_2024.htm,194,194,0,matched
run267cf_02_s264_lc_loss_shape_proxy_ta_2024,mt5_ta_s264_lc_loss_shape_proxy_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CG_run267cf_02_s264_lc_loss_shape_proxy_ta_2024.htm,206,206,0,matched
run267cf_02_s264_lc_loss_shape_proxy_rt_2024,mt5_rt_s264_lc_loss_shape_proxy_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CG_run267cf_02_s264_lc_loss_shape_proxy_rt_2024.htm,206,206,0,matched
run267cf_03_s262_lih_loss_shape_proxy_ta_2024,mt5_ta_s262_lih_loss_shape_proxy_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CG_run267cf_03_s262_lih_loss_shape_proxy_ta_2024.htm,226,226,0,matched
run267cf_03_s262_lih_loss_shape_proxy_rt_2024,mt5_rt_s262_lih_loss_shape_proxy_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CG_run267cf_03_s262_lih_loss_shape_proxy_rt_2024.htm,226,226,0,matched
run267cf_04_s264_aia_loss_shape_proxy_ta_2024,mt5_ta_s264_aia_loss_shape_proxy_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CG_run267cf_04_s264_aia_loss_shape_proxy_ta_2024.htm,194,194,0,matched
run267cf_04_s264_aia_loss_shape_proxy_rt_2024,mt5_rt_s264_aia_loss_shape_proxy_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CG_run267cf_04_s264_aia_loss_shape_proxy_rt_2024.htm,194,194,0,matched
run267cf_05_s258_stc_loss_shape_proxy_ta_2024,mt5_ta_s258_stc_loss_shape_proxy_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CG_run267cf_05_s258_stc_loss_shape_proxy_ta_2024.htm,239,239,0,matched
run267cf_05_s258_stc_loss_shape_proxy_rt_2024,mt5_rt_s258_stc_loss_shape_proxy_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CG_run267cf_05_s258_stc_loss_shape_proxy_rt_2024.htm,239,239,0,matched
run267cf_06_s264_aih_similar_repl_ta_2024,mt5_ta_s264_aih_similar_repl_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CG_run267cf_06_s264_aih_similar_repl_ta_2024.htm,369,369,0,matched
run267cf_06_s264_aih_similar_repl_rt_2024,mt5_rt_s264_aih_similar_repl_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CG_run267cf_06_s264_aih_similar_repl_rt_2024.htm,369,369,0,matched
run267cf_07_s264_lc_similar_repl_ta_2024,mt5_ta_s264_lc_similar_repl_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CG_run267cf_07_s264_lc_similar_repl_ta_2024.htm,408,408,0,matched
run267cf_07_s264_lc_similar_repl_rt_2024,mt5_rt_s264_lc_similar_repl_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CG_run267cf_07_s264_lc_similar_repl_rt_2024.htm,408,408,0,matched
run267cf_08_s262_lih_similar_repl_ta_2024,mt5_ta_s262_lih_similar_repl_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CG/pool_wide_orthogonal_loss_shape_state_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CG_run267cf_08_s262_lih_similar_repl_ta_2024.htm,388,388,0,matched
