attempt_name,record_view,report_path,expected_trade_count,parsed_trade_count,trade_count_delta,parser_status
run267dd_01_s258_stc_2023h2_session_cross_stress_ta_2023h2,mt5_ta_s258_stc_session_cross_2023h2_adjacent_2023_h2_train_pre_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DE/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DE_run267dd_01_s258_stc_2023h2_session_cross_stress_ta_2023h2.htm,178,178,0,matched
run267dd_02_s258_stc_2025h1_session_cross_stress_ta_2025h1,mt5_ta_s258_stc_session_cross_2025h1_adjacent_2025_h1_validation_post_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DE/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DE_run267dd_02_s258_stc_2025h1_session_cross_stress_ta_2025h1.htm,226,226,0,matched
run267dd_03_s258_stc_2025h2_session_cross_stress_ta_2025h2,mt5_ta_s258_stc_session_cross_2025h2_adjacent_2025_h2_oos_followthrough,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DE/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DE_run267dd_03_s258_stc_2025h2_session_cross_stress_ta_2025h2.htm,167,167,0,matched
run267dd_04_s264_aia_similar_replacement_watch_ta_2024,mt5_ta_s264_aia_aia_similar_replacement_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DE/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DE_run267dd_04_s264_aia_similar_replacement_watch_ta_2024.htm,527,527,0,matched
run267dd_04_s264_aia_similar_replacement_watch_rt_2024,mt5_rt_s264_aia_aia_similar_replacement_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DE/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DE_run267dd_04_s264_aia_similar_replacement_watch_rt_2024.htm,527,527,0,matched
run267dd_05_s264_aia_ablation_neutralized_watch_ta_2024,mt5_ta_s264_aia_aia_ablation_neutral_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DE/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DE_run267dd_05_s264_aia_ablation_neutralized_watch_ta_2024.htm,507,507,0,matched
run267dd_05_s264_aia_ablation_neutralized_watch_rt_2024,mt5_rt_s264_aia_aia_ablation_neutral_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DE/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DE_run267dd_05_s264_aia_ablation_neutralized_watch_rt_2024.htm,507,507,0,matched
run267dd_06_s264_aih_december_destructive_prune_ta_2024,mt5_ta_s264_aih_aih_december_prune_historical_2024_december_destructive_prune,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DE/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DE_run267dd_06_s264_aih_december_destructive_prune_ta_2024.htm,27,27,0,matched
run267dd_06_s264_aih_december_destructive_prune_rt_2024,mt5_rt_s264_aih_aih_december_prune_historical_2024_december_destructive_prune,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DE/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DE_run267dd_06_s264_aih_december_destructive_prune_rt_2024.htm,27,27,0,matched
run267dd_07_s264_lc_weekday_dd_control_ta_2024,mt5_ta_s264_lc_lc_weekday_dd_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DE/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DE_run267dd_07_s264_lc_weekday_dd_control_ta_2024.htm,473,473,0,matched
run267dd_07_s264_lc_weekday_dd_control_rt_2024,mt5_rt_s264_lc_lc_weekday_dd_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DE/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DE_run267dd_07_s264_lc_weekday_dd_control_rt_2024.htm,473,473,0,matched
run267dd_08_s262_lih_weekday_dd_control_ta_2024,mt5_ta_s262_lih_lih_weekday_dd_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DE/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DE_run267dd_08_s262_lih_weekday_dd_control_ta_2024.htm,462,462,0,matched
run267dd_08_s262_lih_weekday_dd_control_rt_2024,mt5_rt_s262_lih_lih_weekday_dd_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DE/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DE_run267dd_08_s262_lih_weekday_dd_control_rt_2024.htm,462,462,0,matched
