record_view,tier_scope,split,status,route_role,net_profit,profit_factor,trade_count,expectancy,max_drawdown_amount,max_drawdown_percent,recovery_factor,order_attempt_count,fill_count,reject_count,skip_count,feature_ready_count,model_ok_count,candidate_id,candidate_alias,candidate_role,variant_id,profile_label,source_variant_id,tier_pair_boundary
mt5_ta_s264_aia_aia_similar_replacement_historical_2024,Tier A,historical_2024,completed,tier_only_total,1292.34,1.38,527,2.45,279.9,14.12,4.62,931,931,0,59283,11651,11651,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267dh_01_s264_aia_similar_survivor_gate,s264_aia_similar_survivor_gate,run267dd_04_s264_aia_similar_replacement_watch,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed
mt5_rt_s264_aia_aia_similar_replacement_historical_2024,Tier A+B,historical_2024,completed,routed_total_duplicate_boundary,1292.34,1.38,527,2.45,279.9,14.12,4.62,931,931,0,59283,11651,11651,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267dh_01_s264_aia_similar_survivor_gate,s264_aia_similar_survivor_gate,run267dd_04_s264_aia_similar_replacement_watch,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed
mt5_ta_s264_aia_aia_ablation_neutral_historical_2024,Tier A,historical_2024,completed,tier_only_total,1646.0,1.45,507,3.25,369.15,15.45,4.46,899,899,0,59283,11651,11651,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267dh_02_s264_aia_ablation_survivor_gate,s264_aia_ablation_survivor_gate,run267dd_05_s264_aia_ablation_neutralized_watch,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed
mt5_rt_s264_aia_aia_ablation_neutral_historical_2024,Tier A+B,historical_2024,completed,routed_total_duplicate_boundary,1646.0,1.45,507,3.25,369.15,15.45,4.46,899,899,0,59283,11651,11651,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267dh_02_s264_aia_ablation_survivor_gate,s264_aia_ablation_survivor_gate,run267dd_05_s264_aia_ablation_neutralized_watch,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed
mt5_ta_s262_lih_lih_weekday_dd_historical_2024,Tier A,historical_2024,completed,tier_only_total,1304.06,1.4,462,2.82,285.23,13.95,4.57,821,821,0,59283,11651,11651,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267dh_03_s262_lih_validation_control_crosscheck,s262_lih_validation_control_crosscheck,run267dd_08_s262_lih_weekday_dd_control,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed
mt5_rt_s262_lih_lih_weekday_dd_historical_2024,Tier A+B,historical_2024,completed,routed_total_duplicate_boundary,1304.06,1.4,462,2.82,285.23,13.95,4.57,821,821,0,59283,11651,11651,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267dh_03_s262_lih_validation_control_crosscheck,s262_lih_validation_control_crosscheck,run267dd_08_s262_lih_weekday_dd_control,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed
mt5_ta_s258_stc_session_cross_2023h2_adjacent_2023_h2_train_pre_2024,Tier A,adjacent_2023_h2_train_pre_2024,completed,tier_only_total,775.89,1.94,178,4.36,114.31,10.34,6.79,319,319,0,28501,6090,6090,s258_short_tight_control,s258_stc,stress_challenger,run267dh_04_s258_stc_2023h2_thin_supply_impulse,s258_stc_thin_supply_impulse_stress,run267dd_01_s258_stc_2023h2_session_cross_stress,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed
mt5_ta_s258_stc_session_cross_2025h1_adjacent_2025_h1_validation_post_2024,Tier A,adjacent_2025_h1_validation_post_2024,completed,tier_only_total,651.49,1.49,226,2.88,131.08,11.7,4.97,386,386,0,27878,6867,6867,s258_short_tight_control,s258_stc,stress_challenger,run267dh_05_s258_stc_2025h1_thin_supply_impulse,s258_stc_thin_supply_impulse_stress,run267dd_02_s258_stc_2025h1_session_cross_stress,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed
mt5_ta_s258_stc_session_cross_2025h2_adjacent_2025_h2_oos_followthrough,Tier A,adjacent_2025_h2_oos_followthrough,completed,tier_only_total,589.68,1.7,167,3.53,121.98,15.79,4.83,290,290,0,29230,6486,6486,s258_short_tight_control,s258_stc,stress_challenger,run267dh_06_s258_stc_2025h2_thin_supply_impulse,s258_stc_thin_supply_impulse_stress,run267dd_03_s258_stc_2025h2_session_cross_stress,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed
mt5_ta_s264_lc_lc_weekday_dd_historical_2024,Tier A,historical_2024,completed,tier_only_total,1522.61,1.42,473,3.22,318.64,24.39,4.78,841,841,0,59283,11651,11651,s264_lowrank_control,s264_lc,defensive_control,run267dh_07_s264_lc_weekday_dd_deescalation,s264_lc_weekday_dd_deescalation,run267dd_07_s264_lc_weekday_dd_control,Tier A and duplicate-boundary Tier A+B are kept only where source attempts exist; true Tier B fallback and actual routed total remain unclaimed
