variant_id,candidate_alias,feature_order_hash,model_sha256,common_feature_path,common_model_path,parity_status,missing_for_runtime_reproduction,runtime_authority,claim_boundary
run267dl_01_s264_aia_similar_dual_session_month_survivor,s264_aia,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_aia/run267dl_01_s264_aia_similar_dual_session_month_survivor/features/run267dl_01_s264_aia_similar_dual_session_month_survivor_features.csv,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_aia/run267dl_01_s264_aia_similar_dual_session_month_survivor/models/run267dl_01_s264_aia_similar_dual_session_month_survivor_model.csv,handoff_ready_no_runtime_execution_yet,MT5 execution output(MT5 실행 출력);tester report(테스터 보고서);runtime reproduction(런타임 재현),not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_02_s264_aia_ablation_dual_session_month_survivor,s264_aia,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_aia/run267dl_02_s264_aia_ablation_dual_session_month_survivor/features/run267dl_02_s264_aia_ablation_dual_session_month_survivor_features.csv,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_aia/run267dl_02_s264_aia_ablation_dual_session_month_survivor/models/run267dl_02_s264_aia_ablation_dual_session_month_survivor_model.csv,handoff_ready_no_runtime_execution_yet,MT5 execution output(MT5 실행 출력);tester report(테스터 보고서);runtime reproduction(런타임 재현),not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_03_s258_stc_2023h2_supply_threshold_release,s258_stc,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_03_s258_stc_2023h2_supply_threshold_release/features/run267dl_03_s258_stc_2023h2_supply_threshold_release_features.csv,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_03_s258_stc_2023h2_supply_threshold_release/models/run267dl_03_s258_stc_2023h2_supply_threshold_release_model.csv,handoff_ready_no_runtime_execution_yet,MT5 execution output(MT5 실행 출력);tester report(테스터 보고서);runtime reproduction(런타임 재현),not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_04_s258_stc_2023h2_supply_sidefilter_open,s258_stc,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_04_s258_stc_2023h2_supply_sidefilter_open/features/run267dl_04_s258_stc_2023h2_supply_sidefilter_open_features.csv,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_04_s258_stc_2023h2_supply_sidefilter_open/models/run267dl_04_s258_stc_2023h2_supply_sidefilter_open_model.csv,handoff_ready_no_runtime_execution_yet,MT5 execution output(MT5 실행 출력);tester report(테스터 보고서);runtime reproduction(런타임 재현),not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_05_s258_stc_2025h1_supply_threshold_release,s258_stc,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_05_s258_stc_2025h1_supply_threshold_release/features/run267dl_05_s258_stc_2025h1_supply_threshold_release_features.csv,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_05_s258_stc_2025h1_supply_threshold_release/models/run267dl_05_s258_stc_2025h1_supply_threshold_release_model.csv,handoff_ready_no_runtime_execution_yet,MT5 execution output(MT5 실행 출력);tester report(테스터 보고서);runtime reproduction(런타임 재현),not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_06_s258_stc_2025h1_supply_sidefilter_open,s258_stc,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_06_s258_stc_2025h1_supply_sidefilter_open/features/run267dl_06_s258_stc_2025h1_supply_sidefilter_open_features.csv,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_06_s258_stc_2025h1_supply_sidefilter_open/models/run267dl_06_s258_stc_2025h1_supply_sidefilter_open_model.csv,handoff_ready_no_runtime_execution_yet,MT5 execution output(MT5 실행 출력);tester report(테스터 보고서);runtime reproduction(런타임 재현),not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_07_s258_stc_2025h2_supply_threshold_release,s258_stc,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_07_s258_stc_2025h2_supply_threshold_release/features/run267dl_07_s258_stc_2025h2_supply_threshold_release_features.csv,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_07_s258_stc_2025h2_supply_threshold_release/models/run267dl_07_s258_stc_2025h2_supply_threshold_release_model.csv,handoff_ready_no_runtime_execution_yet,MT5 execution output(MT5 실행 출력);tester report(테스터 보고서);runtime reproduction(런타임 재현),not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_08_s258_stc_2025h2_supply_sidefilter_open,s258_stc,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_08_s258_stc_2025h2_supply_sidefilter_open/features/run267dl_08_s258_stc_2025h2_supply_sidefilter_open_features.csv,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_08_s258_stc_2025h2_supply_sidefilter_open/models/run267dl_08_s258_stc_2025h2_supply_sidefilter_open_model.csv,handoff_ready_no_runtime_execution_yet,MT5 execution output(MT5 실행 출력);tester report(테스터 보고서);runtime reproduction(런타임 재현),not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_09_s262_lih_validation_guardrail_crosscheck,s262_lih,c4888e6881df4313ec47f6021274acb1e5833074a8f947122ce2ce453f2c014c,04f9c0abc688c30bd962ff8e22f1cbb9f996d0e0411a8a33870e582c82af8da8,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s262_lih/run267dl_09_s262_lih_validation_guardrail_crosscheck/features/run267dl_09_s262_lih_validation_guardrail_crosscheck_features.csv,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s262_lih/run267dl_09_s262_lih_validation_guardrail_crosscheck/models/run267dl_09_s262_lih_validation_guardrail_crosscheck_model.csv,handoff_ready_no_runtime_execution_yet,MT5 execution output(MT5 실행 출력);tester report(테스터 보고서);runtime reproduction(런타임 재현),not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_10_s264_lc_one_stage_dd_demote_audit,s264_lc,49d5799544950b0a59ed0df05f2362b142a554e690aa63f7b0ab148332178232,72614e6cbb6ca93062386ae93c47311c34c3e22cf85e4c6f1b5ac612add250ba,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_lc/run267dl_10_s264_lc_one_stage_dd_demote_audit/features/run267dl_10_s264_lc_one_stage_dd_demote_audit_features.csv,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_lc/run267dl_10_s264_lc_one_stage_dd_demote_audit/models/run267dl_10_s264_lc_one_stage_dd_demote_audit_model.csv,handoff_ready_no_runtime_execution_yet,MT5 execution output(MT5 실행 출력);tester report(테스터 보고서);runtime reproduction(런타임 재현),not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
