variant_id,queue_id,source_run_id,source_variant_id,candidate_id,candidate_alias,candidate_role,profile_label,source_profile_label,model_materialization_type,set_mode,runtime_model_file,runtime_model_sha256,common_model_path,common_model_sha256,runtime_feature_file,runtime_feature_sha256,common_feature_path,common_feature_sha256,feature_count,feature_order,feature_order_hash,engineered_features,known_difference,materialization_boundary,claim_boundary
run267dl_01_s264_aia_similar_dual_session_month_survivor,dk_q01_s264_aia_dual_survivor_ablation_replacement,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_01_s264_aia_similar_survivor_gate,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,s264_aia_similar_dual_session_month_survivor,s264_aia_similar_survivor_gate,source_replay_dual_survivor_gate_no_signal_mutation,survivor_replay,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s264_aia/run267dl_01_s264_aia_similar_dual_session_month_survivor/models/run267dl_01_s264_aia_similar_dual_session_month_survivor_model.csv,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_aia/run267dl_01_s264_aia_similar_dual_session_month_survivor/models/run267dl_01_s264_aia_similar_dual_session_month_survivor_model.csv,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s264_aia/run267dl_01_s264_aia_similar_dual_session_month_survivor/run267dl_01_s264_aia_similar_dual_session_month_survivor_features.csv,178a8f5ffd6d92dd9bb71a99e4beb85ee583dccedf87da5695ce6e31da6de045,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_aia/run267dl_01_s264_aia_similar_dual_session_month_survivor/features/run267dl_01_s264_aia_similar_dual_session_month_survivor_features.csv,178a8f5ffd6d92dd9bb71a99e4beb85ee583dccedf87da5695ce6e31da6de045,39,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio;stage267cf_trend_strength_replacement_score;stage267cf_volatility_energy_transition_score;stage267cf_range_pressure_asymmetry_score;stage267cn_shared_weakness_state_interaction_score;stage267cr_state_phase_monday_replacement_score;stage267cv_explosive_shock_state_combo_score;stage267cz_aia_validation_damage_probe_score,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,stage267cz_aia_validation_damage_probe_score,Rebinds run267DH similar replacement survivor to run267DK dual session/month survivor gate; no calendar-only filter.,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_02_s264_aia_ablation_dual_session_month_survivor,dk_q01_s264_aia_dual_survivor_ablation_replacement,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_02_s264_aia_ablation_survivor_gate,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,s264_aia_ablation_dual_session_month_survivor,s264_aia_ablation_survivor_gate,source_replay_dual_ablation_survivor_gate_no_signal_mutation,survivor_replay,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s264_aia/run267dl_02_s264_aia_ablation_dual_session_month_survivor/models/run267dl_02_s264_aia_ablation_dual_session_month_survivor_model.csv,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_aia/run267dl_02_s264_aia_ablation_dual_session_month_survivor/models/run267dl_02_s264_aia_ablation_dual_session_month_survivor_model.csv,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s264_aia/run267dl_02_s264_aia_ablation_dual_session_month_survivor/run267dl_02_s264_aia_ablation_dual_session_month_survivor_features.csv,685f4c105bbfb858170a440a922ea299250797f14f0b70e6f4c2c9f36774d656,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_aia/run267dl_02_s264_aia_ablation_dual_session_month_survivor/features/run267dl_02_s264_aia_ablation_dual_session_month_survivor_features.csv,685f4c105bbfb858170a440a922ea299250797f14f0b70e6f4c2c9f36774d656,39,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio;stage267cf_trend_strength_replacement_score;stage267cf_volatility_energy_transition_score;stage267cf_range_pressure_asymmetry_score;stage267cn_shared_weakness_state_interaction_score;stage267cr_state_phase_monday_replacement_score;stage267cv_explosive_shock_state_combo_score;stage267cz_aia_validation_damage_probe_score,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,stage267cz_aia_validation_damage_probe_score,Rebinds run267DH ablation survivor to run267DK dual session/month survivor gate; no new safety filter.,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_03_s258_stc_2023h2_supply_threshold_release,dk_q02_s258_explosive_supply_expansion_stress,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_04_s258_stc_2023h2_thin_supply_impulse,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_explosive_supply_threshold_release,s258_stc_thin_supply_impulse_stress,execution_supply_expansion_threshold_release,threshold_release,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s258_stc/run267dl_03_s258_stc_2023h2_supply_threshold_release/models/run267dl_03_s258_stc_2023h2_supply_threshold_release_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_03_s258_stc_2023h2_supply_threshold_release/models/run267dl_03_s258_stc_2023h2_supply_threshold_release_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s258_stc/run267dl_03_s258_stc_2023h2_supply_threshold_release/run267dl_03_s258_stc_2023h2_supply_threshold_release_features.csv,94c1500167be289b3e92be82df2c08b674cc7a04fc23958e87d3aeafca76c6c3,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_03_s258_stc_2023h2_supply_threshold_release/features/run267dl_03_s258_stc_2023h2_supply_threshold_release_features.csv,94c1500167be289b3e92be82df2c08b674cc7a04fc23958e87d3aeafca76c6c3,4,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267bs_impulse_replacement_score,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,stage267bs_impulse_replacement_score,"Aggressively lowers entry thresholds and same-direction cooldown to test trade supply, without adding defensive filters.",materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_04_s258_stc_2023h2_supply_sidefilter_open,dk_q02_s258_explosive_supply_expansion_stress,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_04_s258_stc_2023h2_thin_supply_impulse,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_explosive_supply_sidefilter_open,s258_stc_thin_supply_impulse_stress,execution_supply_expansion_sidefilter_open,sidefilter_open,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s258_stc/run267dl_04_s258_stc_2023h2_supply_sidefilter_open/models/run267dl_04_s258_stc_2023h2_supply_sidefilter_open_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_04_s258_stc_2023h2_supply_sidefilter_open/models/run267dl_04_s258_stc_2023h2_supply_sidefilter_open_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s258_stc/run267dl_04_s258_stc_2023h2_supply_sidefilter_open/run267dl_04_s258_stc_2023h2_supply_sidefilter_open_features.csv,94c1500167be289b3e92be82df2c08b674cc7a04fc23958e87d3aeafca76c6c3,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_04_s258_stc_2023h2_supply_sidefilter_open/features/run267dl_04_s258_stc_2023h2_supply_sidefilter_open_features.csv,94c1500167be289b3e92be82df2c08b674cc7a04fc23958e87d3aeafca76c6c3,4,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267bs_impulse_replacement_score,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,stage267bs_impulse_replacement_score,Opens the side filter and cooldown to test whether sparse high-PF rows can become real supply.,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_05_s258_stc_2025h1_supply_threshold_release,dk_q02_s258_explosive_supply_expansion_stress,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_05_s258_stc_2025h1_thin_supply_impulse,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_explosive_supply_threshold_release,s258_stc_thin_supply_impulse_stress,execution_supply_expansion_threshold_release,threshold_release,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s258_stc/run267dl_05_s258_stc_2025h1_supply_threshold_release/models/run267dl_05_s258_stc_2025h1_supply_threshold_release_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_05_s258_stc_2025h1_supply_threshold_release/models/run267dl_05_s258_stc_2025h1_supply_threshold_release_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s258_stc/run267dl_05_s258_stc_2025h1_supply_threshold_release/run267dl_05_s258_stc_2025h1_supply_threshold_release_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_05_s258_stc_2025h1_supply_threshold_release/features/run267dl_05_s258_stc_2025h1_supply_threshold_release_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,4,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267bs_impulse_replacement_score,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,stage267bs_impulse_replacement_score,Aggressively lowers entry thresholds and same-direction cooldown to test 2025H1 trade supply.,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_06_s258_stc_2025h1_supply_sidefilter_open,dk_q02_s258_explosive_supply_expansion_stress,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_05_s258_stc_2025h1_thin_supply_impulse,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_explosive_supply_sidefilter_open,s258_stc_thin_supply_impulse_stress,execution_supply_expansion_sidefilter_open,sidefilter_open,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s258_stc/run267dl_06_s258_stc_2025h1_supply_sidefilter_open/models/run267dl_06_s258_stc_2025h1_supply_sidefilter_open_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_06_s258_stc_2025h1_supply_sidefilter_open/models/run267dl_06_s258_stc_2025h1_supply_sidefilter_open_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s258_stc/run267dl_06_s258_stc_2025h1_supply_sidefilter_open/run267dl_06_s258_stc_2025h1_supply_sidefilter_open_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_06_s258_stc_2025h1_supply_sidefilter_open/features/run267dl_06_s258_stc_2025h1_supply_sidefilter_open_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,4,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267bs_impulse_replacement_score,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,stage267bs_impulse_replacement_score,"Opens the side filter and cooldown for 2025H1; this is an aggressive stress, not a safety patch.",materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_07_s258_stc_2025h2_supply_threshold_release,dk_q02_s258_explosive_supply_expansion_stress,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_06_s258_stc_2025h2_thin_supply_impulse,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_explosive_supply_threshold_release,s258_stc_thin_supply_impulse_stress,execution_supply_expansion_threshold_release,threshold_release,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s258_stc/run267dl_07_s258_stc_2025h2_supply_threshold_release/models/run267dl_07_s258_stc_2025h2_supply_threshold_release_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_07_s258_stc_2025h2_supply_threshold_release/models/run267dl_07_s258_stc_2025h2_supply_threshold_release_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s258_stc/run267dl_07_s258_stc_2025h2_supply_threshold_release/run267dl_07_s258_stc_2025h2_supply_threshold_release_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_07_s258_stc_2025h2_supply_threshold_release/features/run267dl_07_s258_stc_2025h2_supply_threshold_release_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,4,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267bs_impulse_replacement_score,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,stage267bs_impulse_replacement_score,Aggressively lowers entry thresholds and same-direction cooldown to test 2025H2 trade supply.,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_08_s258_stc_2025h2_supply_sidefilter_open,dk_q02_s258_explosive_supply_expansion_stress,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_06_s258_stc_2025h2_thin_supply_impulse,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_explosive_supply_sidefilter_open,s258_stc_thin_supply_impulse_stress,execution_supply_expansion_sidefilter_open,sidefilter_open,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s258_stc/run267dl_08_s258_stc_2025h2_supply_sidefilter_open/models/run267dl_08_s258_stc_2025h2_supply_sidefilter_open_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_08_s258_stc_2025h2_supply_sidefilter_open/models/run267dl_08_s258_stc_2025h2_supply_sidefilter_open_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s258_stc/run267dl_08_s258_stc_2025h2_supply_sidefilter_open/run267dl_08_s258_stc_2025h2_supply_sidefilter_open_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_08_s258_stc_2025h2_supply_sidefilter_open/features/run267dl_08_s258_stc_2025h2_supply_sidefilter_open_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,4,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267bs_impulse_replacement_score,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,stage267bs_impulse_replacement_score,Opens the side filter and cooldown for 2025H2; no defensive filter is added.,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_09_s262_lih_validation_guardrail_crosscheck,dk_q03_s262_lih_validation_guardrail_crosscheck,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_03_s262_lih_validation_control_crosscheck,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,s262_lih_validation_guardrail_crosscheck,s262_lih_validation_control_crosscheck,source_replay_validation_guardrail_no_signal_mutation,guardrail_replay,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s262_lih/run267dl_09_s262_lih_validation_guardrail_crosscheck/models/run267dl_09_s262_lih_validation_guardrail_crosscheck_model.csv,04f9c0abc688c30bd962ff8e22f1cbb9f996d0e0411a8a33870e582c82af8da8,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s262_lih/run267dl_09_s262_lih_validation_guardrail_crosscheck/models/run267dl_09_s262_lih_validation_guardrail_crosscheck_model.csv,04f9c0abc688c30bd962ff8e22f1cbb9f996d0e0411a8a33870e582c82af8da8,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s262_lih/run267dl_09_s262_lih_validation_guardrail_crosscheck/run267dl_09_s262_lih_validation_guardrail_crosscheck_features.csv,18320b5cd0f6a21c345626f46b202e048cefcc9681f9056ec66656bf15941218,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s262_lih/run267dl_09_s262_lih_validation_guardrail_crosscheck/features/run267dl_09_s262_lih_validation_guardrail_crosscheck_features.csv,18320b5cd0f6a21c345626f46b202e048cefcc9681f9056ec66656bf15941218,37,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio;stage267cf_trend_strength_replacement_score;stage267cf_volatility_energy_transition_score;stage267cf_range_pressure_asymmetry_score;stage267cn_shared_weakness_state_interaction_score;stage267cr_state_phase_monday_replacement_score,c4888e6881df4313ec47f6021274acb1e5833074a8f947122ce2ce453f2c014c,,"Keeps s262_lih beside the aggressive branch as a validation-heavy guardrail, not a selected candidate.",materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_10_s264_lc_one_stage_dd_demote_audit,dk_q04_s264_lc_one_stage_dd_demote_audit,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_07_s264_lc_weekday_dd_deescalation,s264_lowrank_control,s264_lc,defensive_control,s264_lc_one_stage_dd_demote_audit,s264_lc_weekday_dd_deescalation,source_replay_one_stage_dd_demote_audit_no_signal_mutation,demote_audit_replay,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s264_lc/run267dl_10_s264_lc_one_stage_dd_demote_audit/models/run267dl_10_s264_lc_one_stage_dd_demote_audit_model.csv,72614e6cbb6ca93062386ae93c47311c34c3e22cf85e4c6f1b5ac612add250ba,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_lc/run267dl_10_s264_lc_one_stage_dd_demote_audit/models/run267dl_10_s264_lc_one_stage_dd_demote_audit_model.csv,72614e6cbb6ca93062386ae93c47311c34c3e22cf85e4c6f1b5ac612add250ba,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s264_lc/run267dl_10_s264_lc_one_stage_dd_demote_audit/run267dl_10_s264_lc_one_stage_dd_demote_audit_features.csv,75e992f3ce8f2a6ae22d357ecb86a15304b9aebc5bd176490b8329b1fc8d261a,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_lc/run267dl_10_s264_lc_one_stage_dd_demote_audit/features/run267dl_10_s264_lc_one_stage_dd_demote_audit_features.csv,75e992f3ce8f2a6ae22d357ecb86a15304b9aebc5bd176490b8329b1fc8d261a,37,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control;atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20;di_spread_14;supertrend_10_3;vortex_indicator;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio;minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio;stage267cf_trend_strength_replacement_score;stage267cf_volatility_energy_transition_score;stage267cf_range_pressure_asymmetry_score;stage267cn_shared_weakness_state_interaction_score;stage267cr_state_phase_monday_replacement_score,49d5799544950b0a59ed0df05f2362b142a554e690aa63f7b0ab148332178232,,Runs only one bounded DD/Monday audit for s264_lc and does not preserve a safe-control claim.,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
