candidate_alias,candidate_role,source_axis,followup_variant,followup_action,attempt_name,tier,split,attempt_role,record_view_prefix,set_path,set_sha256,ini_path,ini_sha256,common_telemetry_path,common_summary_path,fallback_enabled,execution_status
s264_aih,challenger_core,atrcomp,atrcomp_monday_guard,materialize_atrcomp_monday_guard,s264_aih_atrmon_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aih_atrmon,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s264_aih_atrmon_ta_2024.set,b5c023d13f0fad226b75c377148edbc6daa5ddaec93a7af7b6d679c0c8895af1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s264_aih_atrmon_ta_2024.ini,eef666aaf65250d2b4d0052ce13db0f8df0de264c28551476f820d5816b08bac,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_aih/telemetry/s264_aih_atrmon_ta_2024_telemetry.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_aih/telemetry/s264_aih_atrmon_ta_2024_summary.csv,false,not_executed
s264_aih,challenger_core,atrcomp,atrcomp_monday_guard,materialize_atrcomp_monday_guard,s264_aih_atrmon_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_aih_atrmon,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s264_aih_atrmon_rt_2024.set,1bd2ea099672cbedd86b9819c5b983bef87a7976535772c2d4b8194654731bd8,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s264_aih_atrmon_rt_2024.ini,f6a82ee12d68f1a7949401f5edd3342097b4d6824b27f003590078e275836d28,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_aih/telemetry/s264_aih_atrmon_rt_2024_telemetry.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_aih/telemetry/s264_aih_atrmon_rt_2024_summary.csv,false,not_executed
s264_aia,oos_anchor,atrcomp,atrcomp_monday_guard,materialize_atrcomp_monday_guard,s264_aia_atrmon_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aia_atrmon,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s264_aia_atrmon_ta_2024.set,c4cef17bd7dc4ac33c75f7bc68be630f1e780feab3655349145f22cb9340e107,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s264_aia_atrmon_ta_2024.ini,c981da44c1f2742abae9ac85260c8182dc91b1847023a3806a51448157835f9a,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_aia/telemetry/s264_aia_atrmon_ta_2024_telemetry.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_aia/telemetry/s264_aia_atrmon_ta_2024_summary.csv,false,not_executed
s264_aia,oos_anchor,atrcomp,atrcomp_monday_guard,materialize_atrcomp_monday_guard,s264_aia_atrmon_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_aia_atrmon,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s264_aia_atrmon_rt_2024.set,e015cdc389e5ff680c25033eeabbbb507de722d30dd06b47bc05ad14d122a715,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s264_aia_atrmon_rt_2024.ini,35c7dc2cee8dad574700fc05893b96195773abece5d9e8f663c345a4b159c98b,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_aia/telemetry/s264_aia_atrmon_rt_2024_telemetry.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_aia/telemetry/s264_aia_atrmon_rt_2024_summary.csv,false,not_executed
s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,materialize_atrcomp_monday_guard,s258_stc_atrmon_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s258_stc_atrmon,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s258_stc_atrmon_ta_2024.set,b8149c547371bc9e80f01f3dc7c9b8c0358de7bb951872d876095211144a2890,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s258_stc_atrmon_ta_2024.ini,647b87601c7a0783bb1b50b8a72baee3d47c4b7fa6b56fc5f90b12b480814e33,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s258_stc/telemetry/s258_stc_atrmon_ta_2024_telemetry.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s258_stc/telemetry/s258_stc_atrmon_ta_2024_summary.csv,false,not_executed
s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,materialize_atrcomp_monday_guard,s258_stc_atrmon_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s258_stc_atrmon,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s258_stc_atrmon_rt_2024.set,99bcb4e2e53ae78271ec891bf75a687f456e5f5e24711168685f2f85e0265cf2,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s258_stc_atrmon_rt_2024.ini,d7f793cc4de62765a59863948f73b04f7316e47d85f8a413179207695442ba0f,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s258_stc/telemetry/s258_stc_atrmon_rt_2024_telemetry.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s258_stc/telemetry/s258_stc_atrmon_rt_2024_summary.csv,false,not_executed
s264_lc,defensive_control,atrcomp,atrcomp_monday_guard,materialize_atrcomp_monday_guard,s264_lc_atrmon_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_lc_atrmon,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s264_lc_atrmon_ta_2024.set,2dc6f7438681b501902aaaef5f7c8a7926037292c4189929180ed7563fd282bf,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s264_lc_atrmon_ta_2024.ini,d8dcc4cd5ff69436c0cab79a5fac9757a84161ae47c92e317e63adcf58a6ecea,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_lc/telemetry/s264_lc_atrmon_ta_2024_telemetry.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_lc/telemetry/s264_lc_atrmon_ta_2024_summary.csv,false,not_executed
s264_lc,defensive_control,atrcomp,atrcomp_monday_guard,materialize_atrcomp_monday_guard,s264_lc_atrmon_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_lc_atrmon,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s264_lc_atrmon_rt_2024.set,1d3255e08ad182ea727a0b2f5b79c04d09f0a78ab63a7c4e5bc99dedb6154a95,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s264_lc_atrmon_rt_2024.ini,fc72d0a11ac5a5f04fa3991410abcab369a49f9b3f1d4b3f17ba266ec7797fd4,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_lc/telemetry/s264_lc_atrmon_rt_2024_telemetry.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_lc/telemetry/s264_lc_atrmon_rt_2024_summary.csv,false,not_executed
s262_lih,validation_heavy,atrcomp,atrcomp_monday_guard,materialize_atrcomp_monday_guard,s262_lih_atrmon_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s262_lih_atrmon,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s262_lih_atrmon_ta_2024.set,ce608bb1634b60dd15eb8379a4011110f263fc2a30aa754078a57daba6490434,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s262_lih_atrmon_ta_2024.ini,4179541cb0486c753668182f9f2b221c59a76b5e9361bc4a03b32453b0d8f2cb,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s262_lih/telemetry/s262_lih_atrmon_ta_2024_telemetry.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s262_lih/telemetry/s262_lih_atrmon_ta_2024_summary.csv,false,not_executed
s262_lih,validation_heavy,atrcomp,atrcomp_monday_guard,materialize_atrcomp_monday_guard,s262_lih_atrmon_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s262_lih_atrmon,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s262_lih_atrmon_rt_2024.set,f21f594acfd8dff5462a83bf1471a64f20bce343adf47d585f196f553bc9e095,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/mt5/s262_lih_atrmon_rt_2024.ini,8bd0ad5fb080bf0f8942503fcb1b7ae9e1b6cfe6c3cea02f56334e564758b75d,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s262_lih/telemetry/s262_lih_atrmon_rt_2024_telemetry.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s262_lih/telemetry/s262_lih_atrmon_rt_2024_summary.csv,false,not_executed
