record_view,candidate_alias,candidate_role,source_axis,followup_variant,route_role,axis,bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,max_losing_streak
mt5_rt_s262_lih_atrmon_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,atrcomp,atrcomp_monday_guard,routed_total,chron_segment,chron_mid,86,-83.22,0.850678,-0.967674,0.488372,173.98,30.07953,78,4
mt5_rt_s264_lc_atrmon_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,atrcomp,atrcomp_monday_guard,routed_total,chron_segment,chron_mid,86,-68.03,0.875706,-0.791047,0.5,158.02,27.320194,78,4
mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,routed_total,chron_segment,chron_mid,92,-65.57,0.899076,-0.712717,0.478261,186.5,30.055437,81,5
mt5_rt_s264_aih_atrmon_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,atrcomp_monday_guard,routed_total,chron_segment,chron_mid,86,-65.12,0.882686,-0.757209,0.5,159.96,27.436452,77,4
mt5_rt_s264_aia_atrmon_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,atrcomp,atrcomp_monday_guard,routed_total,chron_segment,chron_mid,87,-64.41,0.882459,-0.740345,0.505747,158.3,27.168037,78,4
mt5_rt_s264_aih_atrmon_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,atrcomp_monday_guard,routed_total,month,2024-08,30,-55.9,0.702881,-1.863333,0.5,71.82,14.052869,29,3
mt5_rt_s264_aia_atrmon_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,atrcomp,atrcomp_monday_guard,routed_total,month,2024-08,30,-55.69,0.700237,-1.856333,0.5,71.47,13.984386,29,3
mt5_rt_s264_lc_atrmon_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,atrcomp,atrcomp_monday_guard,routed_total,month,2024-08,30,-55.32,0.701634,-1.844,0.5,71.1,13.911989,29,3
mt5_rt_s262_lih_atrmon_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,atrcomp,atrcomp_monday_guard,routed_total,month,2024-08,30,-53.29,0.704322,-1.776333,0.5,68.81,13.479998,29,3
mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,routed_total,month,2024-08,31,-49.21,0.74558,-1.587419,0.516129,74.66,14.608566,30,3
mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,routed_total,month,2024-06,14,-47.86,0.673845,-3.418571,0.357143,74.7,14.614677,7,4
mt5_rt_s262_lih_atrmon_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,atrcomp,atrcomp_monday_guard,routed_total,month,2024-07,24,-47.64,0.679516,-1.985,0.458333,122.24,24.011471,21,4
mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,routed_total,month,2024-07,26,-45.62,0.740987,-1.754615,0.461538,130.11,25.524277,23,5
mt5_rt_s264_aia_atrmon_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,atrcomp,atrcomp_monday_guard,routed_total,month,2024-07,23,-30.58,0.770851,-1.329565,0.478261,106.53,20.926806,20,4
mt5_rt_s264_lc_atrmon_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,atrcomp,atrcomp_monday_guard,routed_total,month,2024-07,23,-30.3,0.772471,-1.317391,0.478261,106.28,20.876466,20,4
mt5_rt_s264_aih_atrmon_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,atrcomp_monday_guard,routed_total,month,2024-07,23,-29.73,0.777736,-1.292609,0.478261,106.63,20.94645,20,4
mt5_rt_s264_aih_atrmon_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,atrcomp_monday_guard,routed_total,month,2024-06,12,-29.14,0.764468,-2.428333,0.416667,67.3,12.85406,6,3
mt5_rt_s262_lih_atrmon_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,atrcomp,atrcomp_monday_guard,routed_total,month,2024-06,12,-28.68,0.764319,-2.39,0.416667,66.53,12.714521,6,3
mt5_rt_s264_aia_atrmon_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,atrcomp,atrcomp_monday_guard,routed_total,month,2024-06,12,-28.68,0.764319,-2.39,0.416667,66.53,12.714521,6,3
mt5_rt_s264_lc_atrmon_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,atrcomp,atrcomp_monday_guard,routed_total,month,2024-06,12,-28.68,0.764319,-2.39,0.416667,66.53,12.714521,6,3
