attempt_name,variant_id,queue_id,candidate_alias,feature_exists,model_exists,common_feature_path,common_feature_sha256,common_model_path,common_model_sha256,set_path,ini_path,preflight_status,effect,claim_boundary,set_sha256
run267ec_01_s258_stc_2025h1_period_survival_gate_2025h1,run267ec_01_s258_stc_2025h1_period_survival_gate,q01_s258_2025h1_period_survival_gate,s258_stc,true,true,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_01_s258_stc_2025h1_period_survival_gate/features/run267ec_01_s258_stc_2025h1_period_survival_gate_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_01_s258_stc_2025h1_period_survival_gate/models/run267ec_01_s258_stc_2025h1_period_survival_gate_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_01_s258_stc_2025h1_period_survival_gate_2025h1.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_01_s258_stc_2025h1_period_survival_gate_2025h1.ini,ready_for_mt5_execution,Common Files(공통 파일) 인계가 먼저 증명되어 init failure(초기화 실패)와 성능 실패를 분리한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,fb38c71fbf4d20f4d75004a4606d978c7740b43be96d3775af54483d5771906d
run267ec_02_s258_stc_2025h2_period_survival_gate_2025h2,run267ec_02_s258_stc_2025h2_period_survival_gate,q02_s258_2025h2_period_survival_gate,s258_stc,true,true,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_02_s258_stc_2025h2_period_survival_gate/features/run267ec_02_s258_stc_2025h2_period_survival_gate_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_02_s258_stc_2025h2_period_survival_gate/models/run267ec_02_s258_stc_2025h2_period_survival_gate_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_02_s258_stc_2025h2_period_survival_gate_2025h2.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_02_s258_stc_2025h2_period_survival_gate_2025h2.ini,ready_for_mt5_execution,Common Files(공통 파일) 인계가 먼저 증명되어 init failure(초기화 실패)와 성능 실패를 분리한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,21e834b11e934663ddae5271ccd8524134c95d7996d808faf8b7298ef66c7c19
run267ec_03_s258_stc_2023h2_explosive_impulse_supply_2023h2,run267ec_03_s258_stc_2023h2_explosive_impulse_supply,q03_s258_explosive_impulse_supply_probe,s258_stc,true,true,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_03_s258_stc_2023h2_explosive_impulse_supply/features/run267ec_03_s258_stc_2023h2_explosive_impulse_supply_features.csv,94c1500167be289b3e92be82df2c08b674cc7a04fc23958e87d3aeafca76c6c3,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_03_s258_stc_2023h2_explosive_impulse_supply/models/run267ec_03_s258_stc_2023h2_explosive_impulse_supply_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_03_s258_stc_2023h2_explosive_impulse_supply_2023h2.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_03_s258_stc_2023h2_explosive_impulse_supply_2023h2.ini,ready_for_mt5_execution,Common Files(공통 파일) 인계가 먼저 증명되어 init failure(초기화 실패)와 성능 실패를 분리한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,49caf1b828ccd7e1dad85c0bcfc5d8660fd80e027ec149d51f61beac77e68539
run267ec_04_s258_stc_2025h1_explosive_impulse_supply_2025h1,run267ec_04_s258_stc_2025h1_explosive_impulse_supply,q03_s258_explosive_impulse_supply_probe,s258_stc,true,true,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_04_s258_stc_2025h1_explosive_impulse_supply/features/run267ec_04_s258_stc_2025h1_explosive_impulse_supply_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_04_s258_stc_2025h1_explosive_impulse_supply/models/run267ec_04_s258_stc_2025h1_explosive_impulse_supply_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_04_s258_stc_2025h1_explosive_impulse_supply_2025h1.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_04_s258_stc_2025h1_explosive_impulse_supply_2025h1.ini,ready_for_mt5_execution,Common Files(공통 파일) 인계가 먼저 증명되어 init failure(초기화 실패)와 성능 실패를 분리한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,dafbd59c542216858f38245e8b67e2ef227269dba690fa7d0fd45131604d8983
run267ec_05_s258_stc_2025h2_explosive_impulse_supply_2025h2,run267ec_05_s258_stc_2025h2_explosive_impulse_supply,q03_s258_explosive_impulse_supply_probe,s258_stc,true,true,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_05_s258_stc_2025h2_explosive_impulse_supply/features/run267ec_05_s258_stc_2025h2_explosive_impulse_supply_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_05_s258_stc_2025h2_explosive_impulse_supply/models/run267ec_05_s258_stc_2025h2_explosive_impulse_supply_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_05_s258_stc_2025h2_explosive_impulse_supply_2025h2.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_05_s258_stc_2025h2_explosive_impulse_supply_2025h2.ini,ready_for_mt5_execution,Common Files(공통 파일) 인계가 먼저 증명되어 init failure(초기화 실패)와 성능 실패를 분리한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,4a196b671460cd823ec96dfef964ce401dd9cd4d820513441908b5d77887f6ba
run267ec_06_s264_aih_validation_anchor_integrity_validation_is,run267ec_06_s264_aih_validation_anchor_integrity,q04_s264_aih_validation_anchor_integrity_check,s264_aih,true,true,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_06_s264_aih_validation_anchor_integrity/features/run267ec_06_s264_aih_validation_anchor_integrity_features.csv,49a1fd2ec8ba9c08c046ca7d30bf68d62c3ea3fa7f476d5a03d6769590144d2a,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_06_s264_aih_validation_anchor_integrity/models/run267ec_06_s264_aih_validation_anchor_integrity_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_06_s264_aih_validation_anchor_integrity_validation_is.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_06_s264_aih_validation_anchor_integrity_validation_is.ini,ready_for_mt5_execution,Common Files(공통 파일) 인계가 먼저 증명되어 init failure(초기화 실패)와 성능 실패를 분리한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,4177ec24e1f880b1df1666174fad2ed3ae8b1b9a098567c200fa84319b98da95
run267ec_07_s264_aih_202604_counter_shock_rebuild_202604,run267ec_07_s264_aih_202604_counter_shock_rebuild,q05_s264_aih_202604_counter_shock_rebuild,s264_aih,true,true,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_07_s264_aih_202604_counter_shock_rebuild/features/run267ec_07_s264_aih_202604_counter_shock_rebuild_features.csv,e08c68d38ac80e6799d53850673dbe96533ead7fe98b6c444586929eb96b6320,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_07_s264_aih_202604_counter_shock_rebuild/models/run267ec_07_s264_aih_202604_counter_shock_rebuild_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_07_s264_aih_202604_counter_shock_rebuild_202604.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_07_s264_aih_202604_counter_shock_rebuild_202604.ini,ready_for_mt5_execution,Common Files(공통 파일) 인계가 먼저 증명되어 init failure(초기화 실패)와 성능 실패를 분리한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,34d3e0535ee960155dba049f485c08a096cc8841909602c6391af95e7c53b197
run267ec_08_s264_lc_202604_counter_shock_control_202604,run267ec_08_s264_lc_202604_counter_shock_control,q05_s264_aih_202604_counter_shock_rebuild,s264_lc,true,true,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_lc/run267ec_08_s264_lc_202604_counter_shock_control/features/run267ec_08_s264_lc_202604_counter_shock_control_features.csv,2af47b2765c2d0be55f6c5a6ea12e6161a783eeecb5fd1f271afe5bba78d8b94,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_lc/run267ec_08_s264_lc_202604_counter_shock_control/models/run267ec_08_s264_lc_202604_counter_shock_control_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_08_s264_lc_202604_counter_shock_control_202604.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_08_s264_lc_202604_counter_shock_control_202604.ini,ready_for_mt5_execution,Common Files(공통 파일) 인계가 먼저 증명되어 init failure(초기화 실패)와 성능 실패를 분리한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,bbe2bc859bd76e16019845097e42f9fb9728877202f091a41c7dac79b5c11f94
run267ec_09_s264_aih_validation_explosive_counter_impulse_validation_is,run267ec_09_s264_aih_validation_explosive_counter_impulse,q06_s264_aih_explosive_counter_impulse_probe,s264_aih,true,true,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_09_s264_aih_validation_explosive_counter_impulse/features/run267ec_09_s264_aih_validation_explosive_counter_impulse_features.csv,49a1fd2ec8ba9c08c046ca7d30bf68d62c3ea3fa7f476d5a03d6769590144d2a,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_09_s264_aih_validation_explosive_counter_impulse/models/run267ec_09_s264_aih_validation_explosive_counter_impulse_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_09_s264_aih_validation_explosive_counter_impulse_validation_is.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_09_s264_aih_validation_explosive_counter_impulse_validation_is.ini,ready_for_mt5_execution,Common Files(공통 파일) 인계가 먼저 증명되어 init failure(초기화 실패)와 성능 실패를 분리한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,b755db3b051ae4697d6e8d3a144a09f8da30ec5fdba84438dea42b154bf067c3
run267ec_10_s264_aih_202604_explosive_counter_impulse_202604,run267ec_10_s264_aih_202604_explosive_counter_impulse,q06_s264_aih_explosive_counter_impulse_probe,s264_aih,true,true,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_10_s264_aih_202604_explosive_counter_impulse/features/run267ec_10_s264_aih_202604_explosive_counter_impulse_features.csv,e08c68d38ac80e6799d53850673dbe96533ead7fe98b6c444586929eb96b6320,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_10_s264_aih_202604_explosive_counter_impulse/models/run267ec_10_s264_aih_202604_explosive_counter_impulse_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_10_s264_aih_202604_explosive_counter_impulse_202604.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/mt5/run267ec_10_s264_aih_202604_explosive_counter_impulse_202604.ini,ready_for_mt5_execution,Common Files(공통 파일) 인계가 먼저 증명되어 init failure(초기화 실패)와 성능 실패를 분리한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate,a7aa35023972b38f01b626dc30b4eddda9ff6873f7c662bd84c19aca40033f4a
