attempt_name,tester_profile_path,exists,has_bom,head_hex,encoding_policy,status
run267ec_01_s258_stc_2025h1_period_survival_gate_2025h1,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267ed_run267ec_01_s258_stc_2025h1_period_survival_gate_2025h1.ini,true,false,5b546573,utf-8-no-bom,checked
run267ec_02_s258_stc_2025h2_period_survival_gate_2025h2,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267ed_run267ec_02_s258_stc_2025h2_period_survival_gate_2025h2.ini,true,false,5b546573,utf-8-no-bom,checked
run267ec_03_s258_stc_2023h2_explosive_impulse_supply_2023h2,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267ed_run267ec_03_s258_stc_2023h2_explosive_impulse_supply_2023h2.ini,true,false,5b546573,utf-8-no-bom,checked
run267ec_04_s258_stc_2025h1_explosive_impulse_supply_2025h1,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267ed_run267ec_04_s258_stc_2025h1_explosive_impulse_supply_2025h1.ini,true,false,5b546573,utf-8-no-bom,checked
run267ec_05_s258_stc_2025h2_explosive_impulse_supply_2025h2,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267ed_run267ec_05_s258_stc_2025h2_explosive_impulse_supply_2025h2.ini,true,false,5b546573,utf-8-no-bom,checked
run267ec_06_s264_aih_validation_anchor_integrity_validation_is,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267ed_run267ec_06_s264_aih_validation_anchor_integrity_validation_is.ini,true,false,5b546573,utf-8-no-bom,checked
run267ec_07_s264_aih_202604_counter_shock_rebuild_202604,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267ed_run267ec_07_s264_aih_202604_counter_shock_rebuild_202604.ini,true,false,5b546573,utf-8-no-bom,checked
run267ec_08_s264_lc_202604_counter_shock_control_202604,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267ed_run267ec_08_s264_lc_202604_counter_shock_control_202604.ini,true,false,5b546573,utf-8-no-bom,checked
run267ec_09_s264_aih_validation_explosive_counter_impulse_validation_is,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267ed_run267ec_09_s264_aih_validation_explosive_counter_impulse_validation_is.ini,true,false,5b546573,utf-8-no-bom,checked
run267ec_10_s264_aih_202604_explosive_counter_impulse_202604,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267ed_run267ec_10_s264_aih_202604_explosive_counter_impulse_202604.ini,true,false,5b546573,utf-8-no-bom,checked
run267ec_11_s262_lih_validation_coverage_rejoin_validation_is,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267ed_run267ec_11_s262_lih_validation_coverage_rejoin_validation_is.ini,true,false,5b546573,utf-8-no-bom,checked
run267ec_12_s262_lih_202604_coverage_rejoin_202604,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267ed_run267ec_12_s262_lih_202604_coverage_rejoin_202604.ini,true,false,5b546573,utf-8-no-bom,checked
run267ec_13_s264_aia_validation_coverage_rejoin_validation_is,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267ed_run267ec_13_s264_aia_validation_coverage_rejoin_validation_is.ini,true,false,5b546573,utf-8-no-bom,checked
run267ec_14_s264_aia_202604_coverage_rejoin_202604,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267ed_run267ec_14_s264_aia_202604_coverage_rejoin_202604.ini,true,false,5b546573,utf-8-no-bom,checked
