queue_order,queue_id,candidate_id,candidate_alias,test_id,feature_family,queue_lane,required_inputs,required_action,runtime_checks,stop_rule,queue_status,claim_boundary
1,run267V_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,abl_volatility_bandwidth,volatility_bandwidth,upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/p0_materialized_variant_manifest.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/orthogonal_stability_signature_matrix.csv,rebuild_feature_files_from_upstream_market_features_then_drop_or_replace_requested_family,feature_order(피처 순서);model_hash(모델 해시);set_ini_identity(설정/초기화 정체성);trade_list(거래 목록);balance_equity_curve(잔액/평가금 곡선);time_slice_KPI(시간 구간 핵심 성과 지표),do_not_start_MT5_if_variant_still_has_proxy_adapter_variant_boundary,queued_for_run267V_design_materialization_not_executed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
2,run267V_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/p0_materialized_variant_manifest.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/orthogonal_stability_signature_matrix.csv,rebuild_feature_files_from_upstream_market_features_then_drop_or_replace_requested_family,feature_order(피처 순서);model_hash(모델 해시);set_ini_identity(설정/초기화 정체성);trade_list(거래 목록);balance_equity_curve(잔액/평가금 곡선);time_slice_KPI(시간 구간 핵심 성과 지표),do_not_start_MT5_if_variant_still_has_proxy_adapter_variant_boundary,queued_for_run267V_design_materialization_not_executed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
3,run267V_03_s264_aih_rep_trend_strength_adx,s264_allow_inner_high_quarter,s264_aih,rep_trend_strength_adx,trend_strength(추세 강도),upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/p0_materialized_variant_manifest.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/orthogonal_stability_signature_matrix.csv,rebuild_feature_files_from_upstream_market_features_then_drop_or_replace_requested_family,feature_order(피처 순서);model_hash(모델 해시);set_ini_identity(설정/초기화 정체성);trade_list(거래 목록);balance_equity_curve(잔액/평가금 곡선);time_slice_KPI(시간 구간 핵심 성과 지표),do_not_start_MT5_if_variant_still_has_proxy_adapter_variant_boundary,queued_for_run267V_design_materialization_not_executed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
4,run267V_04_s264_aih_rep_volatility_atr,s264_allow_inner_high_quarter,s264_aih,rep_volatility_atr,volatility_risk(변동성 위험),upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/p0_materialized_variant_manifest.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/orthogonal_stability_signature_matrix.csv,rebuild_feature_files_from_upstream_market_features_then_drop_or_replace_requested_family,feature_order(피처 순서);model_hash(모델 해시);set_ini_identity(설정/초기화 정체성);trade_list(거래 목록);balance_equity_curve(잔액/평가금 곡선);time_slice_KPI(시간 구간 핵심 성과 지표),do_not_start_MT5_if_variant_still_has_proxy_adapter_variant_boundary,queued_for_run267V_design_materialization_not_executed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
5,run267V_05_s264_lc_abl_gate_rank_bucket,s264_lowrank_control,s264_lc,abl_gate_rank_bucket,source_feature_rank_bucket,compressed_rank_gate_direct_probe,stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/p0_materialized_variant_manifest.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/orthogonal_stability_signature_matrix.csv,materialize_direct_rank_or_gate_column_neutralization_with_new_feature_order_hash,feature_order(피처 순서);model_hash(모델 해시);set_ini_identity(설정/초기화 정체성);trade_list(거래 목록);balance_equity_curve(잔액/평가금 곡선);time_slice_KPI(시간 구간 핵심 성과 지표),do_not_start_MT5_if_variant_still_has_proxy_adapter_variant_boundary,queued_for_run267V_design_materialization_not_executed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
6,run267V_06_s264_lc_abl_gate_variant_rule,s264_lowrank_control,s264_lc,abl_gate_variant_rule,source_feature_gate,compressed_rank_gate_direct_probe,stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/p0_materialized_variant_manifest.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/orthogonal_stability_signature_matrix.csv,materialize_direct_rank_or_gate_column_neutralization_with_new_feature_order_hash,feature_order(피처 순서);model_hash(모델 해시);set_ini_identity(설정/초기화 정체성);trade_list(거래 목록);balance_equity_curve(잔액/평가금 곡선);time_slice_KPI(시간 구간 핵심 성과 지표),do_not_start_MT5_if_variant_still_has_proxy_adapter_variant_boundary,queued_for_run267V_design_materialization_not_executed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
7,run267V_07_s264_lc_abl_trend_strength_direction,s264_lowrank_control,s264_lc,abl_trend_strength_direction,trend_strength_direction,upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/p0_materialized_variant_manifest.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/orthogonal_stability_signature_matrix.csv,rebuild_feature_files_from_upstream_market_features_then_drop_or_replace_requested_family,feature_order(피처 순서);model_hash(모델 해시);set_ini_identity(설정/초기화 정체성);trade_list(거래 목록);balance_equity_curve(잔액/평가금 곡선);time_slice_KPI(시간 구간 핵심 성과 지표),do_not_start_MT5_if_variant_still_has_proxy_adapter_variant_boundary,queued_for_run267V_design_materialization_not_executed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
8,run267V_08_s264_lc_rep_trend_strength_adx,s264_lowrank_control,s264_lc,rep_trend_strength_adx,trend_strength(추세 강도),upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/p0_materialized_variant_manifest.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/orthogonal_stability_signature_matrix.csv,rebuild_feature_files_from_upstream_market_features_then_drop_or_replace_requested_family,feature_order(피처 순서);model_hash(모델 해시);set_ini_identity(설정/초기화 정체성);trade_list(거래 목록);balance_equity_curve(잔액/평가금 곡선);time_slice_KPI(시간 구간 핵심 성과 지표),do_not_start_MT5_if_variant_still_has_proxy_adapter_variant_boundary,queued_for_run267V_design_materialization_not_executed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
9,run267V_09_s264_lc_rep_volatility_atr,s264_lowrank_control,s264_lc,rep_volatility_atr,volatility_risk(변동성 위험),upstream_raw_feature_surface_rebuild,stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/p0_materialized_variant_manifest.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/orthogonal_stability_signature_matrix.csv,rebuild_feature_files_from_upstream_market_features_then_drop_or_replace_requested_family,feature_order(피처 순서);model_hash(모델 해시);set_ini_identity(설정/초기화 정체성);trade_list(거래 목록);balance_equity_curve(잔액/평가금 곡선);time_slice_KPI(시간 구간 핵심 성과 지표),do_not_start_MT5_if_variant_still_has_proxy_adapter_variant_boundary,queued_for_run267V_design_materialization_not_executed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
10,run267V_10_s262_lih_abl_gate_rank_bucket,s262_lowrank_inner_half_filter,s262_lih,abl_gate_rank_bucket,source_feature_rank_bucket,compressed_rank_gate_direct_probe,stages/267_adapter_research__baseline_candidate_racing_protocol/01_inputs/baseline_candidate_pool.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/p0_materialized_variant_manifest.csv;stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267T/pool_wide_orthogonal_stability_mt5_attempts/orthogonal_stability_signature_matrix.csv,materialize_direct_rank_or_gate_column_neutralization_with_new_feature_order_hash,feature_order(피처 순서);model_hash(모델 해시);set_ini_identity(설정/초기화 정체성);trade_list(거래 목록);balance_equity_curve(잔액/평가금 곡선);time_slice_KPI(시간 구간 핵심 성과 지표),do_not_start_MT5_if_variant_still_has_proxy_adapter_variant_boundary,queued_for_run267V_design_materialization_not_executed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
