variant_id,variant_token,package_id,tier_scope,validation_net_profit,oos_net_profit,validation_profit_factor,oos_profit_factor,validation_trade_count,oos_trade_count,validation_equity_dd_percent,oos_equity_dd_percent,fragility_flags,survival_read,next_use
run276A_cp275A_q01_base_surface,q01_base_surface,cp275A_volatility_pullback_breakout_surface,Tier A,141.65,415.71,1.04868,1.20851,728,496,43.18,18.46,closed_balance_dd_watch;deep_slice_hole;month_hole;no_major_flag_in_this_split;pf_too_thin,pf_too_thin_not_survivor,watch_only
run276A_cp275A_q01_base_surface,q01_base_surface,cp275A_volatility_pullback_breakout_surface,Tier B,141.65,415.71,1.04868,1.20851,728,496,43.18,18.46,closed_balance_dd_watch;deep_slice_hole;month_hole;no_major_flag_in_this_split;pf_too_thin,pf_too_thin_not_survivor,watch_only
run276A_cp275A_q02_score_q70_focus,q02_score_q70_focus,cp275A_volatility_pullback_breakout_surface,Tier A,27.18,88.56,1.0103,1.04585,649,435,45.97,26.38,closed_balance_dd_watch;deep_slice_hole;month_hole;pf_too_thin;report_dd_too_high,pf_too_thin_not_survivor,watch_only
run276A_cp275A_q02_score_q70_focus,q02_score_q70_focus,cp275A_volatility_pullback_breakout_surface,Tier B,27.18,88.56,1.0103,1.04585,649,435,45.97,26.38,closed_balance_dd_watch;deep_slice_hole;month_hole;pf_too_thin;report_dd_too_high,pf_too_thin_not_survivor,watch_only
run276A_cp275A_q03_q04_distance_focus,q03_q04_distance_focus,cp275A_volatility_pullback_breakout_surface,Tier A,49.37,323.89,1.02381,1.25895,479,295,44.93,36.04,closed_balance_dd_watch;deep_slice_hole;month_hole;pf_too_thin,pf_too_thin_not_survivor,watch_only
run276A_cp275A_q03_q04_distance_focus,q03_q04_distance_focus,cp275A_volatility_pullback_breakout_surface,Tier B,49.37,323.89,1.02381,1.25895,479,295,44.93,36.04,closed_balance_dd_watch;deep_slice_hole;month_hole;pf_too_thin,pf_too_thin_not_survivor,watch_only
run276A_cp275A_q04_risk_q70_focus,q04_risk_q70_focus,cp275A_volatility_pullback_breakout_surface,Tier A,27.18,88.56,1.0103,1.04585,649,435,45.97,26.38,closed_balance_dd_watch;deep_slice_hole;month_hole;pf_too_thin;report_dd_too_high,pf_too_thin_not_survivor,watch_only
run276A_cp275A_q04_risk_q70_focus,q04_risk_q70_focus,cp275A_volatility_pullback_breakout_surface,Tier B,27.18,88.56,1.0103,1.04585,649,435,45.97,26.38,closed_balance_dd_watch;deep_slice_hole;month_hole;pf_too_thin;report_dd_too_high,pf_too_thin_not_survivor,watch_only
run276A_cp275B_q01_base_surface,q01_base_surface,cp275B_cross_asset_divergence_reversal_surface,Tier A,-158.57,-508.35,0.965327,0.82403,1570,952,80.54,101.35,closed_balance_dd_watch;deep_slice_hole;month_hole;nonpositive_net;pf_too_thin;report_dd_too_high,oos_negative_not_survivor,failure_memory
run276A_cp275B_q01_base_surface,q01_base_surface,cp275B_cross_asset_divergence_reversal_surface,Tier B,301.04,-133.62,1.07117,0.954798,1445,877,23.7,58.4,closed_balance_dd_watch;deep_slice_hole;month_hole;nonpositive_net;pf_too_thin;report_dd_too_high,oos_negative_not_survivor,failure_memory
run276A_cp275B_q02_score_q70_focus,q02_score_q70_focus,cp275B_cross_asset_divergence_reversal_surface,Tier A,79.52,-339.38,1.0206,0.893023,1280,976,43.79,92.75,closed_balance_dd_watch;deep_slice_hole;month_hole;nonpositive_net;pf_too_thin;report_dd_too_high,oos_negative_not_survivor,failure_memory
run276A_cp275B_q02_score_q70_focus,q02_score_q70_focus,cp275B_cross_asset_divergence_reversal_surface,Tier B,242.71,-136.62,1.07823,0.938031,902,552,44.34,51.89,closed_balance_dd_watch;deep_slice_hole;month_hole;nonpositive_net;pf_too_thin;report_dd_too_high,oos_negative_not_survivor,failure_memory
run276A_cp275B_q03_q04_distance_focus,q03_q04_distance_focus,cp275B_cross_asset_divergence_reversal_surface,Tier A,-172.95,-493.95,0.954624,0.765723,1154,571,63.77,99.04,closed_balance_dd_watch;deep_slice_hole;month_hole;nonpositive_net;pf_too_thin;report_dd_too_high,oos_negative_not_survivor,failure_memory
