attempt_name,artifact_slug,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown
c56_bal_sp,c56_bal,session_slice,early,45,21.62,213.21,-191.59,1.112845,0.480444,0.533333,80.93
c56_bal_sp,c56_bal,session_slice,late,12,-1.53,74.84,-76.37,0.979966,-0.1275,0.583333,47.64
c56_bal_sp,c56_bal,session_slice,mid,13,23.15,45.91,-22.76,2.017135,1.780769,0.615385,15.35
c56_plain_sp,c56_plain,session_slice,early,40,85.45,209.67,-124.22,1.687892,2.13625,0.625,48.05
c56_plain_sp,c56_plain,session_slice,late,14,49.69,89.33,-39.64,2.253532,3.549286,0.571429,28.55
c56_plain_sp,c56_plain,session_slice,mid,16,30.52,57.66,-27.14,2.124539,1.9075,0.5,10.68
m48_bal_sp,m48_bal,session_slice,early,47,54.28,216.7,-162.42,1.334195,1.154894,0.595745,48.54
m48_bal_sp,m48_bal,session_slice,late,11,39.56,86.19,-46.63,1.848381,3.596364,0.636364,26.94
m48_bal_sp,m48_bal,session_slice,mid,13,22.35,46.01,-23.66,1.944632,1.719231,0.615385,15.35
m48_plain_sp,m48_plain,session_slice,early,42,137.76,247.65,-109.89,2.253617,3.28,0.714286,48.05
m48_plain_sp,m48_plain,session_slice,late,12,-7.34,36.01,-43.35,0.830681,-0.611667,0.5,28.55
m48_plain_sp,m48_plain,session_slice,mid,15,43.0,66.83,-23.83,2.804448,2.866667,0.533333,10.68
u42_bal_sp,u42_bal,session_slice,early,45,22.01,202.58,-180.57,1.121892,0.489111,0.622222,82.33
u42_bal_sp,u42_bal,session_slice,late,12,-15.79,72.59,-88.38,0.82134,-1.315833,0.416667,46.18
u42_bal_sp,u42_bal,session_slice,mid,13,-2.23,40.74,-42.97,0.948103,-0.171538,0.461538,21.71
u42_plain_sp,u42_plain,session_slice,early,44,118.54,252.64,-134.1,1.883967,2.694091,0.704545,51.85
u42_plain_sp,u42_plain,session_slice,late,11,-23.91,42.08,-65.99,0.637672,-2.173636,0.545455,44.62
u42_plain_sp,u42_plain,session_slice,mid,17,26.15,50.26,-24.11,2.084612,1.538235,0.529412,12.16
c56_bal_sp,c56_bal,hour,16,27,-21.89,129.43,-151.32,0.85534,-0.810741,0.518519,72.84
c56_bal_sp,c56_bal,hour,17,12,53.92,76.76,-22.84,3.360771,4.493333,0.75,19.35
c56_bal_sp,c56_bal,hour,18,12,-3.51,17.49,-21.0,0.832857,-0.2925,0.416667,14.25
c56_bal_sp,c56_bal,hour,19,6,11.66,30.85,-19.19,1.607608,1.943333,0.5,15.35
c56_bal_sp,c56_bal,hour,20,8,39.42,48.26,-8.84,5.459276,4.9275,0.875,8.84
c56_bal_sp,c56_bal,hour,21,3,-2.64,31.17,-33.81,0.921917,-0.88,0.333333,33.81
c56_bal_sp,c56_bal,hour,22,2,-33.72,0,-33.72,0.0,-16.86,0.0,33.72
c56_plain_sp,c56_plain,hour,16,25,29.22,121.42,-92.2,1.31692,1.1688,0.52,31.12
c56_plain_sp,c56_plain,hour,17,12,45.09,77.11,-32.02,2.408182,3.7575,0.75,24.44
c56_plain_sp,c56_plain,hour,18,12,15.13,25.93,-10.8,2.400926,1.260833,0.583333,6.12
c56_plain_sp,c56_plain,hour,19,6,29.84,42.87,-13.03,3.2901,4.973333,0.666667,13.03
c56_plain_sp,c56_plain,hour,20,10,12.08,24.03,-11.95,2.010879,1.208,0.6,6.18
c56_plain_sp,c56_plain,hour,21,5,34.3,65.3,-31.0,2.106452,6.86,0.4,29.04
m48_bal_sp,m48_bal,hour,16,26,11.95,115.73,-103.78,1.115147,0.459615,0.576923,43.26
m48_bal_sp,m48_bal,hour,17,15,44.11,86.76,-42.65,2.034232,2.940667,0.733333,32.65
m48_bal_sp,m48_bal,hour,18,12,8.62,24.78,-16.16,1.533416,0.718333,0.5,11.11
m48_bal_sp,m48_bal,hour,19,6,7.36,30.85,-23.49,1.313325,1.226667,0.5,15.35
m48_bal_sp,m48_bal,hour,20,6,19.41,28.25,-8.84,3.195701,3.235,0.833333,8.84
m48_bal_sp,m48_bal,hour,21,5,35.45,62.53,-27.08,2.309084,7.09,0.6,21.82
m48_bal_sp,m48_bal,hour,22,1,-10.71,0,-10.71,0.0,-10.71,0.0,10.71
m48_plain_sp,m48_plain,hour,16,26,59.82,137.69,-77.87,1.768203,2.300769,0.653846,31.12
m48_plain_sp,m48_plain,hour,17,13,62.18,94.2,-32.02,2.941911,4.783077,0.769231,24.44
m48_plain_sp,m48_plain,hour,18,11,16.73,27.53,-10.8,2.549074,1.520909,0.545455,5.82
m48_plain_sp,m48_plain,hour,19,7,42.03,55.06,-13.03,4.225633,6.004286,0.714286,13.03
m48_plain_sp,m48_plain,hour,20,7,14.55,21.64,-7.09,3.052186,2.078571,0.714286,4.62
m48_plain_sp,m48_plain,hour,21,5,-21.89,14.37,-36.26,0.396304,-4.378,0.2,29.04
u42_bal_sp,u42_bal,hour,16,28,-54.86,94.55,-149.41,0.632822,-1.959286,0.5,87.6
u42_bal_sp,u42_bal,hour,17,15,67.9,99.06,-31.16,3.179076,4.526667,0.8,16.61
u42_bal_sp,u42_bal,hour,18,8,19.32,32.8,-13.48,2.433234,2.415,0.625,10.36
u42_bal_sp,u42_bal,hour,19,6,1.5,16.91,-15.41,1.097339,0.25,0.5,7.85
u42_bal_sp,u42_bal,hour,20,6,-16.42,10.43,-26.85,0.388454,-2.736667,0.333333,22.01
u42_bal_sp,u42_bal,hour,21,6,12.32,62.16,-49.84,1.247191,2.053333,0.5,44.58
u42_bal_sp,u42_bal,hour,22,1,-25.77,0,-25.77,0.0,-25.77,0.0,25.77
u42_plain_sp,u42_plain,hour,16,25,74.82,149.58,-74.76,2.000803,2.9928,0.64,31.79
u42_plain_sp,u42_plain,hour,17,16,42.2,98.3,-56.1,1.752228,2.6375,0.8125,28.17
u42_plain_sp,u42_plain,hour,18,14,3.93,17.22,-13.29,1.295711,0.280714,0.571429,5.11
u42_plain_sp,u42_plain,hour,19,5,27.05,37.8,-10.75,3.516279,5.41,0.6,10.64
u42_plain_sp,u42_plain,hour,20,6,16.05,19.36,-3.31,5.848943,2.675,0.833333,3.31
