candidate_id,artifact_slug,feature_set_id,model_id,view_id,rows,days,rows_per_day,start_timestamp,end_timestamp,decision_threshold_policy,decision_threshold,signal_rows,signal_rate,signals_per_day,pred_short,pred_flat,pred_long,signal_short,signal_long,signal_long_share,mean_max_probability,mean_probability_margin,median_probability_margin,prediction_path,signal_payload_path,stage330_role,priority
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,2070,29,71.3793103448,2026-04-14T16:35:00+00:00,2026-05-22T23:00:00+00:00,train_only_nonflat_margin_q60,0.066774521,442,0.21352657,15.2413793103,336,1210,524,181,261,0.5904977376,0.4430884219,0.1266828665,0.1055403352,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/c56_bal_raw_forward_score.parquet,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/c56_bal_raw_forward_signals.csv,medium_pressure_cost_failure_control,P2
core56_no_top3_weight_features__l2_balanced_c025,c56_bal,core56_no_top3_weight_features,l2_balanced_c025,old_session_parity,1789,29,61.6896551724,2026-04-14T16:35:00+00:00,2026-05-22T22:00:00+00:00,train_only_nonflat_margin_q60,0.066774521,421,0.2353269983,14.5172413793,298,975,516,162,259,0.6152019002,0.4346879154,0.1131280071,0.0950935483,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/c56_bal_old_session_parity_score.parquet,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/c56_bal_old_session_parity_signals.csv,medium_pressure_cost_failure_control,P2
core56_no_top3_weight_features__l2_plain_c025,c56_plain,core56_no_top3_weight_features,l2_plain_c025,raw_forward,2070,29,71.3793103448,2026-04-14T16:35:00+00:00,2026-05-22T23:00:00+00:00,train_only_nonflat_margin_q60,0.0709693722,486,0.2347826087,16.7586206897,223,1122,725,89,397,0.816872428,0.4458684253,0.1244180374,0.1071786135,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/c56_plain_raw_forward_score.parquet,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/c56_plain_raw_forward_signals.csv,low_pressure_control_seed_not_selection,P1
core56_no_top3_weight_features__l2_plain_c025,c56_plain,core56_no_top3_weight_features,l2_plain_c025,old_session_parity,1789,29,61.6896551724,2026-04-14T16:35:00+00:00,2026-05-22T22:00:00+00:00,train_only_nonflat_margin_q60,0.0709693722,472,0.2638345444,16.275862069,192,890,707,80,392,0.8305084746,0.4386923183,0.1124403913,0.097756803,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/c56_plain_old_session_parity_score.parquet,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/c56_plain_old_session_parity_signals.csv,low_pressure_control_seed_not_selection,P1
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,macro48_no_equity_breadth_or_top3,l2_balanced_c025,raw_forward,5484,29,189.1034482759,2026-04-14T03:05:00+00:00,2026-05-22T23:55:00+00:00,train_only_nonflat_margin_q60,0.0660109267,2341,0.4268781911,80.724137931,639,2195,2650,336,2005,0.8564715933,0.4880869384,0.190665998,0.1430267245,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/m48_bal_raw_forward_score.parquet,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/m48_bal_raw_forward_signals.csv,high_pressure_negative_control,P3
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,macro48_no_equity_breadth_or_top3,l2_balanced_c025,old_session_parity,1789,29,61.6896551724,2026-04-14T16:35:00+00:00,2026-05-22T22:00:00+00:00,train_only_nonflat_margin_q60,0.0660109267,412,0.2302962549,14.2068965517,299,982,508,167,245,0.5946601942,0.434237514,0.1128968001,0.0964138806,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/m48_bal_old_session_parity_score.parquet,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/m48_bal_old_session_parity_signals.csv,high_pressure_negative_control,P3
macro48_no_equity_breadth_or_top3__l2_plain_c025,m48_plain,macro48_no_equity_breadth_or_top3,l2_plain_c025,raw_forward,5484,29,189.1034482759,2026-04-14T03:05:00+00:00,2026-05-22T23:55:00+00:00,train_only_nonflat_margin_q60,0.0707880876,2562,0.4671772429,88.3448275862,385,2063,3036,160,2402,0.93754879,0.5006199888,0.2088050804,0.169633165,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/m48_plain_raw_forward_score.parquet,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/m48_plain_raw_forward_signals.csv,high_pressure_negative_control,P2
macro48_no_equity_breadth_or_top3__l2_plain_c025,m48_plain,macro48_no_equity_breadth_or_top3,l2_plain_c025,old_session_parity,1789,29,61.6896551724,2026-04-14T16:35:00+00:00,2026-05-22T22:00:00+00:00,train_only_nonflat_margin_q60,0.0707880876,458,0.2560089435,15.7931034483,196,906,687,77,381,0.8318777293,0.4378401821,0.1116060079,0.0986325741,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/m48_plain_old_session_parity_score.parquet,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/m48_plain_old_session_parity_signals.csv,high_pressure_negative_control,P2
us100_technical42_no_external__l2_balanced_c025,u42_bal,us100_technical42_no_external,l2_balanced_c025,raw_forward,7649,35,218.5428571429,2026-04-14T01:05:00+00:00,2026-05-23T00:00:00+00:00,train_only_nonflat_margin_q60,0.0616029815,3099,0.4051510001,88.5428571429,651,3634,3364,367,2732,0.8815747015,0.5208021362,0.2420172834,0.1872936487,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/u42_bal_raw_forward_score.parquet,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/u42_bal_raw_forward_signals.csv,high_pressure_negative_control,P3
us100_technical42_no_external__l2_balanced_c025,u42_bal,us100_technical42_no_external,l2_balanced_c025,old_session_parity,1914,29,66.0,2026-04-14T16:35:00+00:00,2026-05-22T22:00:00+00:00,train_only_nonflat_margin_q60,0.0616029815,401,0.2095088819,13.8275862069,316,1112,486,177,224,0.5586034913,0.4338869747,0.112457204,0.098002106,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/predictions/u42_bal_old_session_parity_score.parquet,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/u42_bal_old_session_parity_signals.csv,high_pressure_negative_control,P3
