attempt_name,artifact_slug,chunk_type,chunk_id,start_time,end_time,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown,source_run_id,stage330_reference_boundary,view_id
c56_bal_sp,c56_bal,thirds,third_1,2026-04-14 17:50:00,2026-04-30 17:35:00,24,-27.37,87.77,-115.14,0.762289,-1.140417,0.416667,80.24,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
c56_bal_sp,c56_bal,thirds,third_2,2026-04-30 18:45:00,2026-05-15 18:15:00,24,105.14,146.28,-41.14,3.555664,4.380833,0.75,15.71,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
c56_bal_sp,c56_bal,thirds,third_3,2026-05-15 19:15:00,2026-05-22 17:40:00,22,-34.53,99.91,-134.44,0.743157,-1.569545,0.5,59.51,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
c56_bal_sp,c56_bal,rolling_worst_net,rolling_20_start_3,2026-04-15 17:45:00,2026-04-29 17:35:00,20,-25.66,73.86,-99.52,0.742162,-1.283,0.4,64.62,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
c56_plain_sp,c56_plain,thirds,third_1,2026-04-14 18:05:00,2026-04-30 20:45:00,24,29.9,83.28,-53.38,1.560135,1.245833,0.541667,30.37,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
c56_plain_sp,c56_plain,thirds,third_2,2026-05-01 17:40:00,2026-05-15 19:35:00,24,167.62,190.46,-22.84,8.338879,6.984167,0.75,11.22,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
c56_plain_sp,c56_plain,thirds,third_3,2026-05-15 20:45:00,2026-05-22 17:40:00,22,-31.86,82.92,-114.78,0.722426,-1.448182,0.454545,40.92,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
c56_plain_sp,c56_plain,rolling_worst_net,rolling_20_start_51,2026-05-18 18:20:00,2026-05-22 17:40:00,20,-37.07,68.55,-105.62,0.649025,-1.8535,0.45,40.92,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
m48_bal_sp,m48_bal,thirds,third_1,2026-04-14 17:40:00,2026-04-30 18:45:00,24,5.44,97.29,-91.85,1.059227,0.226667,0.5,42.06,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
m48_bal_sp,m48_bal,thirds,third_2,2026-04-30 19:55:00,2026-05-15 17:20:00,24,92.88,142.51,-49.63,2.871449,3.87,0.708333,27.61,run329F_forward_mt5_kpi_regime_cost_curve_review_v1,session_parity_mt5_reference_only_raw_forward_mt5_not_claimed,old_session_parity
