queue_id,thesis_id,source_artifact,scoring_mode,control_queue_id,net_delta_vs_control,pf_delta_vs_control,dd_delta_vs_control,trade_count_delta_vs_control,cost2_pf,control_cost2_pf,rolling20_min_net,rolling40_min_net,comparison_boundary
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,control_no_veto,pv_c56_volatility_cost_shape_sentry__control_no_veto,0.0,0.0,0.0,0,1.254909459,1.254909459,-25.5,88.045,proxy_delta_only_not_candidate_selection
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,hard_veto,pv_c56_volatility_cost_shape_sentry__control_no_veto,-12.94,-0.0662847826,-0.0,-3,1.2332027861,1.254909459,-13.695,89.1,proxy_delta_only_not_candidate_selection
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,soft_veto,pv_c56_volatility_cost_shape_sentry__control_no_veto,0.0,0.0,0.0,0,1.254909459,1.254909459,-25.5,88.045,proxy_delta_only_not_candidate_selection
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,c56_plain,negative_control,pv_c56_volatility_cost_shape_sentry__control_no_veto,0.0,0.0,0.0,0,1.254909459,1.254909459,-25.5,88.045,proxy_delta_only_not_candidate_selection
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,c56_plain,control_no_veto,pv_c56_session_liquidity_veto__control_no_veto,0.0,0.0,0.0,0,1.254909459,1.254909459,-25.5,88.045,proxy_delta_only_not_candidate_selection
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,c56_plain,hard_veto,pv_c56_session_liquidity_veto__control_no_veto,-6.26,0.0803207386,0.0,-5,1.2961364974,1.254909459,-4.41,98.035,proxy_delta_only_not_candidate_selection
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,c56_plain,soft_veto,pv_c56_session_liquidity_veto__control_no_veto,0.0,0.0,0.0,0,1.254909459,1.254909459,-25.5,88.045,proxy_delta_only_not_candidate_selection
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,c56_plain,negative_control,pv_c56_session_liquidity_veto__control_no_veto,27.425,0.4989653994,-10.31,-1,1.4574123273,1.254909459,-21.2,83.27,proxy_delta_only_not_candidate_selection
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,m48_plain,control_no_veto,pv_m48_macro_rate_volatility_guard__control_no_veto,0.0,0.0,0.0,0,0.5079546927,0.5079546927,-51.775,-77.7,proxy_delta_only_not_candidate_selection
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,m48_plain,hard_veto,pv_m48_macro_rate_volatility_guard__control_no_veto,51.395,0.1077287088,-32.2,-4,0.5413248933,0.5079546927,-51.775,-38.5,proxy_delta_only_not_candidate_selection
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,m48_plain,soft_veto,pv_m48_macro_rate_volatility_guard__control_no_veto,0.0,0.0,0.0,0,0.5079546927,0.5079546927,-51.775,-77.7,proxy_delta_only_not_candidate_selection
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,m48_plain,negative_control,pv_m48_macro_rate_volatility_guard__control_no_veto,-1.465,-0.0022845826,0.0,0,0.5072787021,0.5079546927,-51.775,-77.7,proxy_delta_only_not_candidate_selection
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,m48_plain,control_no_veto,pv_m48_breadth_reintroduction_control__control_no_veto,0.0,0.0,0.0,0,0.5079546927,0.5079546927,-51.775,-77.7,proxy_delta_only_not_candidate_selection
pv_m48_breadth_reintroduction_control__hard_veto,pv_m48_breadth_reintroduction_control,m48_plain,hard_veto,pv_m48_breadth_reintroduction_control__control_no_veto,21.165,0.953696397,-62.55,-240,1.1558285446,0.5079546927,-13.81,87.825,proxy_delta_only_not_candidate_selection
pv_m48_breadth_reintroduction_control__soft_veto,pv_m48_breadth_reintroduction_control,m48_plain,soft_veto,pv_m48_breadth_reintroduction_control__control_no_veto,110.465,1.3708848204,-67.95,-226,1.4200325032,0.5079546927,11.24,121.11,proxy_delta_only_not_candidate_selection
