queue_id,thesis_id,guard_family,source_artifact,scoring_mode,extra_cost_per_round_trip_account_ccy,trade_count,net_profit_after_cost,profit_factor_after_cost,expectancy_after_cost,max_drawdown_after_cost,survives_pf_ge_1,stress_boundary
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,control_no_veto,0.0,76,208.66,2.2885416988,2.7455263158,39.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,control_no_veto,0.25,76,189.66,2.1216843599,2.4955263158,40.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,control_no_veto,0.5,76,170.66,1.9678169393,2.2455263158,41.35,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,control_no_veto,1.0,76,132.66,1.6947914212,1.7455263158,50.4,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,control_no_veto,2.0,76,56.66,1.254909459,0.7455263158,69.4,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,control_no_veto,3.0,76,-19.34,0.9247031341,-0.2544736842,88.4,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,control_no_veto,5.0,76,-171.34,0.4975219215,-2.2544736842,175.905,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,hard_veto,0.0,73,195.72,2.2222569163,2.6810958904,39.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,hard_veto,0.25,73,177.47,2.066654646,2.4310958904,40.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,hard_veto,0.5,73,159.22,1.9212520974,2.1810958904,41.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,hard_veto,1.0,73,122.72,1.6602108887,1.6810958904,43.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,hard_veto,2.0,73,49.72,1.2332027861,0.6810958904,53.695,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,hard_veto,3.0,73,-23.28,0.904543218,-0.3189041096,75.945,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,hard_veto,5.0,73,-169.28,0.4773776262,-2.3189041096,174.745,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,soft_veto,0.0,76,208.66,2.2885416988,2.7455263158,39.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,soft_veto,0.25,76,189.66,2.1216843599,2.4955263158,40.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,soft_veto,0.5,76,170.66,1.9678169393,2.2455263158,41.35,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,soft_veto,1.0,76,132.66,1.6947914212,1.7455263158,50.4,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,soft_veto,2.0,76,56.66,1.254909459,0.7455263158,69.4,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,soft_veto,3.0,76,-19.34,0.9247031341,-0.2544736842,88.4,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,soft_veto,5.0,76,-171.34,0.4975219215,-2.2544736842,175.905,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,negative_control,0.0,76,208.66,2.2885416988,2.7455263158,39.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,negative_control,0.25,76,189.66,2.1216843599,2.4955263158,40.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,negative_control,0.5,76,170.66,1.9678169393,2.2455263158,41.35,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,negative_control,1.0,76,132.66,1.6947914212,1.7455263158,50.4,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,negative_control,2.0,76,56.66,1.254909459,0.7455263158,69.4,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
