queue_id,thesis_id,source_artifact,scoring_mode,signal_rows,proxy_trade_count,missing_bar_rows,skipped_during_hold_rows,signal_to_proxy_trade_compression,coverage_judgment
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,control_no_veto,486,76,0,410,6.3947368421,usable_proxy_coverage
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,hard_veto,434,73,0,361,5.9452054795,usable_proxy_coverage
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,soft_veto,486,76,0,410,6.3947368421,usable_proxy_coverage
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,c56_plain,negative_control,484,76,0,408,6.3684210526,usable_proxy_coverage
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,c56_plain,control_no_veto,486,76,0,410,6.3947368421,usable_proxy_coverage
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,c56_plain,hard_veto,468,71,0,397,6.5915492958,usable_proxy_coverage
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,c56_plain,soft_veto,486,76,0,410,6.3947368421,usable_proxy_coverage
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,c56_plain,negative_control,418,75,0,343,5.5733333333,usable_proxy_coverage
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,m48_plain,control_no_veto,2562,299,0,2263,8.5685618729,usable_proxy_coverage
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,m48_plain,hard_veto,2414,295,0,2119,8.1830508475,usable_proxy_coverage
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,m48_plain,soft_veto,2562,299,0,2263,8.5685618729,usable_proxy_coverage
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,m48_plain,negative_control,2535,299,0,2236,8.4782608696,usable_proxy_coverage
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,m48_plain,control_no_veto,2562,299,0,2263,8.5685618729,usable_proxy_coverage
pv_m48_breadth_reintroduction_control__hard_veto,pv_m48_breadth_reintroduction_control,m48_plain,hard_veto,313,59,0,254,5.3050847458,usable_proxy_coverage
pv_m48_breadth_reintroduction_control__soft_veto,pv_m48_breadth_reintroduction_control,m48_plain,soft_veto,473,73,0,400,6.4794520548,usable_proxy_coverage
