branch_id,branch_name,forbidden_claims_absent,forbidden_findings,queue_required_checks,claim_boundary,forbidden_review_status
run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,true,[],"[""payload_exists"", ""source_bindings_bound"", ""negative_controls_present"", ""stop_conditions_present"", ""tier_views_present"", ""runtime_gates_present_or_out_of_scope"", ""forbidden_claims_absent""]",research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,passed
run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,true,[],"[""payload_exists"", ""source_bindings_bound"", ""negative_controls_present"", ""stop_conditions_present"", ""tier_views_present"", ""runtime_gates_present_or_out_of_scope"", ""forbidden_claims_absent""]",research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,passed
run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,true,[],"[""payload_exists"", ""source_bindings_bound"", ""negative_controls_present"", ""stop_conditions_present"", ""tier_views_present"", ""runtime_gates_present_or_out_of_scope"", ""forbidden_claims_absent""]",research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,passed
run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,true,[],"[""payload_exists"", ""source_bindings_bound"", ""negative_controls_present"", ""stop_conditions_present"", ""tier_views_present"", ""runtime_gates_present_or_out_of_scope"", ""forbidden_claims_absent""]",research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,passed
run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,true,[],"[""payload_exists"", ""source_bindings_bound"", ""negative_controls_present"", ""stop_conditions_present"", ""tier_views_present"", ""runtime_gates_present_or_out_of_scope"", ""forbidden_claims_absent""]",research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,passed
run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,true,[],"[""payload_exists"", ""source_bindings_bound"", ""negative_controls_present"", ""stop_conditions_present"", ""tier_views_present"", ""runtime_gates_present_or_out_of_scope"", ""forbidden_claims_absent""]",research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,passed
run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,true,[],"[""payload_exists"", ""source_bindings_bound"", ""negative_controls_present"", ""stop_conditions_present"", ""tier_views_present"", ""runtime_gates_present_or_out_of_scope"", ""forbidden_claims_absent""]",research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,passed
run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,true,[],"[""payload_exists"", ""source_bindings_bound"", ""negative_controls_present"", ""stop_conditions_present"", ""tier_views_present"", ""runtime_gates_present_or_out_of_scope"", ""forbidden_claims_absent""]",research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,passed
run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,true,[],"[""payload_exists"", ""source_bindings_bound"", ""negative_controls_present"", ""stop_conditions_present"", ""tier_views_present"", ""runtime_gates_present_or_out_of_scope"", ""forbidden_claims_absent""]",research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,passed
run335C_b10_subject_swap_negative_control,subject_swap_negative_control,true,[],"[""payload_exists"", ""source_bindings_bound"", ""negative_controls_present"", ""stop_conditions_present"", ""tier_views_present"", ""runtime_gates_present_or_out_of_scope"", ""forbidden_claims_absent""]",research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,passed
