protocol_id,branch_id,branch_name,environment_preflight_passed,runtime_gate_rows,mt5_schema_status_from_parent,parent_mt5_result_available,parent_comparison_status,run335I_mt5_design_status,runtime_attempt_materialization_required,minimum_runtime_artifacts_required,command_blueprint,blocker_if_not_materialized,claim_effect,claim_boundary
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,true,0,not_executed_out_of_scope_by_claim_materialization_only,false,not_ready_missing_proxy_expected_and_mt5_runtime_probe,design_ready_but_runtime_attempt_materialization_required_before_execution,true,"[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]",python stage_pipelines/stage335/materialize_proxy_mt5_comparison.py,missing_branch_specific_set_ini_feature_model_or_signal_handoff,no MT5 usability or Forward Passed/Failed claim in run335I,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,true,0,not_executed_out_of_scope_by_claim_materialization_only,false,not_ready_missing_proxy_expected_and_mt5_runtime_probe,design_ready_but_runtime_attempt_materialization_required_before_execution,true,"[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]",python stage_pipelines/stage335/materialize_proxy_mt5_comparison.py,missing_branch_specific_set_ini_feature_model_or_signal_handoff,no MT5 usability or Forward Passed/Failed claim in run335I,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,true,0,not_executed_out_of_scope_by_claim_materialization_only,false,not_ready_missing_proxy_expected_and_mt5_runtime_probe,design_ready_but_runtime_attempt_materialization_required_before_execution,true,"[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]",python stage_pipelines/stage335/materialize_proxy_mt5_comparison.py,missing_branch_specific_set_ini_feature_model_or_signal_handoff,no MT5 usability or Forward Passed/Failed claim in run335I,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,true,0,not_executed_out_of_scope_by_claim_materialization_only,false,not_ready_missing_proxy_expected_and_mt5_runtime_probe,design_ready_but_runtime_attempt_materialization_required_before_execution,true,"[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]",python stage_pipelines/stage335/materialize_proxy_mt5_comparison.py,missing_branch_specific_set_ini_feature_model_or_signal_handoff,no MT5 usability or Forward Passed/Failed claim in run335I,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,true,0,not_executed_out_of_scope_by_claim_materialization_only,false,not_ready_missing_proxy_expected_and_mt5_runtime_probe,design_ready_but_runtime_attempt_materialization_required_before_execution,true,"[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]",python stage_pipelines/stage335/materialize_proxy_mt5_comparison.py,missing_branch_specific_set_ini_feature_model_or_signal_handoff,no MT5 usability or Forward Passed/Failed claim in run335I,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,true,5,not_executed_out_of_scope_by_claim_materialization_only,false,not_ready_missing_proxy_expected_and_mt5_runtime_probe,design_ready_but_runtime_attempt_materialization_required_before_execution,true,"[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]",python stage_pipelines/stage335/materialize_proxy_mt5_comparison.py,missing_branch_specific_set_ini_feature_model_or_signal_handoff,no MT5 usability or Forward Passed/Failed claim in run335I,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,true,5,not_executed_out_of_scope_by_claim_materialization_only,false,not_ready_missing_proxy_expected_and_mt5_runtime_probe,design_ready_but_runtime_attempt_materialization_required_before_execution,true,"[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]",python stage_pipelines/stage335/materialize_proxy_mt5_comparison.py,missing_branch_specific_set_ini_feature_model_or_signal_handoff,no MT5 usability or Forward Passed/Failed claim in run335I,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,true,0,not_executed_out_of_scope_by_claim_materialization_only,false,not_ready_missing_proxy_expected_and_mt5_runtime_probe,design_ready_but_runtime_attempt_materialization_required_before_execution,true,"[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]",python stage_pipelines/stage335/materialize_proxy_mt5_comparison.py,missing_branch_specific_set_ini_feature_model_or_signal_handoff,no MT5 usability or Forward Passed/Failed claim in run335I,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,true,0,not_executed_out_of_scope_by_claim_materialization_only,false,not_ready_missing_proxy_expected_and_mt5_runtime_probe,design_ready_but_runtime_attempt_materialization_required_before_execution,true,"[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]",python stage_pipelines/stage335/materialize_proxy_mt5_comparison.py,missing_branch_specific_set_ini_feature_model_or_signal_handoff,no MT5 usability or Forward Passed/Failed claim in run335I,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,true,5,not_executed_out_of_scope_by_claim_materialization_only,false,not_ready_missing_proxy_expected_and_mt5_runtime_probe,design_ready_but_runtime_attempt_materialization_required_before_execution,true,"[""MT5 tester .ini"", ""EA .set"", ""feature/model/signal handoff identity"", ""Strategy Tester HTML report"", ""runtime telemetry CSV"", ""settings and cost identity""]",python stage_pipelines/stage335/materialize_proxy_mt5_comparison.py,missing_branch_specific_set_ini_feature_model_or_signal_handoff,no MT5 usability or Forward Passed/Failed claim in run335I,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
