dimension,row_count,numeric_pair_count,old_proxy_unique_values,mt5_runtime_unique_values,branch_specific_scout_unique_values,old_proxy_mean_abs_delta_vs_mt5,old_proxy_max_abs_delta_vs_mt5,old_proxy_mean_abs_delta_vs_scout,scout_mean_abs_delta_vs_mt5,sign_agreement_rate_old_proxy_vs_mt5,shared_attempt_rows,old_proxy_repeated_aggregate,old_proxy_blocked,selection_blocked,forward_decision_blocked,review_decision,claim_boundary
curve_pocket,66,66,1,6,6,11.1144444444,30.6366666667,11.1144444444,0,1,66,true,true,true,true,old_proxy_rejected_scout_diagnostic_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
expectancy,66,66,1,6,6,0.578394379389,1.31987012987,0.578394379389,0,1,66,true,true,true,true,old_proxy_rejected_scout_diagnostic_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
long_short_attribution,66,0,1,6,0,,,,,,66,true,true,true,true,context_only_nonnumeric_proxy_rejected,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
lot_normalized_result,66,66,1,6,6,1002.10680544,1007.80666667,1002.10680544,0,1,66,true,true,true,true,old_proxy_rejected_scout_diagnostic_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
max_drawdown,66,66,1,6,6,26.6366666667,49.775,32.5883333333,10.785,1,66,true,true,true,true,old_proxy_rejected_scout_diagnostic_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
net_profit,66,66,1,6,6,78.15,169.08,78.15,0,1,66,true,true,true,true,old_proxy_rejected_scout_diagnostic_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
profit_factor,66,66,1,6,6,0.22791898051,0.43536184859,0.22791898051,0,1,66,true,true,true,true,old_proxy_rejected_scout_diagnostic_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
recovery_factor,66,66,1,6,6,1.06444444443,2.2816666667,1.24225996525,0.230662557984,1,66,true,true,true,true,old_proxy_rejected_scout_diagnostic_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_hour_regime,66,0,1,1,0,,,,,,66,true,true,true,true,context_only_nonnumeric_proxy_rejected,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
spread_slippage_stress,66,66,1,6,6,224.5,418.26,336.75,112.25,0.666666666667,66,true,true,true,true,old_proxy_rejected_scout_diagnostic_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
trades_per_day,66,66,1,6,6,2.18185892239,5.22134421325,2.18185892239,0,1,66,true,true,true,true,old_proxy_rejected_scout_diagnostic_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
underwater_stretch,66,66,1,6,6,116.179484599,312.512817932,116.179484599,0,1,66,true,true,true,true,old_proxy_rejected_scout_diagnostic_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
