time_open_unix,time_close_unix,contract_symbol,broker_symbol,timeframe,price_basis,open,high,low,close,tick_volume,spread_points,real_volume,time_basis,timezone_status
1776184200,1776184500,TSLA,TSLA.xnas,M5,Bid,357.04,361.1,356.87,359.72,900,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776184500,1776184800,TSLA,TSLA.xnas,M5,Bid,359.64,359.8,356.71,356.78,940,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776184800,1776185100,TSLA,TSLA.xnas,M5,Bid,356.78,359.6,356.76,358.45,939,7,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776185100,1776185400,TSLA,TSLA.xnas,M5,Bid,358.37,360.86,358.33,360.73,900,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776185400,1776185700,TSLA,TSLA.xnas,M5,Bid,360.74,361.02,359.5,359.82,950,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776185700,1776186000,TSLA,TSLA.xnas,M5,Bid,359.78,359.85,358.49,358.91,723,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776186000,1776186300,TSLA,TSLA.xnas,M5,Bid,358.91,359.55,358.21,358.31,812,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776186300,1776186600,TSLA,TSLA.xnas,M5,Bid,358.27,359.7,357.84,359.54,722,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776186600,1776186900,TSLA,TSLA.xnas,M5,Bid,359.55,359.92,358.98,359.39,648,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776186900,1776187200,TSLA,TSLA.xnas,M5,Bid,359.4,360.09,358.87,359.51,662,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1776187200,1776187500,TSLA,TSLA.xnas,M5,Bid,359.53,362.61,359.51,362.49,837,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
