stage_id,run_id,parent_run_id,run_date,status,judgment,decision,next_run_id,primary_artifact,report_path,gate_passes,gate_total,claim_boundary,view,tier,metric_scope,candidate_model_id,net_profit,profit_factor,drawdown,recovery_factor,trade_count,result_status,sample_rows,feature_count,matched_rows,expectancy,attempt_count
338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair,run338A_branch_stage337_to_runtime_trade_lifecycle_repair_without_db_v1,run337JR_review_runtime_positive_low_pf_recovery_drawdown_dual_probe_repair_mt5_runtime_probe_or_repair_without_db_v1,2026-06-01,completed_stage338A_branch_from_stage337_runtime_trade_lifecycle_repair_scaffolded,stage_branch_completed_stage337_too_heavy_topic_pivot_to_runtime_trade_lifecycle_repair,stage338A_open_run338B_design_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair,run338B_design_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_without_db_v1,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/02_runs/run338A/final_decision.json,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/03_reviews/run338A_stage_branch_from_stage337_runtime_trade_lifecycle_repair.md,7,7,state_sync_stage_branch_only_no_model_selection_no_training_no_mt5_execution_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,stage_branch_handoff,jn_jl_jk006_cost_stress_buffer_extratrees,-191.49,0.92,330.36,-0.58,968.0,stage_branch_completed_stage337_too_heavy_topic_pivot_to_runtime_trade_lifecycle_repair,,,,,
338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair,run338A_branch_stage337_to_runtime_trade_lifecycle_repair_without_db_v1,run337JR_review_runtime_positive_low_pf_recovery_drawdown_dual_probe_repair_mt5_runtime_probe_or_repair_without_db_v1,2026-06-01,completed_stage338A_branch_from_stage337_runtime_trade_lifecycle_repair_scaffolded,stage_branch_completed_stage337_too_heavy_topic_pivot_to_runtime_trade_lifecycle_repair,stage338A_open_run338B_design_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair,run338B_design_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_without_db_v1,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/02_runs/run338A/final_decision.json,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/03_reviews/run338A_stage_branch_from_stage337_runtime_trade_lifecycle_repair.md,7,7,state_sync_stage_branch_only_no_model_selection_no_training_no_mt5_execution_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,,,,,,,missing_required,,,,,
338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair,run338A_branch_stage337_to_runtime_trade_lifecycle_repair_without_db_v1,run337JR_review_runtime_positive_low_pf_recovery_drawdown_dual_probe_repair_mt5_runtime_probe_or_repair_without_db_v1,2026-06-01,completed_stage338A_branch_from_stage337_runtime_trade_lifecycle_repair_scaffolded,stage_branch_completed_stage337_too_heavy_topic_pivot_to_runtime_trade_lifecycle_repair,stage338A_open_run338B_design_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair,run338B_design_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_without_db_v1,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/02_runs/run338A/final_decision.json,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/03_reviews/run338A_stage_branch_from_stage337_runtime_trade_lifecycle_repair.md,7,7,state_sync_stage_branch_only_no_model_selection_no_training_no_mt5_execution_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,missing_required,,,,,,,missing_required,,,,,
338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair,run338B_design_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_without_db_v1,run338A_branch_stage337_to_runtime_trade_lifecycle_repair_without_db_v1,2026-06-01,completed_stage338B_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_design_no_training_no_selection,trade_lifecycle_repair_design_opened_from_valid_negative_runtime_probe_no_selection,stage338B_open_run338C_materialize_runtime_trade_lifecycle_repair_inputs,run338C_materialize_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_inputs_without_db_v1,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/02_runs/run338B/final_decision.json,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/03_reviews/run338B_runtime_trade_lifecycle_repair_design.md,9,9,research_development_design_only_no_model_training_no_threshold_tuning_no_lot_optimization_no_candidate_selection_no_mt5_execution_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,experiment_design,,,,,,,trade_lifecycle_repair_design_opened_from_valid_negative_runtime_probe_no_selection,,,,,
338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair,run338B_design_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_without_db_v1,run338A_branch_stage337_to_runtime_trade_lifecycle_repair_without_db_v1,2026-06-01,completed_stage338B_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_design_no_training_no_selection,trade_lifecycle_repair_design_opened_from_valid_negative_runtime_probe_no_selection,stage338B_open_run338C_materialize_runtime_trade_lifecycle_repair_inputs,run338C_materialize_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_inputs_without_db_v1,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/02_runs/run338B/final_decision.json,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/03_reviews/run338B_runtime_trade_lifecycle_repair_design.md,9,9,research_development_design_only_no_model_training_no_threshold_tuning_no_lot_optimization_no_candidate_selection_no_mt5_execution_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,,,,,,,missing_required,,,,,
338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair,run338B_design_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_without_db_v1,run338A_branch_stage337_to_runtime_trade_lifecycle_repair_without_db_v1,2026-06-01,completed_stage338B_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_design_no_training_no_selection,trade_lifecycle_repair_design_opened_from_valid_negative_runtime_probe_no_selection,stage338B_open_run338C_materialize_runtime_trade_lifecycle_repair_inputs,run338C_materialize_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_inputs_without_db_v1,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/02_runs/run338B/final_decision.json,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/03_reviews/run338B_runtime_trade_lifecycle_repair_design.md,9,9,research_development_design_only_no_model_training_no_threshold_tuning_no_lot_optimization_no_candidate_selection_no_mt5_execution_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,missing_required,,,,,,,missing_required,,,,,
338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair,run338C_materialize_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_inputs_without_db_v1,run338B_design_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_without_db_v1,2026-06-01,completed_stage338C_runtime_trade_lifecycle_repair_inputs_materialized_no_training_no_selection,timestamp_safe_trade_lifecycle_repair_inputs_materialized_review_required_no_selection,stage338C_open_run338D_review_runtime_trade_lifecycle_repair_inputs,run338D_review_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_inputs_without_db_v1,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/02_runs/run338C/final_decision.json,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/03_reviews/run338C_runtime_trade_lifecycle_repair_inputs.md,10,10,research_development_input_materialization_only_no_model_training_no_threshold_tuning_no_lot_optimization_no_candidate_selection_no_mt5_execution_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,input_materialization,,,,,,,timestamp_safe_trade_lifecycle_repair_inputs_materialized_review_required_no_selection,87666.0,56.0,,,
338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair,run338C_materialize_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_inputs_without_db_v1,run338B_design_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_without_db_v1,2026-06-01,completed_stage338C_runtime_trade_lifecycle_repair_inputs_materialized_no_training_no_selection,timestamp_safe_trade_lifecycle_repair_inputs_materialized_review_required_no_selection,stage338C_open_run338D_review_runtime_trade_lifecycle_repair_inputs,run338D_review_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_inputs_without_db_v1,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/02_runs/run338C/final_decision.json,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/03_reviews/run338C_runtime_trade_lifecycle_repair_inputs.md,10,10,research_development_input_materialization_only_no_model_training_no_threshold_tuning_no_lot_optimization_no_candidate_selection_no_mt5_execution_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,,,,,,,missing_required,,,,,
338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair,run338C_materialize_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_inputs_without_db_v1,run338B_design_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_without_db_v1,2026-06-01,completed_stage338C_runtime_trade_lifecycle_repair_inputs_materialized_no_training_no_selection,timestamp_safe_trade_lifecycle_repair_inputs_materialized_review_required_no_selection,stage338C_open_run338D_review_runtime_trade_lifecycle_repair_inputs,run338D_review_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_inputs_without_db_v1,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/02_runs/run338C/final_decision.json,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/03_reviews/run338C_runtime_trade_lifecycle_repair_inputs.md,10,10,research_development_input_materialization_only_no_model_training_no_threshold_tuning_no_lot_optimization_no_candidate_selection_no_mt5_execution_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,,,,,,,same_as_tier_a_until_tier_b_available,87666.0,,,,
338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair,run338D_review_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_inputs_without_db_v1,run338C_materialize_runtime_trade_lifecycle_proxy_positive_mt5_negative_repair_inputs_without_db_v1,2026-06-01,completed_stage338D_input_review_group_safe_split_repair_queue_no_training_no_selection,input_review_passed_group_safe_split_repair_written_training_queue_opened_no_selection,stage338D_open_run338E_group_safe_trade_lifecycle_training,run338E_train_runtime_trade_lifecycle_repair_models_group_safe_without_db_v1,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/02_runs/run338D/final_decision.json,stages/338_runtime_trade_lifecycle__proxy_positive_mt5_negative_repair/03_reviews/run338D_runtime_trade_lifecycle_input_review.md,11,11,research_development_input_review_and_split_repair_only_no_model_training_no_threshold_tuning_no_lot_optimization_no_candidate_selection_no_mt5_execution_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,input_review,,,,,,,input_review_passed_group_safe_split_repair_written_training_queue_opened_no_selection,87666.0,56.0,,,
