run_id,queue_rank,source_queue_id,queue_id,variant_id,short_threshold,long_block_min,max_hold_m5,min_margin,bridge_expression,bridge_policy,bridge_policy_value,queue_type,trade_splitting_status,timestamp_safety_status,claim_boundary(주장 경계)
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,1,baseline_replay_control,baseline_replay_control,baseline_replay_control__ps0_45__adx40_0__hold8,0.45,40.0,8,-0.000562137088,none,none,,control(대조),not_used(거래 쪼개기 없음),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,2,stress_zone_3_control,stress_zone_3_control,stress_zone_3_control__ps0_45__adx40_0__hold8,0.45,40.0,8,-0.000562137088,entry_month=2025-03 block all,block_march_all,,control(대조),not_used(거래 쪼개기 없음),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,3,stress_zone_4_control,stress_zone_4_control,stress_zone_4_control__ps0_45__adx40_0__hold8,0.45,40.0,8,-0.000562137088,entry_month=2025-03 block side=long,block_march_long,,control(대조),not_used(거래 쪼개기 없음),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,4,stress3_restore_march_short_top5,stress3_restore_march_short_p0_475,stress3_restore_march_short_p0_475__ps0_45__adx40_0__hold8,0.45,40.0,8,-0.000562137088,entry_month=2025-03 restore side=short p_short>=0.475,restore_march_short_p,0.475,bridge_scout(연결 정찰),not_used(거래 쪼개기 없음),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,5,stress3_restore_march_short_top5,stress3_restore_march_short_p0_49,stress3_restore_march_short_p0_49__ps0_45__adx40_0__hold8,0.45,40.0,8,-0.000562137088,entry_month=2025-03 restore side=short p_short>=0.49,restore_march_short_p,0.49,bridge_scout(연결 정찰),not_used(거래 쪼개기 없음),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,6,stress3_restore_march_non_hour16_top8,stress3_restore_non_hour16_margin_0_1,stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,0.45,40.0,8,-0.000562137088,entry_month=2025-03 restore non_hour16 abs_margin>=0.1,restore_march_non_hour16_margin,0.1,bridge_scout(연결 정찰),not_used(거래 쪼개기 없음),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,7,stress3_restore_march_non_hour16_top8,stress3_restore_non_hour16_margin_0_14,stress3_restore_non_hour16_margin_0_14__ps0_45__adx40_0__hold8,0.45,40.0,8,-0.000562137088,entry_month=2025-03 restore non_hour16 abs_margin>=0.14,restore_march_non_hour16_margin,0.14,bridge_scout(연결 정찰),not_used(거래 쪼개기 없음),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,8,stress3_restore_march_adx45_long_top8,stress3_restore_long_p0_4_adx45_0,stress3_restore_long_p0_4_adx45_0__ps0_45__adx40_0__hold8,0.45,40.0,8,-0.000562137088,entry_month=2025-03 restore side=long p_long>=0.4 adx_14>=45.0,restore_march_long_p_adx,p_long=0.4;adx_14=45.0,bridge_scout(연결 정찰),not_used(거래 쪼개기 없음),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,9,stress3_restore_march_adx45_long_top8,stress3_restore_long_p0_42_adx35_0,stress3_restore_long_p0_42_adx35_0__ps0_45__adx40_0__hold8,0.45,40.0,8,-0.000562137088,entry_month=2025-03 restore side=long p_long>=0.42 adx_14>=35.0,restore_march_long_p_adx,p_long=0.42;adx_14=35.0,bridge_scout(연결 정찰),not_used(거래 쪼개기 없음),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,10,stress4_short0475_pf_lift,stress4_short0475_pf_lift,stress4_short0475_pf_lift__ps0_475__adx40_0__hold8,0.475,40.0,8,-0.000562137088,entry_month=2025-03 block side=long; short_threshold=0.475,block_march_long,,bridge_scout(연결 정찰),not_used(거래 쪼개기 없음),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,11,stress4_short050_pf_lift,stress4_short050_pf_lift,stress4_short050_pf_lift__ps0_5__adx40_0__hold8,0.5,40.0,8,-0.000562137088,entry_month=2025-03 block side=long; short_threshold=0.50,block_march_long,,bridge_scout(연결 정찰),not_used(거래 쪼개기 없음),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
